[2026-01-16 19:11:15,164] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 19:11:15,167] [INFO] - Using cuda.
[2026-01-16 19:11:15,206] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 19:11:15,208] [INFO] - Initiate model
[2026-01-16 19:11:15,210] [INFO] - Weights Shape: torch.Size([3, 10, 3])
[2026-01-16 19:11:15,212] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 19:12:28,224] [INFO] - [  100/ 4200] | Cost: 0.6959393 | Accuracy: 0.4400000
[2026-01-16 19:13:34,420] [INFO] - [  200/ 4200] | Cost: 0.6862660 | Accuracy: 0.5700000
[2026-01-16 19:14:43,452] [INFO] - [  300/ 4200] | Cost: 0.7178996 | Accuracy: 0.4500000
[2026-01-16 19:15:52,777] [INFO] - [  400/ 4200] | Cost: 0.7086024 | Accuracy: 0.4700000
[2026-01-16 19:16:55,404] [INFO] - [  500/ 4200] | Cost: 0.6989597 | Accuracy: 0.4900000
[2026-01-16 19:18:03,052] [INFO] - [  600/ 4200] | Cost: 0.6892932 | Accuracy: 0.5500000
[2026-01-16 19:19:05,230] [INFO] - [  700/ 4200] | Cost: 0.6935452 | Accuracy: 0.5000000
[2026-01-16 19:20:13,205] [INFO] - [  800/ 4200] | Cost: 0.6937627 | Accuracy: 0.4600000
[2026-01-16 19:21:34,506] [INFO] - [  900/ 4200] | Cost: 0.6909920 | Accuracy: 0.5700000
[2026-01-16 19:22:53,507] [INFO] - [ 1000/ 4200] | Cost: 0.6896310 | Accuracy: 0.5500000
[2026-01-16 19:24:06,289] [INFO] - [ 1100/ 4200] | Cost: 0.7005422 | Accuracy: 0.4700000
[2026-01-16 19:25:15,032] [INFO] - [ 1200/ 4200] | Cost: 0.7006498 | Accuracy: 0.4800000
[2026-01-16 19:26:32,620] [INFO] - [ 1300/ 4200] | Cost: 0.7077925 | Accuracy: 0.4400000
[2026-01-16 19:27:32,693] [INFO] - [ 1400/ 4200] | Cost: 0.6899643 | Accuracy: 0.5400000
[2026-01-16 19:28:39,201] [INFO] - [ 1500/ 4200] | Cost: 0.7020838 | Accuracy: 0.4400000
[2026-01-16 19:29:44,087] [INFO] - [ 1600/ 4200] | Cost: 0.6880952 | Accuracy: 0.5800000
[2026-01-16 19:30:46,039] [INFO] - [ 1700/ 4200] | Cost: 0.6943704 | Accuracy: 0.4800000
[2026-01-16 19:32:00,718] [INFO] - [ 1800/ 4200] | Cost: 0.6935433 | Accuracy: 0.4800000
[2026-01-16 19:33:17,672] [INFO] - [ 1900/ 4200] | Cost: 0.6927347 | Accuracy: 0.5300000
[2026-01-16 19:34:23,995] [INFO] - [ 2000/ 4200] | Cost: 0.6934662 | Accuracy: 0.5000000
[2026-01-16 19:35:34,922] [INFO] - [ 2100/ 4200] | Cost: 0.6993945 | Accuracy: 0.4300000
[2026-01-16 19:36:45,221] [INFO] - [ 2200/ 4200] | Cost: 0.6938683 | Accuracy: 0.5000000
[2026-01-16 19:37:51,725] [INFO] - [ 2300/ 4200] | Cost: 0.6869507 | Accuracy: 0.6000000
[2026-01-16 19:38:59,846] [INFO] - [ 2400/ 4200] | Cost: 0.6931761 | Accuracy: 0.5100000
[2026-01-16 19:40:01,139] [INFO] - [ 2500/ 4200] | Cost: 0.6895700 | Accuracy: 0.5500000
[2026-01-16 19:41:00,803] [INFO] - [ 2600/ 4200] | Cost: 0.6880552 | Accuracy: 0.5600000
[2026-01-16 19:42:10,715] [INFO] - [ 2700/ 4200] | Cost: 0.6900275 | Accuracy: 0.5400000
[2026-01-16 19:43:22,471] [INFO] - [ 2800/ 4200] | Cost: 0.6772820 | Accuracy: 0.6200000
[2026-01-16 19:44:36,619] [INFO] - [ 2900/ 4200] | Cost: 0.6861258 | Accuracy: 0.5600000
[2026-01-16 19:45:42,797] [INFO] - [ 3000/ 4200] | Cost: 0.6980770 | Accuracy: 0.5100000
[2026-01-16 19:46:51,131] [INFO] - [ 3100/ 4200] | Cost: 0.7151837 | Accuracy: 0.4500000
[2026-01-16 19:48:06,144] [INFO] - [ 3200/ 4200] | Cost: 0.7289815 | Accuracy: 0.3900000
[2026-01-16 19:49:02,711] [INFO] - [ 3300/ 4200] | Cost: 0.6922057 | Accuracy: 0.5300000
[2026-01-16 19:50:06,083] [INFO] - [ 3400/ 4200] | Cost: 0.6960577 | Accuracy: 0.5000000
[2026-01-16 19:51:16,608] [INFO] - [ 3500/ 4200] | Cost: 0.6952940 | Accuracy: 0.4900000
[2026-01-16 19:52:05,919] [INFO] - [ 3600/ 4200] | Cost: 0.6918150 | Accuracy: 0.5400000
[2026-01-16 19:53:19,421] [INFO] - [ 3700/ 4200] | Cost: 0.6926937 | Accuracy: 0.5900000
[2026-01-16 19:54:36,927] [INFO] - [ 3800/ 4200] | Cost: 0.6923743 | Accuracy: 0.5200000
[2026-01-16 19:55:53,415] [INFO] - [ 3900/ 4200] | Cost: 0.6972610 | Accuracy: 0.4800000
[2026-01-16 19:57:05,951] [INFO] - [ 4000/ 4200] | Cost: 0.6899569 | Accuracy: 0.5400000
[2026-01-16 19:58:02,260] [INFO] - [ 4100/ 4200] | Cost: 0.6864324 | Accuracy: 0.5600000
[2026-01-16 19:59:18,893] [INFO] - [ 4200/ 4200] | Cost: 0.6840384 | Accuracy: 0.5700000
