[2026-01-16 19:31:13,157] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 19:31:13,159] [INFO] - Using cuda.
[2026-01-16 19:31:13,199] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 19:31:13,201] [INFO] - Initiate model
[2026-01-16 19:31:13,203] [INFO] - Weights Shape: torch.Size([3, 10, 3])
[2026-01-16 19:31:13,204] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 19:32:29,829] [INFO] - [  100/ 4200] | Cost: 0.6959390 | Accuracy: 0.4400000
[2026-01-16 19:33:44,181] [INFO] - [  200/ 4200] | Cost: 0.6862659 | Accuracy: 0.5700000
[2026-01-16 19:34:51,095] [INFO] - [  300/ 4200] | Cost: 0.7178995 | Accuracy: 0.4500000
[2026-01-16 19:36:02,130] [INFO] - [  400/ 4200] | Cost: 0.7086024 | Accuracy: 0.4700000
[2026-01-16 19:37:14,263] [INFO] - [  500/ 4200] | Cost: 0.6989598 | Accuracy: 0.4900000
[2026-01-16 19:38:16,904] [INFO] - [  600/ 4200] | Cost: 0.6892917 | Accuracy: 0.5500000
[2026-01-16 19:39:21,471] [INFO] - [  700/ 4200] | Cost: 0.6935452 | Accuracy: 0.5000000
[2026-01-16 19:40:20,202] [INFO] - [  800/ 4200] | Cost: 0.6937635 | Accuracy: 0.4600000
[2026-01-16 19:41:27,422] [INFO] - [  900/ 4200] | Cost: 0.6909915 | Accuracy: 0.5700000
[2026-01-16 19:42:35,881] [INFO] - [ 1000/ 4200] | Cost: 0.6896310 | Accuracy: 0.5500000
[2026-01-16 19:43:47,733] [INFO] - [ 1100/ 4200] | Cost: 0.7005417 | Accuracy: 0.4700000
[2026-01-16 19:45:03,601] [INFO] - [ 1200/ 4200] | Cost: 0.7006492 | Accuracy: 0.4800000
[2026-01-16 19:46:10,203] [INFO] - [ 1300/ 4200] | Cost: 0.7077917 | Accuracy: 0.4400000
