[2026-01-16 20:02:43,095] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 20:02:43,097] [INFO] - Using cuda.
[2026-01-16 20:02:43,146] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 20:02:43,149] [INFO] - Initiate model
[2026-01-16 20:02:43,160] [INFO] - Weights Shape: torch.Size([3, 10, 3])
[2026-01-16 20:02:43,161] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 20:03:50,475] [INFO] - [  100/ 4200] | Cost: 0.6959390 | Accuracy: 0.4400000
[2026-01-16 20:05:04,612] [INFO] - [  200/ 4200] | Cost: 0.6862659 | Accuracy: 0.5700000
[2026-01-16 20:06:21,455] [INFO] - [  300/ 4200] | Cost: 0.7178995 | Accuracy: 0.4500000
[2026-01-16 20:07:29,552] [INFO] - [  400/ 4200] | Cost: 0.7086024 | Accuracy: 0.4700000
[2026-01-16 20:08:33,546] [INFO] - [  500/ 4200] | Cost: 0.6989598 | Accuracy: 0.4900000
[2026-01-16 20:09:37,072] [INFO] - [  600/ 4200] | Cost: 0.6892934 | Accuracy: 0.5500000
[2026-01-16 20:10:49,871] [INFO] - [  700/ 4200] | Cost: 0.6935452 | Accuracy: 0.5000000
[2026-01-16 20:11:51,294] [INFO] - [  800/ 4200] | Cost: 0.6937634 | Accuracy: 0.4600000
[2026-01-16 20:12:53,878] [INFO] - [  900/ 4200] | Cost: 0.6909916 | Accuracy: 0.5700000
[2026-01-16 20:14:00,563] [INFO] - [ 1000/ 4200] | Cost: 0.6896309 | Accuracy: 0.5500000
[2026-01-16 20:15:00,428] [INFO] - [ 1100/ 4200] | Cost: 0.7005422 | Accuracy: 0.4700000
[2026-01-16 20:16:10,298] [INFO] - [ 1200/ 4200] | Cost: 0.7006496 | Accuracy: 0.4800000
[2026-01-16 20:17:31,008] [INFO] - [ 1300/ 4200] | Cost: 0.7077931 | Accuracy: 0.4400000
[2026-01-16 20:18:39,425] [INFO] - [ 1400/ 4200] | Cost: 0.6899651 | Accuracy: 0.5400000
[2026-01-16 20:19:42,366] [INFO] - [ 1500/ 4200] | Cost: 0.7020848 | Accuracy: 0.4400000
[2026-01-16 20:20:53,463] [INFO] - [ 1600/ 4200] | Cost: 0.6880954 | Accuracy: 0.5800000
[2026-01-16 20:21:55,290] [INFO] - [ 1700/ 4200] | Cost: 0.6943700 | Accuracy: 0.4800000
[2026-01-16 20:23:02,040] [INFO] - [ 1800/ 4200] | Cost: 0.6935433 | Accuracy: 0.4800000
[2026-01-16 20:24:06,346] [INFO] - [ 1900/ 4200] | Cost: 0.6927346 | Accuracy: 0.5300000
[2026-01-16 20:24:57,480] [INFO] - [ 2000/ 4200] | Cost: 0.6934659 | Accuracy: 0.5000000
[2026-01-16 20:26:06,529] [INFO] - [ 2100/ 4200] | Cost: 0.6993945 | Accuracy: 0.4300000
[2026-01-16 20:27:22,902] [INFO] - [ 2200/ 4200] | Cost: 0.6938683 | Accuracy: 0.5000000
[2026-01-16 20:28:38,926] [INFO] - [ 2300/ 4200] | Cost: 0.6869502 | Accuracy: 0.6000000
[2026-01-16 20:29:48,360] [INFO] - [ 2400/ 4200] | Cost: 0.6931760 | Accuracy: 0.5100000
[2026-01-16 20:30:55,440] [INFO] - [ 2500/ 4200] | Cost: 0.6895695 | Accuracy: 0.5500000
