[2026-01-16 20:52:57,823] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 20:52:57,828] [INFO] - Using cuda.
[2026-01-16 20:52:59,556] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 20:52:59,559] [INFO] - Initiate model
[2026-01-16 20:52:59,732] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-16 20:52:59,734] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 21:03:55,705] [INFO] - [  100/ 8400] | Cost: 0.6932035 | Accuracy: 0.5100000
[2026-01-16 21:14:44,617] [INFO] - [  200/ 8400] | Cost: 0.6853249 | Accuracy: 0.5900000
[2026-01-16 21:25:23,767] [INFO] - [  300/ 8400] | Cost: 0.6862665 | Accuracy: 0.5600000
[2026-01-16 21:36:01,266] [INFO] - [  400/ 8400] | Cost: 0.6946400 | Accuracy: 0.5300000
[2026-01-16 21:47:14,184] [INFO] - [  500/ 8400] | Cost: 0.7029466 | Accuracy: 0.5100000
[2026-01-16 21:58:36,805] [INFO] - [  600/ 8400] | Cost: 0.7021289 | Accuracy: 0.5100000
[2026-01-16 22:09:58,452] [INFO] - [  700/ 8400] | Cost: 0.7140520 | Accuracy: 0.4600000
[2026-01-16 22:21:05,345] [INFO] - [  800/ 8400] | Cost: 0.7198676 | Accuracy: 0.4100000
[2026-01-16 22:32:24,511] [INFO] - [  900/ 8400] | Cost: 0.7006804 | Accuracy: 0.4700000
[2026-01-16 22:43:40,972] [INFO] - [ 1000/ 8400] | Cost: 0.6957532 | Accuracy: 0.4800000
[2026-01-16 22:55:03,514] [INFO] - [ 1100/ 8400] | Cost: 0.6931834 | Accuracy: 0.5000000
[2026-01-16 23:06:38,836] [INFO] - [ 1200/ 8400] | Cost: 0.6956962 | Accuracy: 0.4600000
[2026-01-16 23:17:56,322] [INFO] - [ 1300/ 8400] | Cost: 0.6894974 | Accuracy: 0.5500000
[2026-01-16 23:29:06,986] [INFO] - [ 1400/ 8400] | Cost: 0.7001445 | Accuracy: 0.4700000
[2026-01-16 23:40:20,914] [INFO] - [ 1500/ 8400] | Cost: 0.6970433 | Accuracy: 0.5000000
[2026-01-16 23:52:18,698] [INFO] - [ 1600/ 8400] | Cost: 0.6958457 | Accuracy: 0.5100000
[2026-01-17 00:04:08,420] [INFO] - [ 1700/ 8400] | Cost: 0.6862372 | Accuracy: 0.5600000
[2026-01-17 00:15:57,894] [INFO] - [ 1800/ 8400] | Cost: 0.7048610 | Accuracy: 0.4700000
[2026-01-17 00:27:27,536] [INFO] - [ 1900/ 8400] | Cost: 0.6841476 | Accuracy: 0.5700000
[2026-01-17 00:38:51,388] [INFO] - [ 2000/ 8400] | Cost: 0.7078323 | Accuracy: 0.4500000
[2026-01-17 00:50:18,179] [INFO] - [ 2100/ 8400] | Cost: 0.6991118 | Accuracy: 0.4900000
[2026-01-17 01:01:42,312] [INFO] - [ 2200/ 8400] | Cost: 0.7023471 | Accuracy: 0.4600000
[2026-01-17 01:13:26,165] [INFO] - [ 2300/ 8400] | Cost: 0.7051370 | Accuracy: 0.4100000
[2026-01-17 01:24:47,869] [INFO] - [ 2400/ 8400] | Cost: 0.6934028 | Accuracy: 0.5000000
[2026-01-17 01:36:28,974] [INFO] - [ 2500/ 8400] | Cost: 0.6939232 | Accuracy: 0.4700000
[2026-01-17 01:48:06,009] [INFO] - [ 2600/ 8400] | Cost: 0.6945639 | Accuracy: 0.4600000
[2026-01-17 01:59:28,459] [INFO] - [ 2700/ 8400] | Cost: 0.6921123 | Accuracy: 0.5200000
[2026-01-17 02:10:54,454] [INFO] - [ 2800/ 8400] | Cost: 0.6921580 | Accuracy: 0.5200000
[2026-01-17 02:22:37,134] [INFO] - [ 2900/ 8400] | Cost: 0.7009141 | Accuracy: 0.4600000
[2026-01-17 02:34:07,632] [INFO] - [ 3000/ 8400] | Cost: 0.6929004 | Accuracy: 0.5200000
