[2026-01-16 21:21:15,572] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 21:21:15,576] [INFO] - Using cuda.
[2026-01-16 21:21:17,294] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 21:21:17,297] [INFO] - Initiate model
[2026-01-16 21:21:17,510] [INFO] - Weights Shape: torch.Size([3, 16, 3])
[2026-01-16 21:21:17,511] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 21:23:00,106] [INFO] - [  100/ 8400] | Cost: 0.6930836 | Accuracy: 0.5100000
[2026-01-16 21:25:00,921] [INFO] - [  200/ 8400] | Cost: 0.6855319 | Accuracy: 0.5900000
[2026-01-16 21:26:28,596] [INFO] - [  300/ 8400] | Cost: 0.6865585 | Accuracy: 0.5600000
[2026-01-16 21:28:16,773] [INFO] - [  400/ 8400] | Cost: 0.6951044 | Accuracy: 0.5300000
[2026-01-16 21:29:54,262] [INFO] - [  500/ 8400] | Cost: 0.7030620 | Accuracy: 0.5100000
[2026-01-16 21:31:26,673] [INFO] - [  600/ 8400] | Cost: 0.7022032 | Accuracy: 0.5100000
[2026-01-16 21:32:55,803] [INFO] - [  700/ 8400] | Cost: 0.7137443 | Accuracy: 0.4600000
[2026-01-16 21:34:58,786] [INFO] - [  800/ 8400] | Cost: 0.7195554 | Accuracy: 0.4100000
[2026-01-16 21:36:35,080] [INFO] - [  900/ 8400] | Cost: 0.7007058 | Accuracy: 0.4700000
[2026-01-16 21:38:14,128] [INFO] - [ 1000/ 8400] | Cost: 0.6952138 | Accuracy: 0.4800000
[2026-01-16 21:39:57,542] [INFO] - [ 1100/ 8400] | Cost: 0.6931300 | Accuracy: 0.5000000
[2026-01-16 21:41:38,424] [INFO] - [ 1200/ 8400] | Cost: 0.6954834 | Accuracy: 0.4600000
[2026-01-16 21:43:15,915] [INFO] - [ 1300/ 8400] | Cost: 0.6896473 | Accuracy: 0.5500000
[2026-01-16 21:44:58,767] [INFO] - [ 1400/ 8400] | Cost: 0.7006342 | Accuracy: 0.4700000
[2026-01-16 21:47:02,321] [INFO] - [ 1500/ 8400] | Cost: 0.6969160 | Accuracy: 0.5000000
[2026-01-16 21:48:47,115] [INFO] - [ 1600/ 8400] | Cost: 0.6960664 | Accuracy: 0.5100000
[2026-01-16 21:50:22,669] [INFO] - [ 1700/ 8400] | Cost: 0.6858311 | Accuracy: 0.5600000
[2026-01-16 21:52:19,780] [INFO] - [ 1800/ 8400] | Cost: 0.7050149 | Accuracy: 0.4700000
[2026-01-16 21:53:47,618] [INFO] - [ 1900/ 8400] | Cost: 0.6838049 | Accuracy: 0.5700000
[2026-01-16 21:55:30,177] [INFO] - [ 2000/ 8400] | Cost: 0.7077745 | Accuracy: 0.4500000
[2026-01-16 21:57:36,237] [INFO] - [ 2100/ 8400] | Cost: 0.6992629 | Accuracy: 0.4900000
[2026-01-16 21:59:23,835] [INFO] - [ 2200/ 8400] | Cost: 0.7019877 | Accuracy: 0.4600000
[2026-01-16 22:01:02,749] [INFO] - [ 2300/ 8400] | Cost: 0.7058895 | Accuracy: 0.4100000
[2026-01-16 22:02:58,480] [INFO] - [ 2400/ 8400] | Cost: 0.6938738 | Accuracy: 0.5000000
[2026-01-16 22:04:33,263] [INFO] - [ 2500/ 8400] | Cost: 0.6936730 | Accuracy: 0.4700000
[2026-01-16 22:05:52,821] [INFO] - [ 2600/ 8400] | Cost: 0.6951109 | Accuracy: 0.4600000
[2026-01-16 22:07:53,050] [INFO] - [ 2700/ 8400] | Cost: 0.6927016 | Accuracy: 0.5200000
[2026-01-16 22:09:54,099] [INFO] - [ 2800/ 8400] | Cost: 0.6921725 | Accuracy: 0.5200000
[2026-01-16 22:11:20,275] [INFO] - [ 2900/ 8400] | Cost: 0.7008247 | Accuracy: 0.4600000
[2026-01-16 22:12:45,988] [INFO] - [ 3000/ 8400] | Cost: 0.6929703 | Accuracy: 0.5200000
[2026-01-16 22:14:37,807] [INFO] - [ 3100/ 8400] | Cost: 0.7055189 | Accuracy: 0.4400000
[2026-01-16 22:16:04,550] [INFO] - [ 3200/ 8400] | Cost: 0.7005951 | Accuracy: 0.4700000
[2026-01-16 22:17:41,702] [INFO] - [ 3300/ 8400] | Cost: 0.6993128 | Accuracy: 0.4700000
[2026-01-16 22:19:40,342] [INFO] - [ 3400/ 8400] | Cost: 0.6941962 | Accuracy: 0.5100000
[2026-01-16 22:21:25,477] [INFO] - [ 3500/ 8400] | Cost: 0.6928894 | Accuracy: 0.5100000
[2026-01-16 22:22:58,170] [INFO] - [ 3600/ 8400] | Cost: 0.6899714 | Accuracy: 0.5600000
