[2026-01-16 23:09:23,956] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 23:09:23,959] [INFO] - Using cuda.
[2026-01-16 23:09:25,443] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 23:09:25,447] [INFO] - Initiate model
[2026-01-16 23:09:25,450] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-16 23:09:25,451] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 23:20:34,702] [INFO] - [  100/ 8400] | Cost: 0.6928782 | Accuracy: 0.6500000
[2026-01-16 23:31:46,411] [INFO] - [  200/ 8400] | Cost: 0.6853279 | Accuracy: 0.5900000
[2026-01-16 23:43:03,217] [INFO] - [  300/ 8400] | Cost: 0.6861300 | Accuracy: 0.5600000
[2026-01-16 23:54:40,202] [INFO] - [  400/ 8400] | Cost: 0.6943507 | Accuracy: 0.5300000
[2026-01-17 00:06:09,136] [INFO] - [  500/ 8400] | Cost: 0.7027490 | Accuracy: 0.5100000
[2026-01-17 00:17:46,925] [INFO] - [  600/ 8400] | Cost: 0.7020020 | Accuracy: 0.5100000
[2026-01-17 00:29:00,765] [INFO] - [  700/ 8400] | Cost: 0.7139247 | Accuracy: 0.4600000
[2026-01-17 00:39:51,731] [INFO] - [  800/ 8400] | Cost: 0.7196572 | Accuracy: 0.4100000
[2026-01-17 00:51:28,883] [INFO] - [  900/ 8400] | Cost: 0.7007583 | Accuracy: 0.4700000
[2026-01-17 01:02:56,995] [INFO] - [ 1000/ 8400] | Cost: 0.6952651 | Accuracy: 0.4800000
[2026-01-17 01:14:27,054] [INFO] - [ 1100/ 8400] | Cost: 0.6930476 | Accuracy: 0.5000000
[2026-01-17 01:25:45,291] [INFO] - [ 1200/ 8400] | Cost: 0.6949596 | Accuracy: 0.4600000
[2026-01-17 01:36:59,755] [INFO] - [ 1300/ 8400] | Cost: 0.6888161 | Accuracy: 0.5500000
[2026-01-17 01:48:33,672] [INFO] - [ 1400/ 8400] | Cost: 0.6995975 | Accuracy: 0.4700000
[2026-01-17 02:00:10,419] [INFO] - [ 1500/ 8400] | Cost: 0.6965408 | Accuracy: 0.5000000
[2026-01-17 02:11:26,237] [INFO] - [ 1600/ 8400] | Cost: 0.6952212 | Accuracy: 0.5100000
[2026-01-17 02:23:02,645] [INFO] - [ 1700/ 8400] | Cost: 0.6849478 | Accuracy: 0.5600000
[2026-01-17 02:34:13,627] [INFO] - [ 1800/ 8400] | Cost: 0.7034381 | Accuracy: 0.4700000
[2026-01-17 02:45:13,196] [INFO] - [ 1900/ 8400] | Cost: 0.6823474 | Accuracy: 0.5700000
[2026-01-17 02:56:22,133] [INFO] - [ 2000/ 8400] | Cost: 0.7070964 | Accuracy: 0.4500000
[2026-01-17 03:07:43,599] [INFO] - [ 2100/ 8400] | Cost: 0.6974151 | Accuracy: 0.4900000
[2026-01-17 03:18:52,089] [INFO] - [ 2200/ 8400] | Cost: 0.7005357 | Accuracy: 0.4600000
[2026-01-17 03:29:55,320] [INFO] - [ 2300/ 8400] | Cost: 0.7053474 | Accuracy: 0.4100000
[2026-01-17 03:40:58,818] [INFO] - [ 2400/ 8400] | Cost: 0.6925389 | Accuracy: 0.5100000
[2026-01-17 03:51:56,807] [INFO] - [ 2500/ 8400] | Cost: 0.6897924 | Accuracy: 0.5300000
[2026-01-17 04:02:24,077] [INFO] - [ 2600/ 8400] | Cost: 0.6899346 | Accuracy: 0.5900000
[2026-01-17 04:13:19,097] [INFO] - [ 2700/ 8400] | Cost: 0.6894763 | Accuracy: 0.5300000
[2026-01-17 04:24:24,248] [INFO] - [ 2800/ 8400] | Cost: 0.6880013 | Accuracy: 0.5200000
[2026-01-17 04:35:00,876] [INFO] - [ 2900/ 8400] | Cost: 0.6981903 | Accuracy: 0.4300000
[2026-01-17 04:45:46,474] [INFO] - [ 3000/ 8400] | Cost: 0.6882382 | Accuracy: 0.5200000
[2026-01-17 04:55:51,363] [INFO] - [ 3100/ 8400] | Cost: 0.7009079 | Accuracy: 0.4400000
[2026-01-17 05:06:41,381] [INFO] - [ 3200/ 8400] | Cost: 0.6932294 | Accuracy: 0.4400000
[2026-01-17 05:17:26,600] [INFO] - [ 3300/ 8400] | Cost: 0.6900272 | Accuracy: 0.4700000
[2026-01-17 05:28:04,171] [INFO] - [ 3400/ 8400] | Cost: 0.6825177 | Accuracy: 0.5400000
[2026-01-17 05:38:31,986] [INFO] - [ 3500/ 8400] | Cost: 0.6868873 | Accuracy: 0.5000000
[2026-01-17 05:49:06,131] [INFO] - [ 3600/ 8400] | Cost: 0.6806577 | Accuracy: 0.5400000
[2026-01-17 05:59:36,754] [INFO] - [ 3700/ 8400] | Cost: 0.6834944 | Accuracy: 0.5600000
[2026-01-17 06:10:28,972] [INFO] - [ 3800/ 8400] | Cost: 0.6805246 | Accuracy: 0.6500000
[2026-01-17 06:21:01,222] [INFO] - [ 3900/ 8400] | Cost: 0.6846067 | Accuracy: 0.5700000
[2026-01-17 06:31:38,720] [INFO] - [ 4000/ 8400] | Cost: 0.6828618 | Accuracy: 0.5800000
[2026-01-17 06:42:30,902] [INFO] - [ 4100/ 8400] | Cost: 0.6942040 | Accuracy: 0.5800000
[2026-01-17 06:53:08,016] [INFO] - [ 4200/ 8400] | Cost: 0.6824959 | Accuracy: 0.6200000
[2026-01-17 07:03:52,455] [INFO] - [ 4300/ 8400] | Cost: 0.6768488 | Accuracy: 0.7800000
[2026-01-17 07:14:27,101] [INFO] - [ 4400/ 8400] | Cost: 0.6784907 | Accuracy: 0.7400000
[2026-01-17 07:25:19,667] [INFO] - [ 4500/ 8400] | Cost: 0.6785901 | Accuracy: 0.7400000
[2026-01-17 07:36:11,674] [INFO] - [ 4600/ 8400] | Cost: 0.6877954 | Accuracy: 0.5700000
[2026-01-17 07:47:09,474] [INFO] - [ 4700/ 8400] | Cost: 0.6804810 | Accuracy: 0.6400000
[2026-01-17 07:58:09,916] [INFO] - [ 4800/ 8400] | Cost: 0.6752339 | Accuracy: 0.6800000
[2026-01-17 08:08:40,069] [INFO] - [ 4900/ 8400] | Cost: 0.6853747 | Accuracy: 0.6200000
[2026-01-17 08:19:33,611] [INFO] - [ 5000/ 8400] | Cost: 0.6771747 | Accuracy: 0.6400000
[2026-01-17 08:29:48,630] [INFO] - [ 5100/ 8400] | Cost: 0.6767778 | Accuracy: 0.5500000
[2026-01-17 08:39:37,073] [INFO] - [ 5200/ 8400] | Cost: 0.6739894 | Accuracy: 0.6400000
[2026-01-17 08:48:48,781] [INFO] - [ 5300/ 8400] | Cost: 0.6754918 | Accuracy: 0.6100000
[2026-01-17 08:57:06,336] [INFO] - [ 5400/ 8400] | Cost: 0.6895463 | Accuracy: 0.4600000
[2026-01-17 09:04:59,728] [INFO] - [ 5500/ 8400] | Cost: 0.6759802 | Accuracy: 0.5900000
[2026-01-17 09:12:53,489] [INFO] - [ 5600/ 8400] | Cost: 0.6801479 | Accuracy: 0.5900000
[2026-01-17 09:20:40,723] [INFO] - [ 5700/ 8400] | Cost: 0.6779761 | Accuracy: 0.5600000
[2026-01-17 09:28:13,927] [INFO] - [ 5800/ 8400] | Cost: 0.6723262 | Accuracy: 0.5500000
[2026-01-17 09:35:43,753] [INFO] - [ 5900/ 8400] | Cost: 0.6846109 | Accuracy: 0.5100000
[2026-01-17 09:43:04,612] [INFO] - [ 6000/ 8400] | Cost: 0.6839883 | Accuracy: 0.5300000
[2026-01-17 09:50:17,897] [INFO] - [ 6100/ 8400] | Cost: 0.6816978 | Accuracy: 0.5600000
[2026-01-17 09:57:38,730] [INFO] - [ 6200/ 8400] | Cost: 0.6854329 | Accuracy: 0.4800000
[2026-01-17 10:05:13,483] [INFO] - [ 6300/ 8400] | Cost: 0.6819223 | Accuracy: 0.5300000
[2026-01-17 10:12:32,927] [INFO] - [ 6400/ 8400] | Cost: 0.6953825 | Accuracy: 0.4600000
[2026-01-17 10:20:00,721] [INFO] - [ 6500/ 8400] | Cost: 0.6770073 | Accuracy: 0.6400000
[2026-01-17 10:27:23,784] [INFO] - [ 6600/ 8400] | Cost: 0.6831098 | Accuracy: 0.6600000
[2026-01-17 10:34:43,033] [INFO] - [ 6700/ 8400] | Cost: 0.6698772 | Accuracy: 0.6100000
[2026-01-17 10:42:06,154] [INFO] - [ 6800/ 8400] | Cost: 0.6858262 | Accuracy: 0.4800000
[2026-01-17 10:49:30,442] [INFO] - [ 6900/ 8400] | Cost: 0.6763718 | Accuracy: 0.5400000
[2026-01-17 10:56:49,033] [INFO] - [ 7000/ 8400] | Cost: 0.6895465 | Accuracy: 0.4800000
[2026-01-17 11:04:07,569] [INFO] - [ 7100/ 8400] | Cost: 0.6738704 | Accuracy: 0.5400000
[2026-01-17 11:11:18,996] [INFO] - [ 7200/ 8400] | Cost: 0.6725499 | Accuracy: 0.5700000
[2026-01-17 11:18:33,492] [INFO] - [ 7300/ 8400] | Cost: 0.6522682 | Accuracy: 0.6300000
[2026-01-17 11:25:45,875] [INFO] - [ 7400/ 8400] | Cost: 0.6897380 | Accuracy: 0.5300000
[2026-01-17 11:32:52,277] [INFO] - [ 7500/ 8400] | Cost: 0.6867545 | Accuracy: 0.4700000
[2026-01-17 11:40:01,279] [INFO] - [ 7600/ 8400] | Cost: 0.6749828 | Accuracy: 0.5900000
[2026-01-17 11:47:15,464] [INFO] - [ 7700/ 8400] | Cost: 0.6796863 | Accuracy: 0.5200000
[2026-01-17 11:54:24,169] [INFO] - [ 7800/ 8400] | Cost: 0.6914827 | Accuracy: 0.4400000
[2026-01-17 12:01:39,452] [INFO] - [ 7900/ 8400] | Cost: 0.6695923 | Accuracy: 0.6500000
[2026-01-17 12:08:49,189] [INFO] - [ 8000/ 8400] | Cost: 0.6695474 | Accuracy: 0.7200000
[2026-01-17 12:15:48,921] [INFO] - [ 8100/ 8400] | Cost: 0.6801132 | Accuracy: 0.6900000
[2026-01-17 12:23:00,364] [INFO] - [ 8200/ 8400] | Cost: 0.6764793 | Accuracy: 0.6700000
[2026-01-17 12:30:01,124] [INFO] - [ 8300/ 8400] | Cost: 0.6832551 | Accuracy: 0.6300000
[2026-01-17 12:37:04,033] [INFO] - [ 8400/ 8400] | Cost: 0.6822679 | Accuracy: 0.5800000
