[2026-01-16 23:41:29,777] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 23:41:29,779] [INFO] - Using cuda.
[2026-01-16 23:41:31,641] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 23:41:31,644] [INFO] - Initiate model
[2026-01-16 23:41:31,646] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-16 23:41:31,647] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 23:46:53,047] [INFO] - [  100/ 8400] | Cost: 0.6930397 | Accuracy: 0.5300000
[2026-01-16 23:52:25,470] [INFO] - [  200/ 8400] | Cost: 0.6852602 | Accuracy: 0.5900000
[2026-01-16 23:57:46,021] [INFO] - [  300/ 8400] | Cost: 0.6863336 | Accuracy: 0.5600000
[2026-01-17 00:03:21,016] [INFO] - [  400/ 8400] | Cost: 0.6947572 | Accuracy: 0.5300000
[2026-01-17 00:08:32,564] [INFO] - [  500/ 8400] | Cost: 0.7029449 | Accuracy: 0.5100000
[2026-01-17 00:14:09,242] [INFO] - [  600/ 8400] | Cost: 0.7019916 | Accuracy: 0.5100000
[2026-01-17 00:19:27,382] [INFO] - [  700/ 8400] | Cost: 0.7140554 | Accuracy: 0.4600000
[2026-01-17 00:24:50,743] [INFO] - [  800/ 8400] | Cost: 0.7196202 | Accuracy: 0.4100000
[2026-01-17 00:30:17,351] [INFO] - [  900/ 8400] | Cost: 0.7006834 | Accuracy: 0.4700000
[2026-01-17 00:35:42,358] [INFO] - [ 1000/ 8400] | Cost: 0.6955028 | Accuracy: 0.4800000
[2026-01-17 00:41:08,931] [INFO] - [ 1100/ 8400] | Cost: 0.6931476 | Accuracy: 0.5000000
[2026-01-17 00:46:35,682] [INFO] - [ 1200/ 8400] | Cost: 0.6955762 | Accuracy: 0.4600000
[2026-01-17 00:52:04,964] [INFO] - [ 1300/ 8400] | Cost: 0.6896294 | Accuracy: 0.5500000
[2026-01-17 00:57:31,553] [INFO] - [ 1400/ 8400] | Cost: 0.7001116 | Accuracy: 0.4700000
[2026-01-17 01:03:02,943] [INFO] - [ 1500/ 8400] | Cost: 0.6970019 | Accuracy: 0.5000000
[2026-01-17 01:08:31,320] [INFO] - [ 1600/ 8400] | Cost: 0.6957299 | Accuracy: 0.5100000
[2026-01-17 01:13:53,864] [INFO] - [ 1700/ 8400] | Cost: 0.6860523 | Accuracy: 0.5600000
[2026-01-17 01:19:24,914] [INFO] - [ 1800/ 8400] | Cost: 0.7047234 | Accuracy: 0.4700000
[2026-01-17 01:24:50,780] [INFO] - [ 1900/ 8400] | Cost: 0.6843922 | Accuracy: 0.5700000
[2026-01-17 01:30:18,564] [INFO] - [ 2000/ 8400] | Cost: 0.7080934 | Accuracy: 0.4500000
[2026-01-17 01:35:49,908] [INFO] - [ 2100/ 8400] | Cost: 0.6988595 | Accuracy: 0.4900000
[2026-01-17 01:41:28,096] [INFO] - [ 2200/ 8400] | Cost: 0.7021462 | Accuracy: 0.4600000
[2026-01-17 01:47:08,431] [INFO] - [ 2300/ 8400] | Cost: 0.7049950 | Accuracy: 0.4100000
[2026-01-17 01:52:45,782] [INFO] - [ 2400/ 8400] | Cost: 0.6935213 | Accuracy: 0.5000000
[2026-01-17 01:58:19,844] [INFO] - [ 2500/ 8400] | Cost: 0.6933858 | Accuracy: 0.4700000
[2026-01-17 02:03:57,785] [INFO] - [ 2600/ 8400] | Cost: 0.6946642 | Accuracy: 0.4600000
[2026-01-17 02:09:41,573] [INFO] - [ 2700/ 8400] | Cost: 0.6923788 | Accuracy: 0.5200000
[2026-01-17 02:15:10,655] [INFO] - [ 2800/ 8400] | Cost: 0.6921576 | Accuracy: 0.5200000
[2026-01-17 02:20:45,678] [INFO] - [ 2900/ 8400] | Cost: 0.7006807 | Accuracy: 0.4600000
[2026-01-17 02:26:06,113] [INFO] - [ 3000/ 8400] | Cost: 0.6928887 | Accuracy: 0.5200000
[2026-01-17 02:31:51,150] [INFO] - [ 3100/ 8400] | Cost: 0.7055500 | Accuracy: 0.4400000
[2026-01-17 02:37:14,357] [INFO] - [ 3200/ 8400] | Cost: 0.7006326 | Accuracy: 0.4700000
[2026-01-17 02:42:31,540] [INFO] - [ 3300/ 8400] | Cost: 0.6994007 | Accuracy: 0.4700000
[2026-01-17 02:47:43,323] [INFO] - [ 3400/ 8400] | Cost: 0.6932989 | Accuracy: 0.5100000
[2026-01-17 02:53:06,988] [INFO] - [ 3500/ 8400] | Cost: 0.6931976 | Accuracy: 0.5100000
