[2026-01-17 00:26:25,660] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-17 00:26:25,662] [INFO] - Using cuda.
[2026-01-17 00:26:27,457] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 00:26:27,459] [INFO] - Initiate model
[2026-01-17 00:26:27,461] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-17 00:26:27,462] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 00:37:22,219] [INFO] - [  100/ 8400] | Cost: 0.6930769 | Accuracy: 0.5700000
[2026-01-17 00:48:41,982] [INFO] - [  200/ 8400] | Cost: 0.6855147 | Accuracy: 0.5900000
[2026-01-17 01:00:11,232] [INFO] - [  300/ 8400] | Cost: 0.6861404 | Accuracy: 0.5600000
[2026-01-17 01:11:41,087] [INFO] - [  400/ 8400] | Cost: 0.6946409 | Accuracy: 0.5300000
[2026-01-17 01:23:00,237] [INFO] - [  500/ 8400] | Cost: 0.7028741 | Accuracy: 0.5100000
[2026-01-17 01:34:17,896] [INFO] - [  600/ 8400] | Cost: 0.7021551 | Accuracy: 0.5100000
[2026-01-17 01:45:44,851] [INFO] - [  700/ 8400] | Cost: 0.7139755 | Accuracy: 0.4600000
[2026-01-17 01:57:18,520] [INFO] - [  800/ 8400] | Cost: 0.7197014 | Accuracy: 0.4100000
[2026-01-17 02:08:36,565] [INFO] - [  900/ 8400] | Cost: 0.7008087 | Accuracy: 0.4700000
[2026-01-17 02:20:11,678] [INFO] - [ 1000/ 8400] | Cost: 0.6956636 | Accuracy: 0.4800000
[2026-01-17 02:31:41,073] [INFO] - [ 1100/ 8400] | Cost: 0.6932935 | Accuracy: 0.5000000
[2026-01-17 02:42:58,756] [INFO] - [ 1200/ 8400] | Cost: 0.6956040 | Accuracy: 0.4600000
[2026-01-17 02:53:49,516] [INFO] - [ 1300/ 8400] | Cost: 0.6892319 | Accuracy: 0.5500000
[2026-01-17 03:04:41,042] [INFO] - [ 1400/ 8400] | Cost: 0.7000267 | Accuracy: 0.4700000
[2026-01-17 03:15:37,372] [INFO] - [ 1500/ 8400] | Cost: 0.6970493 | Accuracy: 0.5000000
[2026-01-17 03:26:40,537] [INFO] - [ 1600/ 8400] | Cost: 0.6956002 | Accuracy: 0.5100000
[2026-01-17 03:37:28,189] [INFO] - [ 1700/ 8400] | Cost: 0.6861341 | Accuracy: 0.5600000
[2026-01-17 03:47:54,936] [INFO] - [ 1800/ 8400] | Cost: 0.7046625 | Accuracy: 0.4700000
[2026-01-17 03:58:32,745] [INFO] - [ 1900/ 8400] | Cost: 0.6841583 | Accuracy: 0.5700000
[2026-01-17 04:09:32,074] [INFO] - [ 2000/ 8400] | Cost: 0.7076795 | Accuracy: 0.4500000
[2026-01-17 04:20:33,378] [INFO] - [ 2100/ 8400] | Cost: 0.6990269 | Accuracy: 0.4900000
[2026-01-17 04:31:48,066] [INFO] - [ 2200/ 8400] | Cost: 0.7019997 | Accuracy: 0.4600000
[2026-01-17 04:42:32,659] [INFO] - [ 2300/ 8400] | Cost: 0.7044061 | Accuracy: 0.4100000
[2026-01-17 04:52:52,072] [INFO] - [ 2400/ 8400] | Cost: 0.6941555 | Accuracy: 0.5000000
[2026-01-17 05:03:25,150] [INFO] - [ 2500/ 8400] | Cost: 0.6937381 | Accuracy: 0.4700000
[2026-01-17 05:14:18,643] [INFO] - [ 2600/ 8400] | Cost: 0.6939187 | Accuracy: 0.4600000
[2026-01-17 05:24:53,447] [INFO] - [ 2700/ 8400] | Cost: 0.6913040 | Accuracy: 0.5200000
[2026-01-17 05:35:45,520] [INFO] - [ 2800/ 8400] | Cost: 0.6923427 | Accuracy: 0.5200000
[2026-01-17 05:46:42,432] [INFO] - [ 2900/ 8400] | Cost: 0.6998996 | Accuracy: 0.4600000
[2026-01-17 05:57:33,701] [INFO] - [ 3000/ 8400] | Cost: 0.6917123 | Accuracy: 0.5200000
[2026-01-17 06:08:09,962] [INFO] - [ 3100/ 8400] | Cost: 0.7054353 | Accuracy: 0.4400000
[2026-01-17 06:18:40,072] [INFO] - [ 3200/ 8400] | Cost: 0.6994144 | Accuracy: 0.4700000
[2026-01-17 06:28:57,047] [INFO] - [ 3300/ 8400] | Cost: 0.6996956 | Accuracy: 0.4700000
[2026-01-17 06:39:40,466] [INFO] - [ 3400/ 8400] | Cost: 0.6928403 | Accuracy: 0.5100000
[2026-01-17 06:50:19,030] [INFO] - [ 3500/ 8400] | Cost: 0.6926994 | Accuracy: 0.5100000
[2026-01-17 07:01:05,734] [INFO] - [ 3600/ 8400] | Cost: 0.6904116 | Accuracy: 0.5300000
[2026-01-17 07:11:40,992] [INFO] - [ 3700/ 8400] | Cost: 0.6922333 | Accuracy: 0.4900000
[2026-01-17 07:22:34,490] [INFO] - [ 3800/ 8400] | Cost: 0.6903486 | Accuracy: 0.5400000
[2026-01-17 07:33:24,559] [INFO] - [ 3900/ 8400] | Cost: 0.6922103 | Accuracy: 0.4800000
[2026-01-17 07:44:35,278] [INFO] - [ 4000/ 8400] | Cost: 0.6941272 | Accuracy: 0.3600000
[2026-01-17 07:55:18,373] [INFO] - [ 4100/ 8400] | Cost: 0.6924925 | Accuracy: 0.5900000
[2026-01-17 08:05:57,600] [INFO] - [ 4200/ 8400] | Cost: 0.6912462 | Accuracy: 0.6300000
[2026-01-17 08:16:38,168] [INFO] - [ 4300/ 8400] | Cost: 0.6920950 | Accuracy: 0.5400000
[2026-01-17 08:27:04,003] [INFO] - [ 4400/ 8400] | Cost: 0.6927223 | Accuracy: 0.5100000
[2026-01-17 08:37:05,056] [INFO] - [ 4500/ 8400] | Cost: 0.6935882 | Accuracy: 0.5200000
[2026-01-17 08:46:13,352] [INFO] - [ 4600/ 8400] | Cost: 0.6906009 | Accuracy: 0.6000000
[2026-01-17 08:54:47,431] [INFO] - [ 4700/ 8400] | Cost: 0.6908733 | Accuracy: 0.6200000
[2026-01-17 09:03:04,291] [INFO] - [ 4800/ 8400] | Cost: 0.6922823 | Accuracy: 0.5200000
[2026-01-17 09:10:53,665] [INFO] - [ 4900/ 8400] | Cost: 0.6908462 | Accuracy: 0.5200000
[2026-01-17 09:18:40,478] [INFO] - [ 5000/ 8400] | Cost: 0.6904517 | Accuracy: 0.5000000
[2026-01-17 09:26:11,258] [INFO] - [ 5100/ 8400] | Cost: 0.6888216 | Accuracy: 0.5600000
[2026-01-17 09:33:47,252] [INFO] - [ 5200/ 8400] | Cost: 0.6926436 | Accuracy: 0.4900000
[2026-01-17 09:41:14,076] [INFO] - [ 5300/ 8400] | Cost: 0.6920978 | Accuracy: 0.5100000
[2026-01-17 09:48:30,668] [INFO] - [ 5400/ 8400] | Cost: 0.6953042 | Accuracy: 0.4900000
[2026-01-17 09:55:53,491] [INFO] - [ 5500/ 8400] | Cost: 0.6911948 | Accuracy: 0.5200000
[2026-01-17 10:03:15,506] [INFO] - [ 5600/ 8400] | Cost: 0.6839440 | Accuracy: 0.5900000
[2026-01-17 10:10:25,322] [INFO] - [ 5700/ 8400] | Cost: 0.6880071 | Accuracy: 0.5400000
[2026-01-17 10:17:49,254] [INFO] - [ 5800/ 8400] | Cost: 0.6969159 | Accuracy: 0.4900000
[2026-01-17 10:25:03,522] [INFO] - [ 5900/ 8400] | Cost: 0.6968687 | Accuracy: 0.4900000
[2026-01-17 10:32:18,877] [INFO] - [ 6000/ 8400] | Cost: 0.6934313 | Accuracy: 0.5100000
[2026-01-17 10:39:42,417] [INFO] - [ 6100/ 8400] | Cost: 0.6995720 | Accuracy: 0.4700000
[2026-01-17 10:46:59,322] [INFO] - [ 6200/ 8400] | Cost: 0.6938844 | Accuracy: 0.5000000
[2026-01-17 10:54:12,736] [INFO] - [ 6300/ 8400] | Cost: 0.6952078 | Accuracy: 0.4800000
[2026-01-17 11:01:23,421] [INFO] - [ 6400/ 8400] | Cost: 0.6975093 | Accuracy: 0.4200000
[2026-01-17 11:08:40,218] [INFO] - [ 6500/ 8400] | Cost: 0.6925437 | Accuracy: 0.4500000
[2026-01-17 11:15:46,929] [INFO] - [ 6600/ 8400] | Cost: 0.6906782 | Accuracy: 0.5400000
[2026-01-17 11:22:58,214] [INFO] - [ 6700/ 8400] | Cost: 0.6868507 | Accuracy: 0.5800000
[2026-01-17 11:30:11,060] [INFO] - [ 6800/ 8400] | Cost: 0.6972824 | Accuracy: 0.4700000
[2026-01-17 11:37:18,541] [INFO] - [ 6900/ 8400] | Cost: 0.6950114 | Accuracy: 0.5000000
[2026-01-17 11:44:24,347] [INFO] - [ 7000/ 8400] | Cost: 0.7063492 | Accuracy: 0.4500000
[2026-01-17 11:51:28,434] [INFO] - [ 7100/ 8400] | Cost: 0.6890498 | Accuracy: 0.5300000
[2026-01-17 11:58:39,402] [INFO] - [ 7200/ 8400] | Cost: 0.6916246 | Accuracy: 0.5300000
[2026-01-17 12:05:52,907] [INFO] - [ 7300/ 8400] | Cost: 0.6771473 | Accuracy: 0.6100000
[2026-01-17 12:12:59,735] [INFO] - [ 7400/ 8400] | Cost: 0.6976022 | Accuracy: 0.4900000
[2026-01-17 12:20:01,596] [INFO] - [ 7500/ 8400] | Cost: 0.7060106 | Accuracy: 0.4400000
[2026-01-17 12:27:11,429] [INFO] - [ 7600/ 8400] | Cost: 0.6909016 | Accuracy: 0.5200000
[2026-01-17 12:34:18,728] [INFO] - [ 7700/ 8400] | Cost: 0.6970056 | Accuracy: 0.4900000
[2026-01-17 12:41:17,371] [INFO] - [ 7800/ 8400] | Cost: 0.6982754 | Accuracy: 0.4400000
[2026-01-17 12:48:17,199] [INFO] - [ 7900/ 8400] | Cost: 0.6873162 | Accuracy: 0.5900000
[2026-01-17 12:55:31,596] [INFO] - [ 8000/ 8400] | Cost: 0.6927252 | Accuracy: 0.5100000
[2026-01-17 13:02:32,075] [INFO] - [ 8100/ 8400] | Cost: 0.6887476 | Accuracy: 0.5700000
[2026-01-17 13:09:33,615] [INFO] - [ 8200/ 8400] | Cost: 0.6909220 | Accuracy: 0.5000000
[2026-01-17 13:16:36,021] [INFO] - [ 8300/ 8400] | Cost: 0.6916551 | Accuracy: 0.5200000
[2026-01-17 13:23:39,649] [INFO] - [ 8400/ 8400] | Cost: 0.6923792 | Accuracy: 0.5400000
