[2026-01-17 02:43:47,182] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-17 02:43:47,184] [INFO] - Using cuda.
[2026-01-17 02:43:48,722] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 02:43:48,724] [INFO] - Initiate model
[2026-01-17 02:43:48,726] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-17 02:43:48,728] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 02:54:30,334] [INFO] - [  100/ 8400] | Cost: 0.6931379 | Accuracy: 0.4800000
[2026-01-17 03:05:50,216] [INFO] - [  200/ 8400] | Cost: 0.6853908 | Accuracy: 0.5900000
[2026-01-17 03:16:42,960] [INFO] - [  300/ 8400] | Cost: 0.6861945 | Accuracy: 0.5600000
[2026-01-17 03:27:37,937] [INFO] - [  400/ 8400] | Cost: 0.6949411 | Accuracy: 0.5300000
[2026-01-17 03:38:09,673] [INFO] - [  500/ 8400] | Cost: 0.7028133 | Accuracy: 0.5100000
[2026-01-17 03:48:49,179] [INFO] - [  600/ 8400] | Cost: 0.7020748 | Accuracy: 0.5100000
[2026-01-17 03:59:10,611] [INFO] - [  700/ 8400] | Cost: 0.7138103 | Accuracy: 0.4600000
[2026-01-17 04:10:02,972] [INFO] - [  800/ 8400] | Cost: 0.7196525 | Accuracy: 0.4100000
[2026-01-17 04:20:58,734] [INFO] - [  900/ 8400] | Cost: 0.7009367 | Accuracy: 0.4700000
[2026-01-17 04:31:58,218] [INFO] - [ 1000/ 8400] | Cost: 0.6955739 | Accuracy: 0.4800000
[2026-01-17 04:42:38,380] [INFO] - [ 1100/ 8400] | Cost: 0.6932071 | Accuracy: 0.5000000
[2026-01-17 04:52:46,682] [INFO] - [ 1200/ 8400] | Cost: 0.6956021 | Accuracy: 0.4600000
[2026-01-17 05:03:12,595] [INFO] - [ 1300/ 8400] | Cost: 0.6893905 | Accuracy: 0.5500000
[2026-01-17 05:14:08,467] [INFO] - [ 1400/ 8400] | Cost: 0.7001910 | Accuracy: 0.4700000
[2026-01-17 05:24:46,146] [INFO] - [ 1500/ 8400] | Cost: 0.6970409 | Accuracy: 0.5000000
[2026-01-17 05:35:32,144] [INFO] - [ 1600/ 8400] | Cost: 0.6958098 | Accuracy: 0.5100000
