[2026-01-16 03:39:50,350] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 03:39:50,352] [INFO] - Using cuda.
[2026-01-16 03:39:50,830] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 03:39:50,834] [INFO] - Initiate model
[2026-01-16 03:39:50,837] [INFO] - Weights Shape: torch.Size([3, 16, 3])
[2026-01-16 03:39:50,838] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 03:41:51,755] [INFO] - [  100/ 9800] | Cost: 0.6936431 | Accuracy: 0.4100000
[2026-01-16 03:43:23,004] [INFO] - [  200/ 9800] | Cost: 0.6810995 | Accuracy: 0.6100000
[2026-01-16 03:44:49,815] [INFO] - [  300/ 9800] | Cost: 0.6954770 | Accuracy: 0.5000000
[2026-01-16 03:46:45,246] [INFO] - [  400/ 9800] | Cost: 0.7185323 | Accuracy: 0.4100000
[2026-01-16 03:48:11,806] [INFO] - [  500/ 9800] | Cost: 0.6952992 | Accuracy: 0.4800000
[2026-01-16 03:49:30,462] [INFO] - [  600/ 9800] | Cost: 0.6898754 | Accuracy: 0.4800000
[2026-01-16 03:51:25,664] [INFO] - [  700/ 9800] | Cost: 0.6824207 | Accuracy: 0.4800000
[2026-01-16 03:53:11,965] [INFO] - [  800/ 9800] | Cost: 0.6644623 | Accuracy: 0.5600000
[2026-01-16 03:54:50,286] [INFO] - [  900/ 9800] | Cost: 0.6687797 | Accuracy: 0.4500000
[2026-01-16 03:56:37,912] [INFO] - [ 1000/ 9800] | Cost: 0.6544862 | Accuracy: 0.8600000
[2026-01-16 03:58:04,149] [INFO] - [ 1100/ 9800] | Cost: 0.6472261 | Accuracy: 0.9000000
[2026-01-16 03:59:50,686] [INFO] - [ 1200/ 9800] | Cost: 0.6432730 | Accuracy: 0.9200000
[2026-01-16 04:01:28,359] [INFO] - [ 1300/ 9800] | Cost: 0.6352484 | Accuracy: 0.9000000
[2026-01-16 04:03:21,427] [INFO] - [ 1400/ 9800] | Cost: 0.6231574 | Accuracy: 0.9600000
[2026-01-16 04:04:51,173] [INFO] - [ 1500/ 9800] | Cost: 0.6185765 | Accuracy: 0.9400000
[2026-01-16 04:06:32,019] [INFO] - [ 1600/ 9800] | Cost: 0.6244027 | Accuracy: 0.8600000
[2026-01-16 04:08:10,408] [INFO] - [ 1700/ 9800] | Cost: 0.6159357 | Accuracy: 0.9200000
[2026-01-16 04:09:45,650] [INFO] - [ 1800/ 9800] | Cost: 0.6132809 | Accuracy: 0.8900000
[2026-01-16 04:11:37,340] [INFO] - [ 1900/ 9800] | Cost: 0.6081264 | Accuracy: 0.9200000
[2026-01-16 04:12:57,788] [INFO] - [ 2000/ 9800] | Cost: 0.5976859 | Accuracy: 0.9700000
[2026-01-16 04:14:54,816] [INFO] - [ 2100/ 9800] | Cost: 0.5929730 | Accuracy: 0.9600000
[2026-01-16 04:16:20,704] [INFO] - [ 2200/ 9800] | Cost: 0.5968003 | Accuracy: 0.9500000
[2026-01-16 04:18:03,812] [INFO] - [ 2300/ 9800] | Cost: 0.6066287 | Accuracy: 0.9300000
[2026-01-16 04:19:40,718] [INFO] - [ 2400/ 9800] | Cost: 0.5863645 | Accuracy: 0.9600000
[2026-01-16 04:21:12,483] [INFO] - [ 2500/ 9800] | Cost: 0.5886328 | Accuracy: 0.9300000
[2026-01-16 04:22:43,817] [INFO] - [ 2600/ 9800] | Cost: 0.5897738 | Accuracy: 0.9300000
[2026-01-16 04:24:25,963] [INFO] - [ 2700/ 9800] | Cost: 0.5794287 | Accuracy: 0.9200000
[2026-01-16 04:26:11,332] [INFO] - [ 2800/ 9800] | Cost: 0.5697221 | Accuracy: 0.9400000
[2026-01-16 04:27:43,223] [INFO] - [ 2900/ 9800] | Cost: 0.5695498 | Accuracy: 0.9200000
[2026-01-16 04:29:17,551] [INFO] - [ 3000/ 9800] | Cost: 0.5574081 | Accuracy: 0.9500000
[2026-01-16 04:30:52,867] [INFO] - [ 3100/ 9800] | Cost: 0.5646430 | Accuracy: 0.8900000
[2026-01-16 04:32:29,991] [INFO] - [ 3200/ 9800] | Cost: 0.5531309 | Accuracy: 0.9400000
[2026-01-16 04:34:04,898] [INFO] - [ 3300/ 9800] | Cost: 0.5495294 | Accuracy: 0.9700000
[2026-01-16 04:35:54,986] [INFO] - [ 3400/ 9800] | Cost: 0.5409100 | Accuracy: 0.9400000
[2026-01-16 04:37:29,341] [INFO] - [ 3500/ 9800] | Cost: 0.5384119 | Accuracy: 0.9400000
[2026-01-16 04:39:00,833] [INFO] - [ 3600/ 9800] | Cost: 0.5417348 | Accuracy: 0.9400000
[2026-01-16 04:40:31,024] [INFO] - [ 3700/ 9800] | Cost: 0.5477197 | Accuracy: 0.9200000
[2026-01-16 04:42:28,053] [INFO] - [ 3800/ 9800] | Cost: 0.5399823 | Accuracy: 0.9400000
[2026-01-16 04:43:57,104] [INFO] - [ 3900/ 9800] | Cost: 0.5634728 | Accuracy: 0.8600000
[2026-01-16 04:45:25,996] [INFO] - [ 4000/ 9800] | Cost: 0.5540516 | Accuracy: 0.9400000
[2026-01-16 04:47:25,606] [INFO] - [ 4100/ 9800] | Cost: 0.5467032 | Accuracy: 0.9500000
[2026-01-16 04:48:52,705] [INFO] - [ 4200/ 9800] | Cost: 0.5618509 | Accuracy: 0.9200000
[2026-01-16 04:50:33,160] [INFO] - [ 4300/ 9800] | Cost: 0.5486289 | Accuracy: 0.9100000
[2026-01-16 04:52:17,171] [INFO] - [ 4400/ 9800] | Cost: 0.5471563 | Accuracy: 0.9500000
[2026-01-16 04:53:47,821] [INFO] - [ 4500/ 9800] | Cost: 0.5543860 | Accuracy: 0.9100000
[2026-01-16 04:55:30,969] [INFO] - [ 4600/ 9800] | Cost: 0.5540342 | Accuracy: 0.9000000
[2026-01-16 04:57:30,512] [INFO] - [ 4700/ 9800] | Cost: 0.5395491 | Accuracy: 0.9600000
[2026-01-16 04:59:01,122] [INFO] - [ 4800/ 9800] | Cost: 0.5593269 | Accuracy: 0.9100000
[2026-01-16 05:00:40,316] [INFO] - [ 4900/ 9800] | Cost: 0.5598488 | Accuracy: 0.9000000
[2026-01-16 05:02:35,183] [INFO] - [ 5000/ 9800] | Cost: 0.5407940 | Accuracy: 0.9400000
[2026-01-16 05:03:59,071] [INFO] - [ 5100/ 9800] | Cost: 0.5571153 | Accuracy: 0.9200000
[2026-01-16 05:05:35,879] [INFO] - [ 5200/ 9800] | Cost: 0.5569710 | Accuracy: 0.9000000
[2026-01-16 05:07:18,111] [INFO] - [ 5300/ 9800] | Cost: 0.5342499 | Accuracy: 0.9400000
[2026-01-16 05:08:52,615] [INFO] - [ 5400/ 9800] | Cost: 0.5373181 | Accuracy: 0.9700000
[2026-01-16 05:10:32,348] [INFO] - [ 5500/ 9800] | Cost: 0.5378982 | Accuracy: 0.9600000
[2026-01-16 05:11:50,242] [INFO] - [ 5600/ 9800] | Cost: 0.5411702 | Accuracy: 0.9300000
[2026-01-16 05:13:42,051] [INFO] - [ 5700/ 9800] | Cost: 0.5355452 | Accuracy: 0.9300000
[2026-01-16 05:15:24,315] [INFO] - [ 5800/ 9800] | Cost: 0.5475082 | Accuracy: 0.9200000
[2026-01-16 05:16:58,468] [INFO] - [ 5900/ 9800] | Cost: 0.5180764 | Accuracy: 0.9800000
[2026-01-16 05:18:52,444] [INFO] - [ 6000/ 9800] | Cost: 0.5251614 | Accuracy: 0.9400000
[2026-01-16 05:20:18,063] [INFO] - [ 6100/ 9800] | Cost: 0.5148054 | Accuracy: 0.9700000
[2026-01-16 05:21:53,511] [INFO] - [ 6200/ 9800] | Cost: 0.5389372 | Accuracy: 0.9200000
[2026-01-16 05:23:59,574] [INFO] - [ 6300/ 9800] | Cost: 0.5185782 | Accuracy: 0.9700000
[2026-01-16 05:25:16,453] [INFO] - [ 6400/ 9800] | Cost: 0.5361902 | Accuracy: 0.8900000
[2026-01-16 05:26:48,764] [INFO] - [ 6500/ 9800] | Cost: 0.5412451 | Accuracy: 0.8800000
[2026-01-16 05:28:50,150] [INFO] - [ 6600/ 9800] | Cost: 0.5326971 | Accuracy: 0.9100000
[2026-01-16 05:30:24,395] [INFO] - [ 6700/ 9800] | Cost: 0.5246848 | Accuracy: 0.9400000
[2026-01-16 05:31:51,733] [INFO] - [ 6800/ 9800] | Cost: 0.5215557 | Accuracy: 0.9200000
[2026-01-16 05:33:46,927] [INFO] - [ 6900/ 9800] | Cost: 0.5200740 | Accuracy: 0.9600000
[2026-01-16 05:35:18,409] [INFO] - [ 7000/ 9800] | Cost: 0.5146912 | Accuracy: 0.9400000
[2026-01-16 05:36:24,561] [INFO] - [ 7100/ 9800] | Cost: 0.5223375 | Accuracy: 0.9600000
[2026-01-16 05:38:32,471] [INFO] - [ 7200/ 9800] | Cost: 0.5378127 | Accuracy: 0.9100000
[2026-01-16 05:40:00,393] [INFO] - [ 7300/ 9800] | Cost: 0.5315528 | Accuracy: 0.9200000
[2026-01-16 05:41:23,789] [INFO] - [ 7400/ 9800] | Cost: 0.5316825 | Accuracy: 0.8900000
[2026-01-16 05:43:19,524] [INFO] - [ 7500/ 9800] | Cost: 0.5228404 | Accuracy: 0.9300000
[2026-01-16 05:44:37,480] [INFO] - [ 7600/ 9800] | Cost: 0.5262572 | Accuracy: 0.9300000
[2026-01-16 05:45:56,447] [INFO] - [ 7700/ 9800] | Cost: 0.5199513 | Accuracy: 0.9500000
[2026-01-16 05:47:48,212] [INFO] - [ 7800/ 9800] | Cost: 0.5268715 | Accuracy: 0.9400000
[2026-01-16 05:49:27,808] [INFO] - [ 7900/ 9800] | Cost: 0.5252481 | Accuracy: 0.9300000
