[2026-01-16 06:17:36,647] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 06:17:36,651] [INFO] - Using cuda.
[2026-01-16 06:17:37,075] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 06:17:37,078] [INFO] - Initiate model
[2026-01-16 06:17:37,255] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-16 06:17:37,257] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 06:28:02,808] [INFO] - [  100/ 9800] | Cost: 0.6924158 | Accuracy: 0.7000000
[2026-01-16 06:38:27,073] [INFO] - [  200/ 9800] | Cost: 0.6810979 | Accuracy: 0.6100000
[2026-01-16 06:48:58,990] [INFO] - [  300/ 9800] | Cost: 0.6953049 | Accuracy: 0.5000000
[2026-01-16 07:00:06,969] [INFO] - [  400/ 9800] | Cost: 0.7186036 | Accuracy: 0.4100000
[2026-01-16 07:11:35,730] [INFO] - [  500/ 9800] | Cost: 0.6966732 | Accuracy: 0.4800000
[2026-01-16 07:22:46,636] [INFO] - [  600/ 9800] | Cost: 0.6915496 | Accuracy: 0.4800000
[2026-01-16 07:34:25,963] [INFO] - [  700/ 9800] | Cost: 0.6854374 | Accuracy: 0.4800000
[2026-01-16 07:46:19,025] [INFO] - [  800/ 9800] | Cost: 0.6705654 | Accuracy: 0.5600000
[2026-01-16 07:57:43,898] [INFO] - [  900/ 9800] | Cost: 0.6744608 | Accuracy: 0.4600000
[2026-01-16 08:09:07,201] [INFO] - [ 1000/ 9800] | Cost: 0.6596704 | Accuracy: 0.8700000
[2026-01-16 08:20:39,687] [INFO] - [ 1100/ 9800] | Cost: 0.6547607 | Accuracy: 0.8900000
[2026-01-16 08:32:15,078] [INFO] - [ 1200/ 9800] | Cost: 0.6479056 | Accuracy: 0.9300000
[2026-01-16 08:43:30,710] [INFO] - [ 1300/ 9800] | Cost: 0.6367716 | Accuracy: 0.9000000
[2026-01-16 08:54:55,358] [INFO] - [ 1400/ 9800] | Cost: 0.6249864 | Accuracy: 0.9400000
[2026-01-16 09:06:15,886] [INFO] - [ 1500/ 9800] | Cost: 0.6117228 | Accuracy: 0.9600000
[2026-01-16 09:17:04,938] [INFO] - [ 1600/ 9800] | Cost: 0.6187650 | Accuracy: 0.9000000
[2026-01-16 09:28:19,983] [INFO] - [ 1700/ 9800] | Cost: 0.6073824 | Accuracy: 0.9000000
[2026-01-16 09:39:53,224] [INFO] - [ 1800/ 9800] | Cost: 0.5975600 | Accuracy: 0.9300000
[2026-01-16 09:51:12,942] [INFO] - [ 1900/ 9800] | Cost: 0.5923810 | Accuracy: 0.9100000
[2026-01-16 10:02:30,314] [INFO] - [ 2000/ 9800] | Cost: 0.5787844 | Accuracy: 0.9700000
[2026-01-16 10:13:23,702] [INFO] - [ 2100/ 9800] | Cost: 0.5726395 | Accuracy: 0.9700000
[2026-01-16 10:24:32,680] [INFO] - [ 2200/ 9800] | Cost: 0.5806795 | Accuracy: 0.9400000
[2026-01-16 10:35:26,976] [INFO] - [ 2300/ 9800] | Cost: 0.5891488 | Accuracy: 0.8900000
[2026-01-16 10:46:41,118] [INFO] - [ 2400/ 9800] | Cost: 0.5673229 | Accuracy: 0.9800000
[2026-01-16 10:57:45,664] [INFO] - [ 2500/ 9800] | Cost: 0.5747834 | Accuracy: 0.9300000
[2026-01-16 11:08:56,644] [INFO] - [ 2600/ 9800] | Cost: 0.5849100 | Accuracy: 0.9300000
[2026-01-16 11:19:58,385] [INFO] - [ 2700/ 9800] | Cost: 0.5770611 | Accuracy: 0.9200000
[2026-01-16 11:30:54,881] [INFO] - [ 2800/ 9800] | Cost: 0.5673055 | Accuracy: 0.9600000
[2026-01-16 11:41:46,874] [INFO] - [ 2900/ 9800] | Cost: 0.5747349 | Accuracy: 0.9200000
[2026-01-16 11:52:31,559] [INFO] - [ 3000/ 9800] | Cost: 0.5689279 | Accuracy: 0.9600000
[2026-01-16 12:03:18,736] [INFO] - [ 3100/ 9800] | Cost: 0.5834332 | Accuracy: 0.9300000
[2026-01-16 12:14:48,715] [INFO] - [ 3200/ 9800] | Cost: 0.5662816 | Accuracy: 0.9300000
[2026-01-16 12:26:02,843] [INFO] - [ 3300/ 9800] | Cost: 0.5835313 | Accuracy: 0.9300000
[2026-01-16 12:37:03,290] [INFO] - [ 3400/ 9800] | Cost: 0.5758214 | Accuracy: 0.9400000
[2026-01-16 12:48:14,855] [INFO] - [ 3500/ 9800] | Cost: 0.5665098 | Accuracy: 0.9400000
[2026-01-16 12:59:20,168] [INFO] - [ 3600/ 9800] | Cost: 0.5654249 | Accuracy: 0.9500000
[2026-01-16 13:09:50,561] [INFO] - [ 3700/ 9800] | Cost: 0.5665680 | Accuracy: 0.9400000
[2026-01-16 13:20:22,065] [INFO] - [ 3800/ 9800] | Cost: 0.5613118 | Accuracy: 0.9500000
[2026-01-16 13:30:47,500] [INFO] - [ 3900/ 9800] | Cost: 0.5820746 | Accuracy: 0.8600000
[2026-01-16 13:42:07,427] [INFO] - [ 4000/ 9800] | Cost: 0.5815837 | Accuracy: 0.9000000
[2026-01-16 13:53:21,028] [INFO] - [ 4100/ 9800] | Cost: 0.5708494 | Accuracy: 0.9200000
[2026-01-16 14:04:01,708] [INFO] - [ 4200/ 9800] | Cost: 0.5877877 | Accuracy: 0.8900000
[2026-01-16 14:14:36,506] [INFO] - [ 4300/ 9800] | Cost: 0.5702937 | Accuracy: 0.9000000
[2026-01-16 14:25:24,637] [INFO] - [ 4400/ 9800] | Cost: 0.5684694 | Accuracy: 0.9600000
[2026-01-16 14:36:11,710] [INFO] - [ 4500/ 9800] | Cost: 0.5742634 | Accuracy: 0.8800000
[2026-01-16 14:47:12,644] [INFO] - [ 4600/ 9800] | Cost: 0.5745428 | Accuracy: 0.9500000
[2026-01-16 14:58:09,688] [INFO] - [ 4700/ 9800] | Cost: 0.5617189 | Accuracy: 0.9600000
[2026-01-16 15:09:22,377] [INFO] - [ 4800/ 9800] | Cost: 0.5801572 | Accuracy: 0.9200000
[2026-01-16 15:20:15,180] [INFO] - [ 4900/ 9800] | Cost: 0.5769033 | Accuracy: 0.8800000
[2026-01-16 15:31:11,110] [INFO] - [ 5000/ 9800] | Cost: 0.5592420 | Accuracy: 0.9500000
[2026-01-16 15:41:59,281] [INFO] - [ 5100/ 9800] | Cost: 0.5734702 | Accuracy: 0.9200000
[2026-01-16 15:52:44,189] [INFO] - [ 5200/ 9800] | Cost: 0.5774830 | Accuracy: 0.8600000
[2026-01-16 16:03:50,245] [INFO] - [ 5300/ 9800] | Cost: 0.5575685 | Accuracy: 0.9400000
[2026-01-16 16:14:49,781] [INFO] - [ 5400/ 9800] | Cost: 0.5560927 | Accuracy: 0.9600000
[2026-01-16 16:25:49,776] [INFO] - [ 5500/ 9800] | Cost: 0.5593162 | Accuracy: 0.9200000
[2026-01-16 16:36:32,287] [INFO] - [ 5600/ 9800] | Cost: 0.5617779 | Accuracy: 0.9100000
[2026-01-16 16:46:47,081] [INFO] - [ 5700/ 9800] | Cost: 0.5606052 | Accuracy: 0.9200000
[2026-01-16 16:57:40,212] [INFO] - [ 5800/ 9800] | Cost: 0.5619314 | Accuracy: 0.9300000
[2026-01-16 17:08:37,933] [INFO] - [ 5900/ 9800] | Cost: 0.5423440 | Accuracy: 0.9700000
[2026-01-16 17:19:35,541] [INFO] - [ 6000/ 9800] | Cost: 0.5409472 | Accuracy: 0.9600000
[2026-01-16 17:30:37,160] [INFO] - [ 6100/ 9800] | Cost: 0.5361305 | Accuracy: 0.9800000
[2026-01-16 17:41:17,720] [INFO] - [ 6200/ 9800] | Cost: 0.5568191 | Accuracy: 0.9300000
[2026-01-16 17:52:07,856] [INFO] - [ 6300/ 9800] | Cost: 0.5491292 | Accuracy: 0.9800000
[2026-01-16 18:02:54,393] [INFO] - [ 6400/ 9800] | Cost: 0.5508511 | Accuracy: 0.8900000
[2026-01-16 18:13:53,972] [INFO] - [ 6500/ 9800] | Cost: 0.5586170 | Accuracy: 0.8900000
[2026-01-16 18:24:24,890] [INFO] - [ 6600/ 9800] | Cost: 0.5467030 | Accuracy: 0.9100000
[2026-01-16 18:35:20,948] [INFO] - [ 6700/ 9800] | Cost: 0.5433674 | Accuracy: 0.9200000
[2026-01-16 18:45:58,112] [INFO] - [ 6800/ 9800] | Cost: 0.5382025 | Accuracy: 0.9100000
[2026-01-16 18:56:37,684] [INFO] - [ 6900/ 9800] | Cost: 0.5449295 | Accuracy: 0.9700000
[2026-01-16 19:07:16,805] [INFO] - [ 7000/ 9800] | Cost: 0.5229469 | Accuracy: 0.9400000
[2026-01-16 19:17:57,748] [INFO] - [ 7100/ 9800] | Cost: 0.5411223 | Accuracy: 0.9400000
[2026-01-16 19:28:43,715] [INFO] - [ 7200/ 9800] | Cost: 0.5476005 | Accuracy: 0.9200000
[2026-01-16 19:39:28,379] [INFO] - [ 7300/ 9800] | Cost: 0.5473107 | Accuracy: 0.9100000
[2026-01-16 19:49:52,265] [INFO] - [ 7400/ 9800] | Cost: 0.5486115 | Accuracy: 0.9000000
[2026-01-16 20:00:40,527] [INFO] - [ 7500/ 9800] | Cost: 0.5398443 | Accuracy: 0.9400000
[2026-01-16 20:11:13,634] [INFO] - [ 7600/ 9800] | Cost: 0.5344108 | Accuracy: 0.9300000
[2026-01-16 20:21:52,776] [INFO] - [ 7700/ 9800] | Cost: 0.5307381 | Accuracy: 0.9400000
