[2026-01-16 06:33:27,232] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: FRQI
  pca: false
  supports_color: false

[2026-01-16 06:33:27,236] [INFO] - Using cuda.
[2026-01-16 06:33:27,682] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 06:33:27,685] [INFO] - Initiate model
[2026-01-16 06:33:27,873] [INFO] - Weights Shape: torch.Size([3, 11, 3])
[2026-01-16 06:33:27,875] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 06:35:15,087] [INFO] - [  100/ 9800] | Cost: 0.7003752 | Accuracy: 0.4400000
[2026-01-16 06:37:13,565] [INFO] - [  200/ 9800] | Cost: 0.6784371 | Accuracy: 0.6100000
[2026-01-16 06:39:08,082] [INFO] - [  300/ 9800] | Cost: 0.6871689 | Accuracy: 0.5000000
[2026-01-16 06:40:57,410] [INFO] - [  400/ 9800] | Cost: 0.7119578 | Accuracy: 0.4100000
[2026-01-16 06:43:14,989] [INFO] - [  500/ 9800] | Cost: 0.6885439 | Accuracy: 0.4800000
[2026-01-16 06:45:13,275] [INFO] - [  600/ 9800] | Cost: 0.6812115 | Accuracy: 0.4800000
[2026-01-16 06:47:21,083] [INFO] - [  700/ 9800] | Cost: 0.6780841 | Accuracy: 0.4800000
[2026-01-16 06:49:29,000] [INFO] - [  800/ 9800] | Cost: 0.6669217 | Accuracy: 0.5800000
[2026-01-16 06:51:43,006] [INFO] - [  900/ 9800] | Cost: 0.6681032 | Accuracy: 0.7700000
[2026-01-16 06:53:52,255] [INFO] - [ 1000/ 9800] | Cost: 0.6620139 | Accuracy: 0.9300000
[2026-01-16 06:56:09,049] [INFO] - [ 1100/ 9800] | Cost: 0.6600396 | Accuracy: 0.9200000
[2026-01-16 06:58:23,000] [INFO] - [ 1200/ 9800] | Cost: 0.6493570 | Accuracy: 0.9400000
[2026-01-16 07:00:21,948] [INFO] - [ 1300/ 9800] | Cost: 0.6514179 | Accuracy: 0.9100000
[2026-01-16 07:02:27,249] [INFO] - [ 1400/ 9800] | Cost: 0.6475351 | Accuracy: 0.8800000
[2026-01-16 07:04:38,274] [INFO] - [ 1500/ 9800] | Cost: 0.6381647 | Accuracy: 0.9100000
[2026-01-16 07:06:50,121] [INFO] - [ 1600/ 9800] | Cost: 0.6461149 | Accuracy: 0.8600000
[2026-01-16 07:09:02,286] [INFO] - [ 1700/ 9800] | Cost: 0.6421805 | Accuracy: 0.8000000
[2026-01-16 07:11:16,616] [INFO] - [ 1800/ 9800] | Cost: 0.6339153 | Accuracy: 0.8800000
[2026-01-16 07:13:25,764] [INFO] - [ 1900/ 9800] | Cost: 0.6293283 | Accuracy: 0.8900000
[2026-01-16 07:15:33,716] [INFO] - [ 2000/ 9800] | Cost: 0.6220312 | Accuracy: 0.9400000
[2026-01-16 07:17:48,483] [INFO] - [ 2100/ 9800] | Cost: 0.6181920 | Accuracy: 0.9200000
[2026-01-16 07:19:52,376] [INFO] - [ 2200/ 9800] | Cost: 0.6260617 | Accuracy: 0.9300000
