[2026-01-16 06:43:15,018] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 06:43:15,020] [INFO] - Using cuda.
[2026-01-16 06:43:15,453] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 06:43:15,456] [INFO] - Initiate model
[2026-01-16 06:43:15,458] [INFO] - Weights Shape: torch.Size([3, 16, 3])
[2026-01-16 06:43:15,459] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 06:44:39,922] [INFO] - [  100/ 9800] | Cost: 0.6919501 | Accuracy: 0.7300000
[2026-01-16 06:46:08,218] [INFO] - [  200/ 9800] | Cost: 0.6802329 | Accuracy: 0.6100000
[2026-01-16 06:47:47,221] [INFO] - [  300/ 9800] | Cost: 0.6950828 | Accuracy: 0.5000000
[2026-01-16 06:49:34,337] [INFO] - [  400/ 9800] | Cost: 0.7187609 | Accuracy: 0.4100000
[2026-01-16 06:51:12,018] [INFO] - [  500/ 9800] | Cost: 0.6969378 | Accuracy: 0.4800000
[2026-01-16 06:53:02,803] [INFO] - [  600/ 9800] | Cost: 0.6926904 | Accuracy: 0.4800000
[2026-01-16 06:54:42,253] [INFO] - [  700/ 9800] | Cost: 0.6868768 | Accuracy: 0.4800000
[2026-01-16 06:56:32,238] [INFO] - [  800/ 9800] | Cost: 0.6730606 | Accuracy: 0.5600000
[2026-01-16 06:58:24,280] [INFO] - [  900/ 9800] | Cost: 0.6784787 | Accuracy: 0.4500000
[2026-01-16 06:59:59,666] [INFO] - [ 1000/ 9800] | Cost: 0.6705348 | Accuracy: 0.8100000
[2026-01-16 07:01:49,407] [INFO] - [ 1100/ 9800] | Cost: 0.6654679 | Accuracy: 0.8900000
[2026-01-16 07:03:24,985] [INFO] - [ 1200/ 9800] | Cost: 0.6617931 | Accuracy: 0.9100000
[2026-01-16 07:05:14,247] [INFO] - [ 1300/ 9800] | Cost: 0.6554028 | Accuracy: 0.9200000
[2026-01-16 07:07:01,785] [INFO] - [ 1400/ 9800] | Cost: 0.6470575 | Accuracy: 0.9600000
[2026-01-16 07:08:53,452] [INFO] - [ 1500/ 9800] | Cost: 0.6413414 | Accuracy: 0.9400000
[2026-01-16 07:10:35,191] [INFO] - [ 1600/ 9800] | Cost: 0.6491830 | Accuracy: 0.8600000
[2026-01-16 07:12:18,114] [INFO] - [ 1700/ 9800] | Cost: 0.6401225 | Accuracy: 0.9300000
[2026-01-16 07:14:08,173] [INFO] - [ 1800/ 9800] | Cost: 0.6308956 | Accuracy: 0.9100000
[2026-01-16 07:15:58,045] [INFO] - [ 1900/ 9800] | Cost: 0.6235703 | Accuracy: 0.9200000
[2026-01-16 07:17:48,941] [INFO] - [ 2000/ 9800] | Cost: 0.6162069 | Accuracy: 0.9500000
[2026-01-16 07:19:34,897] [INFO] - [ 2100/ 9800] | Cost: 0.6118729 | Accuracy: 0.9300000
[2026-01-16 07:21:20,061] [INFO] - [ 2200/ 9800] | Cost: 0.6100933 | Accuracy: 0.9100000
[2026-01-16 07:23:07,088] [INFO] - [ 2300/ 9800] | Cost: 0.6123438 | Accuracy: 0.9100000
[2026-01-16 07:24:51,033] [INFO] - [ 2400/ 9800] | Cost: 0.5930820 | Accuracy: 0.9500000
[2026-01-16 07:26:39,430] [INFO] - [ 2500/ 9800] | Cost: 0.5877391 | Accuracy: 0.9200000
[2026-01-16 07:28:28,548] [INFO] - [ 2600/ 9800] | Cost: 0.5844602 | Accuracy: 0.9500000
[2026-01-16 07:30:29,200] [INFO] - [ 2700/ 9800] | Cost: 0.5793923 | Accuracy: 0.9300000
[2026-01-16 07:32:09,670] [INFO] - [ 2800/ 9800] | Cost: 0.5656412 | Accuracy: 0.9700000
[2026-01-16 07:34:04,295] [INFO] - [ 2900/ 9800] | Cost: 0.5684170 | Accuracy: 0.9300000
[2026-01-16 07:35:57,075] [INFO] - [ 3000/ 9800] | Cost: 0.5590569 | Accuracy: 0.9500000
[2026-01-16 07:37:41,790] [INFO] - [ 3100/ 9800] | Cost: 0.5772997 | Accuracy: 0.9200000
