[2026-01-16 08:29:17,990] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 08:29:17,992] [INFO] - Using cuda.
[2026-01-16 08:29:18,449] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 08:29:18,451] [INFO] - Initiate model
[2026-01-16 08:29:18,453] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-16 08:29:18,454] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 08:33:48,198] [INFO] - [  100/ 9800] | Cost: 0.6941324 | Accuracy: 0.4400000
[2026-01-16 08:38:37,609] [INFO] - [  200/ 9800] | Cost: 0.6831874 | Accuracy: 0.6100000
[2026-01-16 08:43:21,599] [INFO] - [  300/ 9800] | Cost: 0.6969443 | Accuracy: 0.5000000
[2026-01-16 08:48:06,839] [INFO] - [  400/ 9800] | Cost: 0.7211080 | Accuracy: 0.4100000
[2026-01-16 08:52:20,239] [INFO] - [  500/ 9800] | Cost: 0.7014307 | Accuracy: 0.4800000
[2026-01-16 08:56:52,877] [INFO] - [  600/ 9800] | Cost: 0.6977953 | Accuracy: 0.4800000
[2026-01-16 09:01:24,724] [INFO] - [  700/ 9800] | Cost: 0.6942615 | Accuracy: 0.4800000
[2026-01-16 09:06:06,399] [INFO] - [  800/ 9800] | Cost: 0.6843697 | Accuracy: 0.5600000
[2026-01-16 09:10:39,465] [INFO] - [  900/ 9800] | Cost: 0.6892469 | Accuracy: 0.4400000
[2026-01-16 09:15:20,945] [INFO] - [ 1000/ 9800] | Cost: 0.6850255 | Accuracy: 0.9700000
[2026-01-16 09:19:49,691] [INFO] - [ 1100/ 9800] | Cost: 0.6836645 | Accuracy: 0.4600000
[2026-01-16 09:24:43,345] [INFO] - [ 1200/ 9800] | Cost: 0.6679450 | Accuracy: 0.6700000
[2026-01-16 09:29:24,586] [INFO] - [ 1300/ 9800] | Cost: 0.6743687 | Accuracy: 0.5000000
[2026-01-16 09:34:23,667] [INFO] - [ 1400/ 9800] | Cost: 0.6723248 | Accuracy: 0.4700000
[2026-01-16 09:38:57,105] [INFO] - [ 1500/ 9800] | Cost: 0.6556109 | Accuracy: 0.5400000
[2026-01-16 09:43:43,610] [INFO] - [ 1600/ 9800] | Cost: 0.6624140 | Accuracy: 0.5100000
[2026-01-16 09:48:20,489] [INFO] - [ 1700/ 9800] | Cost: 0.6498772 | Accuracy: 0.7200000
[2026-01-16 09:53:00,770] [INFO] - [ 1800/ 9800] | Cost: 0.6342808 | Accuracy: 0.9000000
[2026-01-16 09:57:38,601] [INFO] - [ 1900/ 9800] | Cost: 0.6256214 | Accuracy: 0.9100000
[2026-01-16 10:02:19,560] [INFO] - [ 2000/ 9800] | Cost: 0.6091460 | Accuracy: 0.9500000
[2026-01-16 10:07:10,357] [INFO] - [ 2100/ 9800] | Cost: 0.6056804 | Accuracy: 0.9400000
[2026-01-16 10:11:52,858] [INFO] - [ 2200/ 9800] | Cost: 0.5985368 | Accuracy: 0.9300000
[2026-01-16 10:16:34,632] [INFO] - [ 2300/ 9800] | Cost: 0.5981411 | Accuracy: 0.9100000
[2026-01-16 10:21:18,897] [INFO] - [ 2400/ 9800] | Cost: 0.5743704 | Accuracy: 0.9700000
[2026-01-16 10:25:42,331] [INFO] - [ 2500/ 9800] | Cost: 0.5776739 | Accuracy: 0.9200000
[2026-01-16 10:30:26,480] [INFO] - [ 2600/ 9800] | Cost: 0.5856479 | Accuracy: 0.9200000
[2026-01-16 10:35:02,250] [INFO] - [ 2700/ 9800] | Cost: 0.5748718 | Accuracy: 0.9400000
[2026-01-16 10:39:39,191] [INFO] - [ 2800/ 9800] | Cost: 0.5652800 | Accuracy: 0.9300000
[2026-01-16 10:44:12,393] [INFO] - [ 2900/ 9800] | Cost: 0.5762104 | Accuracy: 0.9100000
[2026-01-16 10:48:31,984] [INFO] - [ 3000/ 9800] | Cost: 0.5607521 | Accuracy: 0.9300000
[2026-01-16 10:53:11,449] [INFO] - [ 3100/ 9800] | Cost: 0.5754931 | Accuracy: 0.9000000
[2026-01-16 10:58:04,279] [INFO] - [ 3200/ 9800] | Cost: 0.5639175 | Accuracy: 0.9200000
[2026-01-16 11:02:58,109] [INFO] - [ 3300/ 9800] | Cost: 0.5808203 | Accuracy: 0.9100000
[2026-01-16 11:07:38,750] [INFO] - [ 3400/ 9800] | Cost: 0.5689981 | Accuracy: 0.9400000
[2026-01-16 11:12:19,024] [INFO] - [ 3500/ 9800] | Cost: 0.5650089 | Accuracy: 0.9500000
[2026-01-16 11:16:48,873] [INFO] - [ 3600/ 9800] | Cost: 0.5688950 | Accuracy: 0.9400000
[2026-01-16 11:21:21,344] [INFO] - [ 3700/ 9800] | Cost: 0.5691408 | Accuracy: 0.9400000
[2026-01-16 11:26:24,104] [INFO] - [ 3800/ 9800] | Cost: 0.5665787 | Accuracy: 0.9300000
[2026-01-16 11:30:59,426] [INFO] - [ 3900/ 9800] | Cost: 0.5827087 | Accuracy: 0.8300000
[2026-01-16 11:35:44,831] [INFO] - [ 4000/ 9800] | Cost: 0.5806430 | Accuracy: 0.9300000
[2026-01-16 11:40:20,065] [INFO] - [ 4100/ 9800] | Cost: 0.5716877 | Accuracy: 0.9300000
[2026-01-16 11:45:01,225] [INFO] - [ 4200/ 9800] | Cost: 0.5869676 | Accuracy: 0.9100000
[2026-01-16 11:49:33,235] [INFO] - [ 4300/ 9800] | Cost: 0.5665849 | Accuracy: 0.9100000
[2026-01-16 11:53:54,972] [INFO] - [ 4400/ 9800] | Cost: 0.5641552 | Accuracy: 0.9500000
[2026-01-16 11:58:46,389] [INFO] - [ 4500/ 9800] | Cost: 0.5705590 | Accuracy: 0.9100000
[2026-01-16 12:03:18,176] [INFO] - [ 4600/ 9800] | Cost: 0.5724490 | Accuracy: 0.9300000
[2026-01-16 12:07:46,031] [INFO] - [ 4700/ 9800] | Cost: 0.5560980 | Accuracy: 0.9500000
[2026-01-16 12:12:11,903] [INFO] - [ 4800/ 9800] | Cost: 0.5761722 | Accuracy: 0.8900000
[2026-01-16 12:16:45,306] [INFO] - [ 4900/ 9800] | Cost: 0.5882065 | Accuracy: 0.8900000
[2026-01-16 12:21:52,704] [INFO] - [ 5000/ 9800] | Cost: 0.5589980 | Accuracy: 0.9600000
[2026-01-16 12:26:43,745] [INFO] - [ 5100/ 9800] | Cost: 0.5834146 | Accuracy: 0.8900000
[2026-01-16 12:31:15,735] [INFO] - [ 5200/ 9800] | Cost: 0.5807904 | Accuracy: 0.8600000
[2026-01-16 12:35:41,821] [INFO] - [ 5300/ 9800] | Cost: 0.5616819 | Accuracy: 0.9300000
[2026-01-16 12:40:22,638] [INFO] - [ 5400/ 9800] | Cost: 0.5611207 | Accuracy: 0.9700000
[2026-01-16 12:45:13,811] [INFO] - [ 5500/ 9800] | Cost: 0.5663466 | Accuracy: 0.9300000
[2026-01-16 12:50:05,650] [INFO] - [ 5600/ 9800] | Cost: 0.5730145 | Accuracy: 0.9200000
[2026-01-16 12:55:09,051] [INFO] - [ 5700/ 9800] | Cost: 0.5621337 | Accuracy: 0.9200000
[2026-01-16 12:59:40,468] [INFO] - [ 5800/ 9800] | Cost: 0.5728512 | Accuracy: 0.9300000
[2026-01-16 13:04:31,220] [INFO] - [ 5900/ 9800] | Cost: 0.5505220 | Accuracy: 0.9800000
[2026-01-16 13:09:04,176] [INFO] - [ 6000/ 9800] | Cost: 0.5463747 | Accuracy: 0.9500000
[2026-01-16 13:13:47,584] [INFO] - [ 6100/ 9800] | Cost: 0.5452144 | Accuracy: 0.9800000
[2026-01-16 13:18:27,100] [INFO] - [ 6200/ 9800] | Cost: 0.5662114 | Accuracy: 0.9400000
[2026-01-16 13:23:16,417] [INFO] - [ 6300/ 9800] | Cost: 0.5632070 | Accuracy: 0.9800000
[2026-01-16 13:28:09,314] [INFO] - [ 6400/ 9800] | Cost: 0.5633215 | Accuracy: 0.9000000
[2026-01-16 13:32:40,455] [INFO] - [ 6500/ 9800] | Cost: 0.5734259 | Accuracy: 0.9000000
[2026-01-16 13:37:25,064] [INFO] - [ 6600/ 9800] | Cost: 0.5612559 | Accuracy: 0.9000000
[2026-01-16 13:42:03,152] [INFO] - [ 6700/ 9800] | Cost: 0.5606900 | Accuracy: 0.9500000
[2026-01-16 13:46:48,765] [INFO] - [ 6800/ 9800] | Cost: 0.5555736 | Accuracy: 0.9300000
[2026-01-16 13:51:29,554] [INFO] - [ 6900/ 9800] | Cost: 0.5568594 | Accuracy: 0.9600000
[2026-01-16 13:56:13,884] [INFO] - [ 7000/ 9800] | Cost: 0.5444720 | Accuracy: 0.9600000
[2026-01-16 14:00:57,389] [INFO] - [ 7100/ 9800] | Cost: 0.5639176 | Accuracy: 0.9300000
[2026-01-16 14:05:48,288] [INFO] - [ 7200/ 9800] | Cost: 0.5682971 | Accuracy: 0.9200000
[2026-01-16 14:10:37,482] [INFO] - [ 7300/ 9800] | Cost: 0.5710302 | Accuracy: 0.9100000
[2026-01-16 14:15:06,523] [INFO] - [ 7400/ 9800] | Cost: 0.5693892 | Accuracy: 0.8900000
[2026-01-16 14:19:48,807] [INFO] - [ 7500/ 9800] | Cost: 0.5664373 | Accuracy: 0.9200000
[2026-01-16 14:24:26,124] [INFO] - [ 7600/ 9800] | Cost: 0.5603310 | Accuracy: 0.9300000
[2026-01-16 14:29:09,554] [INFO] - [ 7700/ 9800] | Cost: 0.5534834 | Accuracy: 0.9600000
[2026-01-16 14:33:53,826] [INFO] - [ 7800/ 9800] | Cost: 0.5596861 | Accuracy: 0.9400000
[2026-01-16 14:38:29,919] [INFO] - [ 7900/ 9800] | Cost: 0.5564850 | Accuracy: 0.9100000
[2026-01-16 14:43:02,347] [INFO] - [ 8000/ 9800] | Cost: 0.5730910 | Accuracy: 0.9000000
[2026-01-16 14:47:45,930] [INFO] - [ 8100/ 9800] | Cost: 0.5804372 | Accuracy: 0.9200000
[2026-01-16 14:52:27,301] [INFO] - [ 8200/ 9800] | Cost: 0.5847420 | Accuracy: 0.8500000
[2026-01-16 14:57:15,084] [INFO] - [ 8300/ 9800] | Cost: 0.5593213 | Accuracy: 0.9500000
[2026-01-16 15:01:52,633] [INFO] - [ 8400/ 9800] | Cost: 0.5587690 | Accuracy: 0.9400000
[2026-01-16 15:06:32,251] [INFO] - [ 8500/ 9800] | Cost: 0.5769801 | Accuracy: 0.9100000
[2026-01-16 15:11:00,964] [INFO] - [ 8600/ 9800] | Cost: 0.5525823 | Accuracy: 0.9700000
[2026-01-16 15:15:50,043] [INFO] - [ 8700/ 9800] | Cost: 0.5501546 | Accuracy: 0.9500000
[2026-01-16 15:20:30,337] [INFO] - [ 8800/ 9800] | Cost: 0.5827783 | Accuracy: 0.8800000
[2026-01-16 15:25:08,546] [INFO] - [ 8900/ 9800] | Cost: 0.5761890 | Accuracy: 0.9000000
[2026-01-16 15:29:55,748] [INFO] - [ 9000/ 9800] | Cost: 0.5689294 | Accuracy: 0.9300000
[2026-01-16 15:34:35,025] [INFO] - [ 9100/ 9800] | Cost: 0.5711113 | Accuracy: 0.9200000
[2026-01-16 15:39:10,789] [INFO] - [ 9200/ 9800] | Cost: 0.5660715 | Accuracy: 0.9600000
[2026-01-16 15:44:05,090] [INFO] - [ 9300/ 9800] | Cost: 0.5534282 | Accuracy: 0.9500000
[2026-01-16 15:48:55,380] [INFO] - [ 9400/ 9800] | Cost: 0.5704643 | Accuracy: 0.9200000
[2026-01-16 15:53:50,255] [INFO] - [ 9500/ 9800] | Cost: 0.5586518 | Accuracy: 0.9400000
[2026-01-16 15:58:14,258] [INFO] - [ 9600/ 9800] | Cost: 0.5510470 | Accuracy: 0.9400000
[2026-01-16 16:02:53,057] [INFO] - [ 9700/ 9800] | Cost: 0.5762312 | Accuracy: 0.9200000
[2026-01-16 16:07:18,107] [INFO] - [ 9800/ 9800] | Cost: 0.5611405 | Accuracy: 0.9600000
