[2026-01-16 10:48:49,755] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 10:48:49,757] [INFO] - Using cuda.
[2026-01-16 10:48:50,183] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 10:48:50,186] [INFO] - Initiate model
[2026-01-16 10:48:50,188] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-16 10:48:50,189] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 10:59:23,181] [INFO] - [  100/ 9800] | Cost: 0.6926994 | Accuracy: 0.6300000
[2026-01-16 11:10:15,370] [INFO] - [  200/ 9800] | Cost: 0.6814752 | Accuracy: 0.6100000
[2026-01-16 11:21:10,678] [INFO] - [  300/ 9800] | Cost: 0.6958404 | Accuracy: 0.5000000
[2026-01-16 11:31:53,613] [INFO] - [  400/ 9800] | Cost: 0.7187524 | Accuracy: 0.4100000
[2026-01-16 11:42:09,342] [INFO] - [  500/ 9800] | Cost: 0.6965584 | Accuracy: 0.4800000
[2026-01-16 11:52:50,702] [INFO] - [  600/ 9800] | Cost: 0.6907968 | Accuracy: 0.4800000
[2026-01-16 12:03:29,948] [INFO] - [  700/ 9800] | Cost: 0.6843231 | Accuracy: 0.4800000
[2026-01-16 12:14:45,060] [INFO] - [  800/ 9800] | Cost: 0.6679450 | Accuracy: 0.5600000
[2026-01-16 12:25:55,317] [INFO] - [  900/ 9800] | Cost: 0.6724169 | Accuracy: 0.4400000
[2026-01-16 12:36:57,121] [INFO] - [ 1000/ 9800] | Cost: 0.6557974 | Accuracy: 0.8300000
[2026-01-16 12:47:55,029] [INFO] - [ 1100/ 9800] | Cost: 0.6474290 | Accuracy: 0.8800000
[2026-01-16 12:59:06,547] [INFO] - [ 1200/ 9800] | Cost: 0.6457366 | Accuracy: 0.9400000
[2026-01-16 13:09:38,651] [INFO] - [ 1300/ 9800] | Cost: 0.6274704 | Accuracy: 0.9100000
[2026-01-16 13:20:02,316] [INFO] - [ 1400/ 9800] | Cost: 0.6132668 | Accuracy: 0.9500000
[2026-01-16 13:30:12,732] [INFO] - [ 1500/ 9800] | Cost: 0.5994158 | Accuracy: 0.9400000
[2026-01-16 13:41:10,349] [INFO] - [ 1600/ 9800] | Cost: 0.6036604 | Accuracy: 0.9100000
[2026-01-16 13:52:17,926] [INFO] - [ 1700/ 9800] | Cost: 0.5901463 | Accuracy: 0.9300000
[2026-01-16 14:03:07,582] [INFO] - [ 1800/ 9800] | Cost: 0.5888337 | Accuracy: 0.9100000
[2026-01-16 14:13:52,887] [INFO] - [ 1900/ 9800] | Cost: 0.5840856 | Accuracy: 0.9200000
[2026-01-16 14:24:37,331] [INFO] - [ 2000/ 9800] | Cost: 0.5665059 | Accuracy: 0.9800000
[2026-01-16 14:35:19,826] [INFO] - [ 2100/ 9800] | Cost: 0.5617555 | Accuracy: 0.9700000
[2026-01-16 14:46:13,673] [INFO] - [ 2200/ 9800] | Cost: 0.5669311 | Accuracy: 0.9400000
[2026-01-16 14:57:12,464] [INFO] - [ 2300/ 9800] | Cost: 0.5793278 | Accuracy: 0.9200000
[2026-01-16 15:08:17,180] [INFO] - [ 2400/ 9800] | Cost: 0.5571390 | Accuracy: 0.9800000
[2026-01-16 15:19:04,509] [INFO] - [ 2500/ 9800] | Cost: 0.5624492 | Accuracy: 0.9300000
[2026-01-16 15:29:46,286] [INFO] - [ 2600/ 9800] | Cost: 0.5742184 | Accuracy: 0.9000000
[2026-01-16 15:40:22,460] [INFO] - [ 2700/ 9800] | Cost: 0.5629736 | Accuracy: 0.9200000
[2026-01-16 15:50:58,887] [INFO] - [ 2800/ 9800] | Cost: 0.5490741 | Accuracy: 0.9500000
[2026-01-16 16:01:42,600] [INFO] - [ 2900/ 9800] | Cost: 0.5626736 | Accuracy: 0.9000000
[2026-01-16 16:12:41,307] [INFO] - [ 3000/ 9800] | Cost: 0.5518869 | Accuracy: 0.9600000
[2026-01-16 16:23:42,146] [INFO] - [ 3100/ 9800] | Cost: 0.5683422 | Accuracy: 0.9200000
[2026-01-16 16:34:18,683] [INFO] - [ 3200/ 9800] | Cost: 0.5539693 | Accuracy: 0.9300000
[2026-01-16 16:44:13,074] [INFO] - [ 3300/ 9800] | Cost: 0.5729558 | Accuracy: 0.9400000
[2026-01-16 16:54:33,737] [INFO] - [ 3400/ 9800] | Cost: 0.5623386 | Accuracy: 0.9400000
[2026-01-16 17:05:24,870] [INFO] - [ 3500/ 9800] | Cost: 0.5553272 | Accuracy: 0.9300000
[2026-01-16 17:16:08,601] [INFO] - [ 3600/ 9800] | Cost: 0.5589386 | Accuracy: 0.9400000
[2026-01-16 17:26:38,646] [INFO] - [ 3700/ 9800] | Cost: 0.5550944 | Accuracy: 0.9600000
[2026-01-16 17:36:55,570] [INFO] - [ 3800/ 9800] | Cost: 0.5499344 | Accuracy: 0.9400000
[2026-01-16 17:47:22,649] [INFO] - [ 3900/ 9800] | Cost: 0.5709831 | Accuracy: 0.8600000
[2026-01-16 17:57:46,734] [INFO] - [ 4000/ 9800] | Cost: 0.5688214 | Accuracy: 0.9200000
[2026-01-16 18:08:32,989] [INFO] - [ 4100/ 9800] | Cost: 0.5603104 | Accuracy: 0.9300000
[2026-01-16 18:19:02,529] [INFO] - [ 4200/ 9800] | Cost: 0.5756371 | Accuracy: 0.9300000
[2026-01-16 18:29:39,233] [INFO] - [ 4300/ 9800] | Cost: 0.5582218 | Accuracy: 0.9000000
[2026-01-16 18:40:24,093] [INFO] - [ 4400/ 9800] | Cost: 0.5586864 | Accuracy: 0.9400000
[2026-01-16 18:51:15,408] [INFO] - [ 4500/ 9800] | Cost: 0.5645027 | Accuracy: 0.9000000
[2026-01-16 19:02:00,671] [INFO] - [ 4600/ 9800] | Cost: 0.5638013 | Accuracy: 0.9400000
[2026-01-16 19:12:37,784] [INFO] - [ 4700/ 9800] | Cost: 0.5543298 | Accuracy: 0.9600000
[2026-01-16 19:23:31,570] [INFO] - [ 4800/ 9800] | Cost: 0.5723943 | Accuracy: 0.9100000
[2026-01-16 19:34:22,955] [INFO] - [ 4900/ 9800] | Cost: 0.5691299 | Accuracy: 0.9100000
[2026-01-16 19:45:05,846] [INFO] - [ 5000/ 9800] | Cost: 0.5547967 | Accuracy: 0.9400000
[2026-01-16 19:56:01,574] [INFO] - [ 5100/ 9800] | Cost: 0.5676446 | Accuracy: 0.9200000
[2026-01-16 20:06:48,767] [INFO] - [ 5200/ 9800] | Cost: 0.5724946 | Accuracy: 0.8900000
[2026-01-16 20:17:40,680] [INFO] - [ 5300/ 9800] | Cost: 0.5521418 | Accuracy: 0.9300000
[2026-01-16 20:28:18,153] [INFO] - [ 5400/ 9800] | Cost: 0.5536131 | Accuracy: 0.9700000
[2026-01-16 20:38:46,146] [INFO] - [ 5500/ 9800] | Cost: 0.5575230 | Accuracy: 0.9300000
[2026-01-16 20:49:23,967] [INFO] - [ 5600/ 9800] | Cost: 0.5581930 | Accuracy: 0.9100000
[2026-01-16 21:00:02,194] [INFO] - [ 5700/ 9800] | Cost: 0.5542231 | Accuracy: 0.9400000
[2026-01-16 21:10:46,097] [INFO] - [ 5800/ 9800] | Cost: 0.5603442 | Accuracy: 0.9400000
[2026-01-16 21:21:09,946] [INFO] - [ 5900/ 9800] | Cost: 0.5410385 | Accuracy: 0.9800000
[2026-01-16 21:31:17,885] [INFO] - [ 6000/ 9800] | Cost: 0.5416248 | Accuracy: 0.9600000
[2026-01-16 21:41:46,844] [INFO] - [ 6100/ 9800] | Cost: 0.5399901 | Accuracy: 0.9700000
[2026-01-16 21:52:50,907] [INFO] - [ 6200/ 9800] | Cost: 0.5610131 | Accuracy: 0.9400000
[2026-01-16 22:03:32,271] [INFO] - [ 6300/ 9800] | Cost: 0.5493399 | Accuracy: 0.9900000
[2026-01-16 22:14:25,285] [INFO] - [ 6400/ 9800] | Cost: 0.5571151 | Accuracy: 0.9000000
[2026-01-16 22:24:44,529] [INFO] - [ 6500/ 9800] | Cost: 0.5636436 | Accuracy: 0.9000000
[2026-01-16 22:35:34,062] [INFO] - [ 6600/ 9800] | Cost: 0.5533680 | Accuracy: 0.8900000
[2026-01-16 22:46:05,793] [INFO] - [ 6700/ 9800] | Cost: 0.5497466 | Accuracy: 0.9500000
[2026-01-16 22:57:06,627] [INFO] - [ 6800/ 9800] | Cost: 0.5470973 | Accuracy: 0.9300000
[2026-01-16 23:07:53,686] [INFO] - [ 6900/ 9800] | Cost: 0.5528689 | Accuracy: 0.9600000
[2026-01-16 23:19:06,705] [INFO] - [ 7000/ 9800] | Cost: 0.5349590 | Accuracy: 0.9500000
[2026-01-16 23:29:59,282] [INFO] - [ 7100/ 9800] | Cost: 0.5543439 | Accuracy: 0.9400000
[2026-01-16 23:40:52,995] [INFO] - [ 7200/ 9800] | Cost: 0.5625245 | Accuracy: 0.9100000
[2026-01-16 23:52:25,666] [INFO] - [ 7300/ 9800] | Cost: 0.5598022 | Accuracy: 0.9300000
[2026-01-17 00:03:36,884] [INFO] - [ 7400/ 9800] | Cost: 0.5635514 | Accuracy: 0.9000000
[2026-01-17 00:15:01,121] [INFO] - [ 7500/ 9800] | Cost: 0.5598154 | Accuracy: 0.9400000
[2026-01-17 00:26:25,958] [INFO] - [ 7600/ 9800] | Cost: 0.5529196 | Accuracy: 0.9400000
[2026-01-17 00:37:18,603] [INFO] - [ 7700/ 9800] | Cost: 0.5493768 | Accuracy: 0.9300000
[2026-01-17 00:48:22,024] [INFO] - [ 7800/ 9800] | Cost: 0.5528232 | Accuracy: 0.9500000
[2026-01-17 00:59:21,480] [INFO] - [ 7900/ 9800] | Cost: 0.5495712 | Accuracy: 0.9600000
[2026-01-17 01:10:33,089] [INFO] - [ 8000/ 9800] | Cost: 0.5594243 | Accuracy: 0.9300000
[2026-01-17 01:21:43,795] [INFO] - [ 8100/ 9800] | Cost: 0.5710351 | Accuracy: 0.9100000
[2026-01-17 01:32:36,346] [INFO] - [ 8200/ 9800] | Cost: 0.5766239 | Accuracy: 0.8700000
[2026-01-17 01:43:26,253] [INFO] - [ 8300/ 9800] | Cost: 0.5546921 | Accuracy: 0.9600000
[2026-01-17 01:54:42,596] [INFO] - [ 8400/ 9800] | Cost: 0.5490181 | Accuracy: 0.9500000
[2026-01-17 02:05:34,935] [INFO] - [ 8500/ 9800] | Cost: 0.5726491 | Accuracy: 0.9100000
[2026-01-17 02:16:48,298] [INFO] - [ 8600/ 9800] | Cost: 0.5470202 | Accuracy: 0.9500000
[2026-01-17 02:27:53,821] [INFO] - [ 8700/ 9800] | Cost: 0.5469317 | Accuracy: 0.9500000
[2026-01-17 02:38:38,190] [INFO] - [ 8800/ 9800] | Cost: 0.5678768 | Accuracy: 0.8900000
[2026-01-17 02:49:13,869] [INFO] - [ 8900/ 9800] | Cost: 0.5661387 | Accuracy: 0.9000000
[2026-01-17 03:00:14,386] [INFO] - [ 9000/ 9800] | Cost: 0.5576832 | Accuracy: 0.9300000
[2026-01-17 03:10:50,030] [INFO] - [ 9100/ 9800] | Cost: 0.5648904 | Accuracy: 0.9200000
[2026-01-17 03:21:35,155] [INFO] - [ 9200/ 9800] | Cost: 0.5587338 | Accuracy: 0.9400000
[2026-01-17 03:31:56,633] [INFO] - [ 9300/ 9800] | Cost: 0.5481232 | Accuracy: 0.9600000
[2026-01-17 03:42:32,253] [INFO] - [ 9400/ 9800] | Cost: 0.5624185 | Accuracy: 0.9400000
[2026-01-17 03:52:47,911] [INFO] - [ 9500/ 9800] | Cost: 0.5498271 | Accuracy: 0.9400000
[2026-01-17 04:03:03,455] [INFO] - [ 9600/ 9800] | Cost: 0.5481872 | Accuracy: 0.9500000
[2026-01-17 04:13:29,543] [INFO] - [ 9700/ 9800] | Cost: 0.5714625 | Accuracy: 0.9300000
[2026-01-17 04:24:02,718] [INFO] - [ 9800/ 9800] | Cost: 0.5547787 | Accuracy: 0.9500000
