[2026-01-16 10:57:21,473] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 10:57:21,476] [INFO] - Using cuda.
[2026-01-16 10:57:21,893] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 10:57:21,896] [INFO] - Initiate model
[2026-01-16 10:57:22,116] [INFO] - Weights Shape: torch.Size([3, 16, 3])
[2026-01-16 10:57:22,117] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 10:58:57,156] [INFO] - [  100/ 9800] | Cost: 0.6927834 | Accuracy: 0.5500000
[2026-01-16 11:00:35,713] [INFO] - [  200/ 9800] | Cost: 0.6811966 | Accuracy: 0.6100000
[2026-01-16 11:02:31,410] [INFO] - [  300/ 9800] | Cost: 0.6958758 | Accuracy: 0.5000000
[2026-01-16 11:04:25,356] [INFO] - [  400/ 9800] | Cost: 0.7167189 | Accuracy: 0.4100000
[2026-01-16 11:05:40,363] [INFO] - [  500/ 9800] | Cost: 0.6926849 | Accuracy: 0.4800000
[2026-01-16 11:07:27,160] [INFO] - [  600/ 9800] | Cost: 0.6870526 | Accuracy: 0.4800000
[2026-01-16 11:09:09,746] [INFO] - [  700/ 9800] | Cost: 0.6753485 | Accuracy: 0.4800000
[2026-01-16 11:10:44,519] [INFO] - [  800/ 9800] | Cost: 0.6603132 | Accuracy: 0.5600000
[2026-01-16 11:12:28,943] [INFO] - [  900/ 9800] | Cost: 0.6646356 | Accuracy: 0.4600000
[2026-01-16 11:14:24,981] [INFO] - [ 1000/ 9800] | Cost: 0.6408879 | Accuracy: 0.7900000
[2026-01-16 11:16:08,341] [INFO] - [ 1100/ 9800] | Cost: 0.6335953 | Accuracy: 0.8100000
[2026-01-16 11:17:42,845] [INFO] - [ 1200/ 9800] | Cost: 0.6331844 | Accuracy: 0.8800000
[2026-01-16 11:19:26,531] [INFO] - [ 1300/ 9800] | Cost: 0.6265599 | Accuracy: 0.7800000
[2026-01-16 11:21:11,231] [INFO] - [ 1400/ 9800] | Cost: 0.6189565 | Accuracy: 0.8000000
[2026-01-16 11:22:42,633] [INFO] - [ 1500/ 9800] | Cost: 0.6134084 | Accuracy: 0.8200000
[2026-01-16 11:24:30,872] [INFO] - [ 1600/ 9800] | Cost: 0.6151831 | Accuracy: 0.8200000
[2026-01-16 11:26:32,093] [INFO] - [ 1700/ 9800] | Cost: 0.6082412 | Accuracy: 0.8200000
[2026-01-16 11:27:51,331] [INFO] - [ 1800/ 9800] | Cost: 0.6293130 | Accuracy: 0.7600000
[2026-01-16 11:29:34,069] [INFO] - [ 1900/ 9800] | Cost: 0.6038466 | Accuracy: 0.8000000
[2026-01-16 11:31:21,422] [INFO] - [ 2000/ 9800] | Cost: 0.5930122 | Accuracy: 0.8400000
[2026-01-16 11:32:46,745] [INFO] - [ 2100/ 9800] | Cost: 0.5919923 | Accuracy: 0.8300000
[2026-01-16 11:34:28,464] [INFO] - [ 2200/ 9800] | Cost: 0.5958337 | Accuracy: 0.8100000
[2026-01-16 11:36:25,725] [INFO] - [ 2300/ 9800] | Cost: 0.5993581 | Accuracy: 0.8200000
[2026-01-16 11:38:13,936] [INFO] - [ 2400/ 9800] | Cost: 0.5957691 | Accuracy: 0.8100000
[2026-01-16 11:39:47,625] [INFO] - [ 2500/ 9800] | Cost: 0.5913576 | Accuracy: 0.8200000
[2026-01-16 11:41:32,593] [INFO] - [ 2600/ 9800] | Cost: 0.5874409 | Accuracy: 0.8400000
[2026-01-16 11:43:09,907] [INFO] - [ 2700/ 9800] | Cost: 0.6007606 | Accuracy: 0.7900000
[2026-01-16 11:44:50,776] [INFO] - [ 2800/ 9800] | Cost: 0.5881082 | Accuracy: 0.8400000
[2026-01-16 11:46:42,524] [INFO] - [ 2900/ 9800] | Cost: 0.5902351 | Accuracy: 0.8300000
[2026-01-16 11:48:25,936] [INFO] - [ 3000/ 9800] | Cost: 0.5811434 | Accuracy: 0.8500000
[2026-01-16 11:50:14,168] [INFO] - [ 3100/ 9800] | Cost: 0.6086854 | Accuracy: 0.7800000
[2026-01-16 11:51:40,221] [INFO] - [ 3200/ 9800] | Cost: 0.6019869 | Accuracy: 0.8200000
[2026-01-16 11:53:13,561] [INFO] - [ 3300/ 9800] | Cost: 0.6122047 | Accuracy: 0.8000000
[2026-01-16 11:54:45,221] [INFO] - [ 3400/ 9800] | Cost: 0.5794082 | Accuracy: 0.8500000
[2026-01-16 11:56:25,087] [INFO] - [ 3500/ 9800] | Cost: 0.5855455 | Accuracy: 0.8300000
[2026-01-16 11:58:15,656] [INFO] - [ 3600/ 9800] | Cost: 0.5778965 | Accuracy: 0.8500000
[2026-01-16 12:00:00,593] [INFO] - [ 3700/ 9800] | Cost: 0.6015931 | Accuracy: 0.8000000
[2026-01-16 12:01:30,194] [INFO] - [ 3800/ 9800] | Cost: 0.5839018 | Accuracy: 0.8400000
[2026-01-16 12:03:08,690] [INFO] - [ 3900/ 9800] | Cost: 0.5916690 | Accuracy: 0.8000000
[2026-01-16 12:05:01,820] [INFO] - [ 4000/ 9800] | Cost: 0.6162689 | Accuracy: 0.7800000
[2026-01-16 12:06:34,759] [INFO] - [ 4100/ 9800] | Cost: 0.5914373 | Accuracy: 0.8000000
[2026-01-16 12:08:31,951] [INFO] - [ 4200/ 9800] | Cost: 0.5981452 | Accuracy: 0.8100000
[2026-01-16 12:10:25,880] [INFO] - [ 4300/ 9800] | Cost: 0.5885633 | Accuracy: 0.8000000
[2026-01-16 12:12:06,193] [INFO] - [ 4400/ 9800] | Cost: 0.6010300 | Accuracy: 0.8000000
[2026-01-16 12:13:27,350] [INFO] - [ 4500/ 9800] | Cost: 0.5904011 | Accuracy: 0.8500000
[2026-01-16 12:15:20,185] [INFO] - [ 4600/ 9800] | Cost: 0.5863798 | Accuracy: 0.8400000
[2026-01-16 12:17:07,378] [INFO] - [ 4700/ 9800] | Cost: 0.5814030 | Accuracy: 0.8800000
[2026-01-16 12:18:23,232] [INFO] - [ 4800/ 9800] | Cost: 0.6054075 | Accuracy: 0.8100000
