[2026-01-17 16:04:17,627] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 16:04:17,860] [INFO] - Using cuda.
[2026-01-17 16:04:18,317] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-17 16:04:18,320] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 16:04:21,384] [INFO] - Initiate model
[2026-01-17 16:04:21,442] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 16:04:21,443] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 16:05:13,685] [INFO] - [  100/10346] | Cost: 0.7316220 | Accuracy: 0.3600000
[2026-01-17 16:06:07,272] [INFO] - [  200/10346] | Cost: 0.7131639 | Accuracy: 0.4400000
[2026-01-17 16:07:00,796] [INFO] - [  300/10346] | Cost: 0.6845444 | Accuracy: 0.5200000
[2026-01-17 16:07:54,342] [INFO] - [  400/10346] | Cost: 0.6619892 | Accuracy: 0.5600000
[2026-01-17 16:08:47,665] [INFO] - [  500/10346] | Cost: 0.6608740 | Accuracy: 0.5700000
[2026-01-17 16:09:41,154] [INFO] - [  600/10346] | Cost: 0.6402795 | Accuracy: 0.5500000
[2026-01-17 16:10:34,591] [INFO] - [  700/10346] | Cost: 0.6145260 | Accuracy: 0.6000000
[2026-01-17 16:11:28,049] [INFO] - [  800/10346] | Cost: 0.6050394 | Accuracy: 0.6700000
[2026-01-17 16:12:21,305] [INFO] - [  900/10346] | Cost: 0.6284697 | Accuracy: 0.5900000
[2026-01-17 16:13:14,784] [INFO] - [ 1000/10346] | Cost: 0.6046752 | Accuracy: 0.7300000
[2026-01-17 16:14:08,179] [INFO] - [ 1100/10346] | Cost: 0.5908427 | Accuracy: 0.8600000
[2026-01-17 16:15:01,659] [INFO] - [ 1200/10346] | Cost: 0.5897809 | Accuracy: 0.8800000
[2026-01-17 16:15:55,120] [INFO] - [ 1300/10346] | Cost: 0.5713986 | Accuracy: 0.9700000
[2026-01-17 16:16:48,462] [INFO] - [ 1400/10346] | Cost: 0.5620285 | Accuracy: 0.9800000
[2026-01-17 16:17:41,802] [INFO] - [ 1500/10346] | Cost: 0.5524572 | Accuracy: 0.9900000
[2026-01-17 16:18:35,200] [INFO] - [ 1600/10346] | Cost: 0.5483074 | Accuracy: 0.9900000
[2026-01-17 16:19:28,611] [INFO] - [ 1700/10346] | Cost: 0.5301341 | Accuracy: 0.9900000
[2026-01-17 16:20:22,183] [INFO] - [ 1800/10346] | Cost: 0.5151899 | Accuracy: 0.9900000
[2026-01-17 16:21:15,342] [INFO] - [ 1900/10346] | Cost: 0.4964964 | Accuracy: 0.9800000
[2026-01-17 16:22:08,714] [INFO] - [ 2000/10346] | Cost: 0.4964130 | Accuracy: 0.9700000
[2026-01-17 16:23:02,126] [INFO] - [ 2100/10346] | Cost: 0.5011661 | Accuracy: 0.9700000
[2026-01-17 16:23:55,666] [INFO] - [ 2200/10346] | Cost: 0.4834516 | Accuracy: 0.9300000
[2026-01-17 16:24:48,892] [INFO] - [ 2300/10346] | Cost: 0.4690324 | Accuracy: 0.9900000
[2026-01-17 16:25:42,318] [INFO] - [ 2400/10346] | Cost: 0.4440862 | Accuracy: 0.9900000
[2026-01-17 16:26:35,684] [INFO] - [ 2500/10346] | Cost: 0.4459223 | Accuracy: 0.9600000
[2026-01-17 16:27:29,138] [INFO] - [ 2600/10346] | Cost: 0.4585187 | Accuracy: 0.9600000
[2026-01-17 16:28:22,355] [INFO] - [ 2700/10346] | Cost: 0.4667760 | Accuracy: 0.9600000
[2026-01-17 16:29:15,780] [INFO] - [ 2800/10346] | Cost: 0.4470200 | Accuracy: 0.9700000
[2026-01-17 16:30:09,117] [INFO] - [ 2900/10346] | Cost: 0.4531484 | Accuracy: 0.9700000
[2026-01-17 16:31:02,586] [INFO] - [ 3000/10346] | Cost: 0.4437328 | Accuracy: 0.9700000
[2026-01-17 16:31:55,772] [INFO] - [ 3100/10346] | Cost: 0.4493782 | Accuracy: 0.9800000
[2026-01-17 16:32:49,185] [INFO] - [ 3200/10346] | Cost: 0.4476504 | Accuracy: 0.9800000
[2026-01-17 16:33:42,530] [INFO] - [ 3300/10346] | Cost: 0.4379355 | Accuracy: 0.9400000
[2026-01-17 16:34:35,980] [INFO] - [ 3400/10346] | Cost: 0.4422010 | Accuracy: 0.9700000
[2026-01-17 16:35:29,178] [INFO] - [ 3500/10346] | Cost: 0.4141474 | Accuracy: 0.9900000
[2026-01-17 16:36:22,597] [INFO] - [ 3600/10346] | Cost: 0.4214810 | Accuracy: 0.9800000
