[2026-01-17 17:32:28,036] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-17 17:32:28,038] [INFO] - Using cuda.
[2026-01-17 17:32:28,077] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:32:28,079] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:32:41,413] [INFO] - Initiate model
[2026-01-17 17:32:41,415] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:32:41,416] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:33:34,999] [INFO] - [  100/ 4200] | Cost: 0.7382620 | Accuracy: 0.5100000
[2026-01-17 17:34:28,450] [INFO] - [  200/ 4200] | Cost: 0.6928036 | Accuracy: 0.5000000
[2026-01-17 17:35:22,076] [INFO] - [  300/ 4200] | Cost: 0.6683247 | Accuracy: 0.6300000
[2026-01-17 17:36:14,218] [INFO] - [  400/ 4200] | Cost: 0.6702284 | Accuracy: 0.5000000
[2026-01-17 17:36:48,727] [INFO] - [  500/ 4200] | Cost: 0.6203573 | Accuracy: 0.6200000
[2026-01-17 17:37:29,178] [INFO] - [  600/ 4200] | Cost: 0.6171139 | Accuracy: 0.6200000
[2026-01-17 17:38:18,512] [INFO] - [  700/ 4200] | Cost: 0.6111047 | Accuracy: 0.6500000
[2026-01-17 17:39:12,123] [INFO] - [  800/ 4200] | Cost: 0.6138996 | Accuracy: 0.6600000
[2026-01-17 17:40:05,581] [INFO] - [  900/ 4200] | Cost: 0.5786501 | Accuracy: 0.8200000
[2026-01-17 17:40:59,013] [INFO] - [ 1000/ 4200] | Cost: 0.5737256 | Accuracy: 0.8200000
[2026-01-17 17:41:52,547] [INFO] - [ 1100/ 4200] | Cost: 0.5323340 | Accuracy: 0.9300000
[2026-01-17 17:42:45,911] [INFO] - [ 1200/ 4200] | Cost: 0.5209212 | Accuracy: 0.9500000
[2026-01-17 17:43:39,439] [INFO] - [ 1300/ 4200] | Cost: 0.5098055 | Accuracy: 0.9400000
[2026-01-17 17:44:32,966] [INFO] - [ 1400/ 4200] | Cost: 0.5200830 | Accuracy: 0.9500000
[2026-01-17 17:45:26,563] [INFO] - [ 1500/ 4200] | Cost: 0.4994116 | Accuracy: 0.9500000
[2026-01-17 17:46:20,112] [INFO] - [ 1600/ 4200] | Cost: 0.4908804 | Accuracy: 0.9600000
[2026-01-17 17:47:13,500] [INFO] - [ 1700/ 4200] | Cost: 0.4859910 | Accuracy: 0.9500000
[2026-01-17 17:48:07,063] [INFO] - [ 1800/ 4200] | Cost: 0.4877322 | Accuracy: 0.9600000
[2026-01-17 17:49:00,618] [INFO] - [ 1900/ 4200] | Cost: 0.4580857 | Accuracy: 0.9600000
[2026-01-17 17:49:54,211] [INFO] - [ 2000/ 4200] | Cost: 0.4796509 | Accuracy: 0.8900000
[2026-01-17 17:50:47,801] [INFO] - [ 2100/ 4200] | Cost: 0.4760084 | Accuracy: 0.8900000
[2026-01-17 17:51:41,306] [INFO] - [ 2200/ 4200] | Cost: 0.4712215 | Accuracy: 0.8700000
[2026-01-17 17:52:34,662] [INFO] - [ 2300/ 4200] | Cost: 0.4463530 | Accuracy: 0.9200000
[2026-01-17 17:53:28,221] [INFO] - [ 2400/ 4200] | Cost: 0.4332325 | Accuracy: 0.9100000
[2026-01-17 17:54:21,756] [INFO] - [ 2500/ 4200] | Cost: 0.4615265 | Accuracy: 0.8800000
[2026-01-17 17:55:15,229] [INFO] - [ 2600/ 4200] | Cost: 0.4191405 | Accuracy: 0.9000000
[2026-01-17 17:56:08,739] [INFO] - [ 2700/ 4200] | Cost: 0.4342192 | Accuracy: 0.8900000
[2026-01-17 17:57:02,074] [INFO] - [ 2800/ 4200] | Cost: 0.4305095 | Accuracy: 0.9000000
[2026-01-17 17:57:55,673] [INFO] - [ 2900/ 4200] | Cost: 0.3876429 | Accuracy: 0.9700000
[2026-01-17 17:58:49,225] [INFO] - [ 3000/ 4200] | Cost: 0.3905694 | Accuracy: 0.9200000
[2026-01-17 17:59:42,740] [INFO] - [ 3100/ 4200] | Cost: 0.3986078 | Accuracy: 0.8900000
[2026-01-17 18:00:36,317] [INFO] - [ 3200/ 4200] | Cost: 0.3829386 | Accuracy: 0.9300000
