[2026-01-17 17:36:51,303] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:36:51,305] [INFO] - Using cuda.
[2026-01-17 17:36:51,357] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:36:51,359] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:36:58,160] [INFO] - Initiate model
[2026-01-17 17:36:58,162] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:36:58,163] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:37:40,621] [INFO] - [  100/ 4200] | Cost: 0.6967762 | Accuracy: 0.6500000
[2026-01-17 17:38:33,075] [INFO] - [  200/ 4200] | Cost: 0.6667536 | Accuracy: 0.4800000
[2026-01-17 17:39:26,622] [INFO] - [  300/ 4200] | Cost: 0.6492183 | Accuracy: 0.4400000
[2026-01-17 17:40:20,091] [INFO] - [  400/ 4200] | Cost: 0.6115711 | Accuracy: 0.9600000
[2026-01-17 17:41:13,569] [INFO] - [  500/ 4200] | Cost: 0.5831451 | Accuracy: 0.9900000
[2026-01-17 17:42:06,844] [INFO] - [  600/ 4200] | Cost: 0.5662096 | Accuracy: 0.9200000
[2026-01-17 17:43:00,357] [INFO] - [  700/ 4200] | Cost: 0.5521713 | Accuracy: 0.8700000
[2026-01-17 17:43:53,805] [INFO] - [  800/ 4200] | Cost: 0.5598634 | Accuracy: 0.7900000
[2026-01-17 17:44:47,267] [INFO] - [  900/ 4200] | Cost: 0.5362882 | Accuracy: 0.8400000
[2026-01-17 17:45:40,513] [INFO] - [ 1000/ 4200] | Cost: 0.5307366 | Accuracy: 0.7900000
[2026-01-17 17:46:33,956] [INFO] - [ 1100/ 4200] | Cost: 0.4979131 | Accuracy: 0.8700000
[2026-01-17 17:47:27,410] [INFO] - [ 1200/ 4200] | Cost: 0.4781303 | Accuracy: 0.9100000
[2026-01-17 17:48:20,888] [INFO] - [ 1300/ 4200] | Cost: 0.4576019 | Accuracy: 0.9100000
[2026-01-17 17:49:14,108] [INFO] - [ 1400/ 4200] | Cost: 0.4706371 | Accuracy: 0.9400000
[2026-01-17 17:50:07,519] [INFO] - [ 1500/ 4200] | Cost: 0.4380266 | Accuracy: 0.9500000
[2026-01-17 17:51:00,954] [INFO] - [ 1600/ 4200] | Cost: 0.4262737 | Accuracy: 0.9600000
[2026-01-17 17:51:54,369] [INFO] - [ 1700/ 4200] | Cost: 0.4121797 | Accuracy: 0.9800000
[2026-01-17 17:52:47,567] [INFO] - [ 1800/ 4200] | Cost: 0.4056030 | Accuracy: 0.9900000
[2026-01-17 17:53:40,936] [INFO] - [ 1900/ 4200] | Cost: 0.3760259 | Accuracy: 0.9700000
[2026-01-17 17:54:34,361] [INFO] - [ 2000/ 4200] | Cost: 0.3894249 | Accuracy: 0.9300000
[2026-01-17 17:55:27,788] [INFO] - [ 2100/ 4200] | Cost: 0.3920605 | Accuracy: 0.9300000
[2026-01-17 17:56:21,210] [INFO] - [ 2200/ 4200] | Cost: 0.3823024 | Accuracy: 0.9100000
[2026-01-17 17:57:14,382] [INFO] - [ 2300/ 4200] | Cost: 0.3543644 | Accuracy: 0.9400000
[2026-01-17 17:58:07,828] [INFO] - [ 2400/ 4200] | Cost: 0.3398586 | Accuracy: 0.9700000
[2026-01-17 17:59:01,285] [INFO] - [ 2500/ 4200] | Cost: 0.3905878 | Accuracy: 0.9100000
[2026-01-17 17:59:54,691] [INFO] - [ 2600/ 4200] | Cost: 0.3442646 | Accuracy: 0.9500000
[2026-01-17 18:00:47,903] [INFO] - [ 2700/ 4200] | Cost: 0.3666736 | Accuracy: 0.8900000
[2026-01-17 18:01:41,345] [INFO] - [ 2800/ 4200] | Cost: 0.3710203 | Accuracy: 0.9000000
[2026-01-17 18:02:34,796] [INFO] - [ 2900/ 4200] | Cost: 0.3294680 | Accuracy: 0.9700000
[2026-01-17 18:03:28,255] [INFO] - [ 3000/ 4200] | Cost: 0.3373238 | Accuracy: 0.9300000
[2026-01-17 18:04:21,680] [INFO] - [ 3100/ 4200] | Cost: 0.3517708 | Accuracy: 0.8900000
[2026-01-17 18:05:14,944] [INFO] - [ 3200/ 4200] | Cost: 0.3420868 | Accuracy: 0.9200000
