[2026-01-17 17:36:59,748] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:36:59,750] [INFO] - Using cuda.
[2026-01-17 17:36:59,789] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:36:59,791] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:37:44,823] [INFO] - Initiate model
[2026-01-17 17:37:44,825] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:37:44,826] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:38:38,202] [INFO] - [  100/ 4200] | Cost: 0.6874997 | Accuracy: 0.5100000
[2026-01-17 17:39:31,401] [INFO] - [  200/ 4200] | Cost: 0.6678919 | Accuracy: 0.7600000
[2026-01-17 17:40:24,835] [INFO] - [  300/ 4200] | Cost: 0.6717390 | Accuracy: 0.5000000
[2026-01-17 17:41:18,174] [INFO] - [  400/ 4200] | Cost: 0.6491541 | Accuracy: 0.6400000
[2026-01-17 17:42:11,586] [INFO] - [  500/ 4200] | Cost: 0.6435059 | Accuracy: 0.6400000
[2026-01-17 17:43:04,799] [INFO] - [  600/ 4200] | Cost: 0.6179439 | Accuracy: 0.9000000
[2026-01-17 17:43:58,224] [INFO] - [  700/ 4200] | Cost: 0.6046752 | Accuracy: 0.8700000
[2026-01-17 17:44:51,604] [INFO] - [  800/ 4200] | Cost: 0.6211856 | Accuracy: 0.7400000
[2026-01-17 17:45:44,975] [INFO] - [  900/ 4200] | Cost: 0.5684931 | Accuracy: 0.9000000
[2026-01-17 17:46:38,168] [INFO] - [ 1000/ 4200] | Cost: 0.5641506 | Accuracy: 0.8500000
[2026-01-17 17:47:31,569] [INFO] - [ 1100/ 4200] | Cost: 0.5589066 | Accuracy: 0.8900000
[2026-01-17 17:48:25,008] [INFO] - [ 1200/ 4200] | Cost: 0.5259348 | Accuracy: 0.8600000
[2026-01-17 17:49:18,382] [INFO] - [ 1300/ 4200] | Cost: 0.4939198 | Accuracy: 0.9300000
[2026-01-17 17:50:11,607] [INFO] - [ 1400/ 4200] | Cost: 0.4793712 | Accuracy: 0.9200000
[2026-01-17 17:51:05,082] [INFO] - [ 1500/ 4200] | Cost: 0.4400454 | Accuracy: 0.9500000
[2026-01-17 17:51:58,549] [INFO] - [ 1600/ 4200] | Cost: 0.4641522 | Accuracy: 0.9200000
[2026-01-17 17:52:51,886] [INFO] - [ 1700/ 4200] | Cost: 0.4594528 | Accuracy: 0.8800000
[2026-01-17 17:53:45,097] [INFO] - [ 1800/ 4200] | Cost: 0.4430619 | Accuracy: 0.8800000
[2026-01-17 17:54:38,450] [INFO] - [ 1900/ 4200] | Cost: 0.4429237 | Accuracy: 0.8500000
[2026-01-17 17:55:31,857] [INFO] - [ 2000/ 4200] | Cost: 0.4511234 | Accuracy: 0.8600000
[2026-01-17 17:56:25,276] [INFO] - [ 2100/ 4200] | Cost: 0.4564736 | Accuracy: 0.8500000
[2026-01-17 17:57:18,623] [INFO] - [ 2200/ 4200] | Cost: 0.4386350 | Accuracy: 0.8700000
[2026-01-17 17:58:11,824] [INFO] - [ 2300/ 4200] | Cost: 0.4212667 | Accuracy: 0.9200000
[2026-01-17 17:59:05,208] [INFO] - [ 2400/ 4200] | Cost: 0.4218594 | Accuracy: 0.8900000
[2026-01-17 17:59:58,562] [INFO] - [ 2500/ 4200] | Cost: 0.4059267 | Accuracy: 0.9000000
[2026-01-17 18:00:51,747] [INFO] - [ 2600/ 4200] | Cost: 0.4544011 | Accuracy: 0.8500000
[2026-01-17 18:01:45,172] [INFO] - [ 2700/ 4200] | Cost: 0.4402823 | Accuracy: 0.8900000
[2026-01-17 18:02:38,523] [INFO] - [ 2800/ 4200] | Cost: 0.4344087 | Accuracy: 0.9000000
[2026-01-17 18:03:31,913] [INFO] - [ 2900/ 4200] | Cost: 0.4053219 | Accuracy: 0.9000000
[2026-01-17 18:04:25,287] [INFO] - [ 3000/ 4200] | Cost: 0.4217363 | Accuracy: 0.9200000
[2026-01-17 18:05:18,499] [INFO] - [ 3100/ 4200] | Cost: 0.4325509 | Accuracy: 0.8500000
[2026-01-17 18:06:11,906] [INFO] - [ 3200/ 4200] | Cost: 0.4751687 | Accuracy: 0.8100000
[2026-01-17 18:07:05,241] [INFO] - [ 3300/ 4200] | Cost: 0.4572852 | Accuracy: 0.8700000
[2026-01-17 18:07:58,609] [INFO] - [ 3400/ 4200] | Cost: 0.4141519 | Accuracy: 0.9300000
[2026-01-17 18:08:51,819] [INFO] - [ 3500/ 4200] | Cost: 0.4116067 | Accuracy: 0.9200000
[2026-01-17 18:09:43,394] [INFO] - [ 3600/ 4200] | Cost: 0.4239761 | Accuracy: 0.8700000
[2026-01-17 18:10:31,133] [INFO] - [ 3700/ 4200] | Cost: 0.3978689 | Accuracy: 0.9300000
[2026-01-17 18:11:24,521] [INFO] - [ 3800/ 4200] | Cost: 0.4847597 | Accuracy: 0.8300000
[2026-01-17 18:12:17,716] [INFO] - [ 3900/ 4200] | Cost: 0.4336950 | Accuracy: 0.8400000
[2026-01-17 18:13:11,051] [INFO] - [ 4000/ 4200] | Cost: 0.4153351 | Accuracy: 0.8800000
[2026-01-17 18:14:03,050] [INFO] - [ 4100/ 4200] | Cost: 0.4418379 | Accuracy: 0.9100000
[2026-01-17 18:14:46,550] [INFO] - [ 4200/ 4200] | Cost: 0.4156694 | Accuracy: 0.8900000
[2026-01-17 18:15:06,624] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-17/16-03-43/55/saved_models/model_epoch-0.pt
[2026-01-17 18:15:06,625] [INFO] - Validation for epoch   0 | Cost: 0.4223935 | Accuracy: 0.8883333
