[2026-01-17 16:04:17,571] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 16:04:17,576] [INFO] - Using cuda.
[2026-01-17 16:04:18,275] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-17 16:04:18,277] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 16:04:22,068] [INFO] - Initiate model
[2026-01-17 16:04:22,121] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 16:04:22,123] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 16:05:13,917] [INFO] - [  100/10346] | Cost: 0.7403858 | Accuracy: 0.4000000
[2026-01-17 16:06:07,514] [INFO] - [  200/10346] | Cost: 0.7230586 | Accuracy: 0.4500000
[2026-01-17 16:07:01,017] [INFO] - [  300/10346] | Cost: 0.6866183 | Accuracy: 0.4700000
[2026-01-17 16:07:54,549] [INFO] - [  400/10346] | Cost: 0.6661183 | Accuracy: 0.5600000
[2026-01-17 16:08:47,888] [INFO] - [  500/10346] | Cost: 0.6640846 | Accuracy: 0.5600000
[2026-01-17 16:09:41,392] [INFO] - [  600/10346] | Cost: 0.6422272 | Accuracy: 0.5400000
[2026-01-17 16:10:34,814] [INFO] - [  700/10346] | Cost: 0.6142476 | Accuracy: 0.5900000
[2026-01-17 16:11:28,286] [INFO] - [  800/10346] | Cost: 0.6026710 | Accuracy: 0.6300000
[2026-01-17 16:12:21,527] [INFO] - [  900/10346] | Cost: 0.6300331 | Accuracy: 0.5400000
[2026-01-17 16:13:14,980] [INFO] - [ 1000/10346] | Cost: 0.5998001 | Accuracy: 0.6600000
[2026-01-17 16:14:08,365] [INFO] - [ 1100/10346] | Cost: 0.5819511 | Accuracy: 0.8300000
[2026-01-17 16:15:01,868] [INFO] - [ 1200/10346] | Cost: 0.5777473 | Accuracy: 0.8600000
[2026-01-17 16:15:55,123] [INFO] - [ 1300/10346] | Cost: 0.5595517 | Accuracy: 0.9800000
[2026-01-17 16:16:48,641] [INFO] - [ 1400/10346] | Cost: 0.5448574 | Accuracy: 0.9900000
[2026-01-17 16:17:42,022] [INFO] - [ 1500/10346] | Cost: 0.5338593 | Accuracy: 0.9900000
[2026-01-17 16:18:35,473] [INFO] - [ 1600/10346] | Cost: 0.5266113 | Accuracy: 0.9900000
[2026-01-17 16:19:28,908] [INFO] - [ 1700/10346] | Cost: 0.5077991 | Accuracy: 0.9900000
[2026-01-17 16:20:22,267] [INFO] - [ 1800/10346] | Cost: 0.4900613 | Accuracy: 0.9900000
[2026-01-17 16:21:15,668] [INFO] - [ 1900/10346] | Cost: 0.4720479 | Accuracy: 1.0000000
[2026-01-17 16:22:09,084] [INFO] - [ 2000/10346] | Cost: 0.4642640 | Accuracy: 1.0000000
[2026-01-17 16:23:02,439] [INFO] - [ 2100/10346] | Cost: 0.4682884 | Accuracy: 0.9800000
[2026-01-17 16:23:55,751] [INFO] - [ 2200/10346] | Cost: 0.4577280 | Accuracy: 0.9800000
[2026-01-17 16:24:49,161] [INFO] - [ 2300/10346] | Cost: 0.4417502 | Accuracy: 1.0000000
[2026-01-17 16:25:42,601] [INFO] - [ 2400/10346] | Cost: 0.4234403 | Accuracy: 1.0000000
[2026-01-17 16:26:35,956] [INFO] - [ 2500/10346] | Cost: 0.4242460 | Accuracy: 0.9900000
[2026-01-17 16:27:29,399] [INFO] - [ 2600/10346] | Cost: 0.4383548 | Accuracy: 0.9600000
[2026-01-17 16:28:22,625] [INFO] - [ 2700/10346] | Cost: 0.4463199 | Accuracy: 0.9700000
[2026-01-17 16:29:16,055] [INFO] - [ 2800/10346] | Cost: 0.4253949 | Accuracy: 0.9800000
[2026-01-17 16:30:09,405] [INFO] - [ 2900/10346] | Cost: 0.4313861 | Accuracy: 0.9800000
[2026-01-17 16:31:02,860] [INFO] - [ 3000/10346] | Cost: 0.4143257 | Accuracy: 0.9600000
[2026-01-17 16:31:56,040] [INFO] - [ 3100/10346] | Cost: 0.4148750 | Accuracy: 0.9700000
[2026-01-17 16:32:49,438] [INFO] - [ 3200/10346] | Cost: 0.4088334 | Accuracy: 0.9800000
[2026-01-17 16:33:42,783] [INFO] - [ 3300/10346] | Cost: 0.4006568 | Accuracy: 0.9500000
[2026-01-17 16:34:36,212] [INFO] - [ 3400/10346] | Cost: 0.4113046 | Accuracy: 0.9800000
[2026-01-17 16:35:29,413] [INFO] - [ 3500/10346] | Cost: 0.3671051 | Accuracy: 1.0000000
[2026-01-17 16:36:22,851] [INFO] - [ 3600/10346] | Cost: 0.3779016 | Accuracy: 0.9800000
[2026-01-17 16:37:16,165] [INFO] - [ 3700/10346] | Cost: 0.3639222 | Accuracy: 0.9800000
