[2026-01-17 18:14:20,707] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 18:14:20,712] [INFO] - Using cuda.
[2026-01-17 18:14:22,208] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:14:22,211] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:14:28,647] [INFO] - Initiate model
[2026-01-17 18:14:28,725] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:14:28,726] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:15:17,922] [INFO] - [  100/ 8400] | Cost: 0.7043744 | Accuracy: 0.3900000
[2026-01-17 18:16:10,012] [INFO] - [  200/ 8400] | Cost: 0.6822485 | Accuracy: 0.5800000
[2026-01-17 18:17:03,408] [INFO] - [  300/ 8400] | Cost: 0.6899973 | Accuracy: 0.5300000
[2026-01-17 18:17:56,823] [INFO] - [  400/ 8400] | Cost: 0.6975372 | Accuracy: 0.4900000
[2026-01-17 18:18:49,999] [INFO] - [  500/ 8400] | Cost: 0.6902231 | Accuracy: 0.4600000
[2026-01-17 18:19:43,397] [INFO] - [  600/ 8400] | Cost: 0.6682153 | Accuracy: 0.6800000
[2026-01-17 18:20:36,795] [INFO] - [  700/ 8400] | Cost: 0.6787077 | Accuracy: 0.5700000
[2026-01-17 18:21:30,192] [INFO] - [  800/ 8400] | Cost: 0.6777327 | Accuracy: 0.6000000
[2026-01-17 18:22:23,591] [INFO] - [  900/ 8400] | Cost: 0.6629724 | Accuracy: 0.7000000
[2026-01-17 18:23:16,777] [INFO] - [ 1000/ 8400] | Cost: 0.6461933 | Accuracy: 0.7600000
[2026-01-17 18:24:10,190] [INFO] - [ 1100/ 8400] | Cost: 0.6567181 | Accuracy: 0.6800000
[2026-01-17 18:25:03,599] [INFO] - [ 1200/ 8400] | Cost: 0.6397800 | Accuracy: 0.7400000
[2026-01-17 18:25:56,965] [INFO] - [ 1300/ 8400] | Cost: 0.6666464 | Accuracy: 0.6300000
[2026-01-17 18:26:50,195] [INFO] - [ 1400/ 8400] | Cost: 0.6370606 | Accuracy: 0.7300000
[2026-01-17 18:27:43,556] [INFO] - [ 1500/ 8400] | Cost: 0.6323501 | Accuracy: 0.7100000
[2026-01-17 18:28:36,961] [INFO] - [ 1600/ 8400] | Cost: 0.6476087 | Accuracy: 0.6500000
[2026-01-17 18:29:30,390] [INFO] - [ 1700/ 8400] | Cost: 0.6352905 | Accuracy: 0.7500000
[2026-01-17 18:30:23,634] [INFO] - [ 1800/ 8400] | Cost: 0.6449536 | Accuracy: 0.7000000
[2026-01-17 18:31:17,044] [INFO] - [ 1900/ 8400] | Cost: 0.6326718 | Accuracy: 0.7000000
[2026-01-17 18:32:10,484] [INFO] - [ 2000/ 8400] | Cost: 0.6514294 | Accuracy: 0.6700000
[2026-01-17 18:33:03,925] [INFO] - [ 2100/ 8400] | Cost: 0.6445491 | Accuracy: 0.6700000
[2026-01-17 18:33:57,147] [INFO] - [ 2200/ 8400] | Cost: 0.6529469 | Accuracy: 0.6600000
[2026-01-17 18:34:50,536] [INFO] - [ 2300/ 8400] | Cost: 0.6457031 | Accuracy: 0.7000000
[2026-01-17 18:35:43,903] [INFO] - [ 2400/ 8400] | Cost: 0.6283559 | Accuracy: 0.6700000
[2026-01-17 18:36:37,116] [INFO] - [ 2500/ 8400] | Cost: 0.6397917 | Accuracy: 0.6600000
[2026-01-17 18:37:30,490] [INFO] - [ 2600/ 8400] | Cost: 0.6255969 | Accuracy: 0.6700000
[2026-01-17 18:38:23,850] [INFO] - [ 2700/ 8400] | Cost: 0.6323931 | Accuracy: 0.6000000
[2026-01-17 18:39:17,249] [INFO] - [ 2800/ 8400] | Cost: 0.6098139 | Accuracy: 0.6800000
[2026-01-17 18:40:10,616] [INFO] - [ 2900/ 8400] | Cost: 0.6106774 | Accuracy: 0.7300000
[2026-01-17 18:41:03,829] [INFO] - [ 3000/ 8400] | Cost: 0.6381844 | Accuracy: 0.6400000
[2026-01-17 18:41:57,241] [INFO] - [ 3100/ 8400] | Cost: 0.6203465 | Accuracy: 0.7300000
[2026-01-17 18:42:50,626] [INFO] - [ 3200/ 8400] | Cost: 0.6379991 | Accuracy: 0.7000000
[2026-01-17 18:43:44,029] [INFO] - [ 3300/ 8400] | Cost: 0.6441569 | Accuracy: 0.6800000
[2026-01-17 18:44:37,260] [INFO] - [ 3400/ 8400] | Cost: 0.6414831 | Accuracy: 0.6600000
[2026-01-17 18:45:30,702] [INFO] - [ 3500/ 8400] | Cost: 0.6367863 | Accuracy: 0.6900000
[2026-01-17 18:46:24,089] [INFO] - [ 3600/ 8400] | Cost: 0.5861360 | Accuracy: 0.7400000
[2026-01-17 18:47:17,195] [INFO] - [ 3700/ 8400] | Cost: 0.6005334 | Accuracy: 0.7400000
[2026-01-17 18:48:01,508] [INFO] - [ 3800/ 8400] | Cost: 0.5679008 | Accuracy: 0.7500000
[2026-01-17 18:48:54,813] [INFO] - [ 3900/ 8400] | Cost: 0.6041058 | Accuracy: 0.6900000
[2026-01-17 18:49:48,319] [INFO] - [ 4000/ 8400] | Cost: 0.5962281 | Accuracy: 0.6700000
[2026-01-17 18:50:41,741] [INFO] - [ 4100/ 8400] | Cost: 0.6504064 | Accuracy: 0.6300000
[2026-01-17 18:51:35,261] [INFO] - [ 4200/ 8400] | Cost: 0.6118548 | Accuracy: 0.7000000
[2026-01-17 18:52:28,575] [INFO] - [ 4300/ 8400] | Cost: 0.6516216 | Accuracy: 0.6200000
[2026-01-17 18:53:22,056] [INFO] - [ 4400/ 8400] | Cost: 0.6601584 | Accuracy: 0.5900000
[2026-01-17 18:54:15,477] [INFO] - [ 4500/ 8400] | Cost: 0.6318541 | Accuracy: 0.6300000
[2026-01-17 18:55:08,751] [INFO] - [ 4600/ 8400] | Cost: 0.6020155 | Accuracy: 0.6900000
[2026-01-17 18:56:02,202] [INFO] - [ 4700/ 8400] | Cost: 0.6318798 | Accuracy: 0.6600000
[2026-01-17 18:56:55,639] [INFO] - [ 4800/ 8400] | Cost: 0.5957211 | Accuracy: 0.7300000
[2026-01-17 18:57:49,002] [INFO] - [ 4900/ 8400] | Cost: 0.6091983 | Accuracy: 0.6800000
[2026-01-17 18:58:39,780] [INFO] - [ 5000/ 8400] | Cost: 0.6229351 | Accuracy: 0.6300000
[2026-01-17 18:59:26,750] [INFO] - [ 5100/ 8400] | Cost: 0.5761527 | Accuracy: 0.7100000
[2026-01-17 19:00:20,163] [INFO] - [ 5200/ 8400] | Cost: 0.5936515 | Accuracy: 0.7100000
[2026-01-17 19:01:13,557] [INFO] - [ 5300/ 8400] | Cost: 0.5859519 | Accuracy: 0.7100000
[2026-01-17 19:02:07,042] [INFO] - [ 5400/ 8400] | Cost: 0.5641457 | Accuracy: 0.7800000
[2026-01-17 19:03:00,248] [INFO] - [ 5500/ 8400] | Cost: 0.6257445 | Accuracy: 0.6800000
[2026-01-17 19:03:53,685] [INFO] - [ 5600/ 8400] | Cost: 0.6046994 | Accuracy: 0.6700000
[2026-01-17 19:04:40,006] [INFO] - [ 5700/ 8400] | Cost: 0.6008732 | Accuracy: 0.6900000
[2026-01-17 19:05:33,344] [INFO] - [ 5800/ 8400] | Cost: 0.6169579 | Accuracy: 0.6800000
[2026-01-17 19:06:26,712] [INFO] - [ 5900/ 8400] | Cost: 0.6358293 | Accuracy: 0.6800000
[2026-01-17 19:07:19,880] [INFO] - [ 6000/ 8400] | Cost: 0.5857547 | Accuracy: 0.6900000
[2026-01-17 19:08:13,296] [INFO] - [ 6100/ 8400] | Cost: 0.6187975 | Accuracy: 0.6900000
[2026-01-17 19:09:06,641] [INFO] - [ 6200/ 8400] | Cost: 0.6166346 | Accuracy: 0.7100000
[2026-01-17 19:10:00,051] [INFO] - [ 6300/ 8400] | Cost: 0.6301973 | Accuracy: 0.6600000
[2026-01-17 19:10:53,235] [INFO] - [ 6400/ 8400] | Cost: 0.5862903 | Accuracy: 0.7100000
[2026-01-17 19:11:46,611] [INFO] - [ 6500/ 8400] | Cost: 0.5989142 | Accuracy: 0.7200000
[2026-01-17 19:12:39,957] [INFO] - [ 6600/ 8400] | Cost: 0.6294124 | Accuracy: 0.6700000
[2026-01-17 19:13:33,322] [INFO] - [ 6700/ 8400] | Cost: 0.5509887 | Accuracy: 0.7600000
[2026-01-17 19:14:26,532] [INFO] - [ 6800/ 8400] | Cost: 0.6205768 | Accuracy: 0.6700000
[2026-01-17 19:15:19,762] [INFO] - [ 6900/ 8400] | Cost: 0.6297204 | Accuracy: 0.6700000
[2026-01-17 19:16:03,420] [INFO] - [ 7000/ 8400] | Cost: 0.6409518 | Accuracy: 0.6500000
[2026-01-17 19:16:45,767] [INFO] - [ 7100/ 8400] | Cost: 0.5846493 | Accuracy: 0.7200000
[2026-01-17 19:17:27,984] [INFO] - [ 7200/ 8400] | Cost: 0.5592940 | Accuracy: 0.7200000
[2026-01-17 19:18:10,515] [INFO] - [ 7300/ 8400] | Cost: 0.6532024 | Accuracy: 0.6300000
[2026-01-17 19:19:03,965] [INFO] - [ 7400/ 8400] | Cost: 0.5801507 | Accuracy: 0.7300000
[2026-01-17 19:19:57,606] [INFO] - [ 7500/ 8400] | Cost: 0.5658389 | Accuracy: 0.7600000
[2026-01-17 19:20:42,340] [INFO] - [ 7600/ 8400] | Cost: 0.5996597 | Accuracy: 0.6800000
[2026-01-17 19:21:28,912] [INFO] - [ 7700/ 8400] | Cost: 0.6210240 | Accuracy: 0.6600000
