[2026-01-17 18:14:17,119] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: RMP
  pca: true
  supports_color: true

[2026-01-17 18:14:17,121] [INFO] - Using cuda.
[2026-01-17 18:14:18,506] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:14:18,512] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:14:24,671] [INFO] - Initiate model
[2026-01-17 18:14:24,748] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:14:24,749] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:15:14,514] [INFO] - [  100/ 8400] | Cost: 0.6979947 | Accuracy: 0.5100000
[2026-01-17 18:16:05,363] [INFO] - [  200/ 8400] | Cost: 0.6895272 | Accuracy: 0.5900000
[2026-01-17 18:16:58,787] [INFO] - [  300/ 8400] | Cost: 0.6906842 | Accuracy: 0.5300000
[2026-01-17 18:17:52,211] [INFO] - [  400/ 8400] | Cost: 0.6941124 | Accuracy: 0.4900000
[2026-01-17 18:18:45,678] [INFO] - [  500/ 8400] | Cost: 0.6931503 | Accuracy: 0.4600000
[2026-01-17 18:19:39,110] [INFO] - [  600/ 8400] | Cost: 0.6896569 | Accuracy: 0.5200000
[2026-01-17 18:20:32,360] [INFO] - [  700/ 8400] | Cost: 0.6983221 | Accuracy: 0.3700000
[2026-01-17 18:21:25,793] [INFO] - [  800/ 8400] | Cost: 0.6939390 | Accuracy: 0.4800000
[2026-01-17 18:22:19,215] [INFO] - [  900/ 8400] | Cost: 0.6882945 | Accuracy: 0.6300000
[2026-01-17 18:23:12,614] [INFO] - [ 1000/ 8400] | Cost: 0.6877943 | Accuracy: 0.7200000
[2026-01-17 18:24:05,811] [INFO] - [ 1100/ 8400] | Cost: 0.6878312 | Accuracy: 0.6400000
[2026-01-17 18:24:59,255] [INFO] - [ 1200/ 8400] | Cost: 0.6870325 | Accuracy: 0.7000000
[2026-01-17 18:25:52,682] [INFO] - [ 1300/ 8400] | Cost: 0.6907353 | Accuracy: 0.5100000
[2026-01-17 18:26:46,093] [INFO] - [ 1400/ 8400] | Cost: 0.6866072 | Accuracy: 0.5800000
[2026-01-17 18:27:39,278] [INFO] - [ 1500/ 8400] | Cost: 0.6845999 | Accuracy: 0.5400000
