[2026-01-17 18:14:22,376] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-17 18:14:22,381] [INFO] - Using cuda.
[2026-01-17 18:14:23,831] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:14:23,834] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:14:26,681] [INFO] - Initiate model
[2026-01-17 18:14:26,751] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:14:26,752] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:15:16,244] [INFO] - [  100/ 8400] | Cost: 0.6914916 | Accuracy: 0.4700000
[2026-01-17 18:16:07,928] [INFO] - [  200/ 8400] | Cost: 0.6912507 | Accuracy: 0.5600000
[2026-01-17 18:17:01,458] [INFO] - [  300/ 8400] | Cost: 0.6891044 | Accuracy: 0.5200000
[2026-01-17 18:17:54,995] [INFO] - [  400/ 8400] | Cost: 0.6837139 | Accuracy: 0.5400000
[2026-01-17 18:18:48,491] [INFO] - [  500/ 8400] | Cost: 0.6638353 | Accuracy: 0.6500000
[2026-01-17 18:19:41,839] [INFO] - [  600/ 8400] | Cost: 0.6621330 | Accuracy: 0.6500000
[2026-01-17 18:20:35,360] [INFO] - [  700/ 8400] | Cost: 0.6692522 | Accuracy: 0.5700000
[2026-01-17 18:21:28,843] [INFO] - [  800/ 8400] | Cost: 0.6743712 | Accuracy: 0.5900000
[2026-01-17 18:22:22,323] [INFO] - [  900/ 8400] | Cost: 0.6487980 | Accuracy: 0.6200000
[2026-01-17 18:23:15,802] [INFO] - [ 1000/ 8400] | Cost: 0.6072981 | Accuracy: 0.8300000
[2026-01-17 18:24:09,270] [INFO] - [ 1100/ 8400] | Cost: 0.6334929 | Accuracy: 0.6700000
[2026-01-17 18:25:02,571] [INFO] - [ 1200/ 8400] | Cost: 0.6471680 | Accuracy: 0.6200000
[2026-01-17 18:25:56,053] [INFO] - [ 1300/ 8400] | Cost: 0.6235801 | Accuracy: 0.6600000
[2026-01-17 18:26:49,549] [INFO] - [ 1400/ 8400] | Cost: 0.5914930 | Accuracy: 0.7700000
[2026-01-17 18:27:42,976] [INFO] - [ 1500/ 8400] | Cost: 0.6155218 | Accuracy: 0.6900000
