[2026-01-17 18:15:14,257] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 18:15:14,262] [INFO] - Using cuda.
[2026-01-17 18:15:15,705] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:15:15,709] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:15:20,626] [INFO] - Initiate model
[2026-01-17 18:15:20,710] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:15:20,711] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:16:13,716] [INFO] - [  100/ 8400] | Cost: 0.7045828 | Accuracy: 0.3800000
[2026-01-17 18:17:07,195] [INFO] - [  200/ 8400] | Cost: 0.6827263 | Accuracy: 0.5900000
[2026-01-17 18:18:00,695] [INFO] - [  300/ 8400] | Cost: 0.6893147 | Accuracy: 0.5300000
[2026-01-17 18:18:54,111] [INFO] - [  400/ 8400] | Cost: 0.6970652 | Accuracy: 0.4900000
[2026-01-17 18:19:47,336] [INFO] - [  500/ 8400] | Cost: 0.6891501 | Accuracy: 0.4700000
[2026-01-17 18:20:40,754] [INFO] - [  600/ 8400] | Cost: 0.6695421 | Accuracy: 0.6800000
[2026-01-17 18:21:34,153] [INFO] - [  700/ 8400] | Cost: 0.6797662 | Accuracy: 0.5800000
[2026-01-17 18:22:27,567] [INFO] - [  800/ 8400] | Cost: 0.6783826 | Accuracy: 0.5700000
[2026-01-17 18:23:20,953] [INFO] - [  900/ 8400] | Cost: 0.6641390 | Accuracy: 0.6700000
[2026-01-17 18:24:14,174] [INFO] - [ 1000/ 8400] | Cost: 0.6475204 | Accuracy: 0.7700000
[2026-01-17 18:25:07,616] [INFO] - [ 1100/ 8400] | Cost: 0.6581531 | Accuracy: 0.6800000
[2026-01-17 18:26:00,998] [INFO] - [ 1200/ 8400] | Cost: 0.6420316 | Accuracy: 0.7200000
[2026-01-17 18:26:54,402] [INFO] - [ 1300/ 8400] | Cost: 0.6666667 | Accuracy: 0.6400000
[2026-01-17 18:27:47,820] [INFO] - [ 1400/ 8400] | Cost: 0.6391571 | Accuracy: 0.7200000
[2026-01-17 18:28:41,065] [INFO] - [ 1500/ 8400] | Cost: 0.6363218 | Accuracy: 0.6700000
[2026-01-17 18:29:34,478] [INFO] - [ 1600/ 8400] | Cost: 0.6486064 | Accuracy: 0.6400000
[2026-01-17 18:30:27,933] [INFO] - [ 1700/ 8400] | Cost: 0.6379026 | Accuracy: 0.7500000
[2026-01-17 18:31:21,359] [INFO] - [ 1800/ 8400] | Cost: 0.6458182 | Accuracy: 0.7000000
[2026-01-17 18:32:14,555] [INFO] - [ 1900/ 8400] | Cost: 0.6345196 | Accuracy: 0.6800000
[2026-01-17 18:33:07,984] [INFO] - [ 2000/ 8400] | Cost: 0.6520361 | Accuracy: 0.6700000
[2026-01-17 18:34:01,441] [INFO] - [ 2100/ 8400] | Cost: 0.6441646 | Accuracy: 0.6800000
[2026-01-17 18:34:54,810] [INFO] - [ 2200/ 8400] | Cost: 0.6514258 | Accuracy: 0.6700000
[2026-01-17 18:35:47,981] [INFO] - [ 2300/ 8400] | Cost: 0.6440803 | Accuracy: 0.7100000
[2026-01-17 18:36:41,389] [INFO] - [ 2400/ 8400] | Cost: 0.6282606 | Accuracy: 0.6700000
[2026-01-17 18:37:34,779] [INFO] - [ 2500/ 8400] | Cost: 0.6356796 | Accuracy: 0.6700000
[2026-01-17 18:38:28,130] [INFO] - [ 2600/ 8400] | Cost: 0.6279494 | Accuracy: 0.6300000
