[2026-01-18 03:07:37,054] [INFO] - seed: 1
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 03:07:37,056] [INFO] - Using cuda.
[2026-01-18 03:07:37,471] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-18 03:07:37,474] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 03:07:40,905] [INFO] - Initiate model
[2026-01-18 03:07:40,907] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 03:07:40,908] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 03:08:07,894] [INFO] - [  100/ 9800] | Cost: 0.6948067 | Accuracy: 0.5600000
[2026-01-18 03:08:42,855] [INFO] - [  200/ 9800] | Cost: 0.6806084 | Accuracy: 0.6200000
[2026-01-18 03:09:17,706] [INFO] - [  300/ 9800] | Cost: 0.6491544 | Accuracy: 0.6100000
[2026-01-18 03:09:52,627] [INFO] - [  400/ 9800] | Cost: 0.6573836 | Accuracy: 0.5100000
[2026-01-18 03:10:27,428] [INFO] - [  500/ 9800] | Cost: 0.6682383 | Accuracy: 0.4300000
[2026-01-18 03:11:02,385] [INFO] - [  600/ 9800] | Cost: 0.6250662 | Accuracy: 0.4900000
[2026-01-18 03:11:37,344] [INFO] - [  700/ 9800] | Cost: 0.6151851 | Accuracy: 0.5200000
[2026-01-18 03:12:12,273] [INFO] - [  800/ 9800] | Cost: 0.5652266 | Accuracy: 0.9100000
[2026-01-18 03:12:47,261] [INFO] - [  900/ 9800] | Cost: 0.5692338 | Accuracy: 0.9300000
[2026-01-18 03:13:22,056] [INFO] - [ 1000/ 9800] | Cost: 0.5688161 | Accuracy: 0.9100000
[2026-01-18 03:13:56,992] [INFO] - [ 1100/ 9800] | Cost: 0.5307430 | Accuracy: 0.9400000
[2026-01-18 03:14:31,944] [INFO] - [ 1200/ 9800] | Cost: 0.5282413 | Accuracy: 0.8900000
[2026-01-18 03:15:06,919] [INFO] - [ 1300/ 9800] | Cost: 0.5421764 | Accuracy: 0.8300000
[2026-01-18 03:15:41,741] [INFO] - [ 1400/ 9800] | Cost: 0.4966294 | Accuracy: 0.9100000
[2026-01-18 03:16:16,704] [INFO] - [ 1500/ 9800] | Cost: 0.5008648 | Accuracy: 0.8400000
[2026-01-18 03:16:51,672] [INFO] - [ 1600/ 9800] | Cost: 0.4943819 | Accuracy: 0.8900000
[2026-01-18 03:17:26,505] [INFO] - [ 1700/ 9800] | Cost: 0.5056003 | Accuracy: 0.8300000
[2026-01-18 03:18:01,551] [INFO] - [ 1800/ 9800] | Cost: 0.4885544 | Accuracy: 0.9000000
[2026-01-18 03:18:36,501] [INFO] - [ 1900/ 9800] | Cost: 0.4908505 | Accuracy: 0.8400000
[2026-01-18 03:19:11,460] [INFO] - [ 2000/ 9800] | Cost: 0.4781428 | Accuracy: 0.8200000
[2026-01-18 03:19:46,411] [INFO] - [ 2100/ 9800] | Cost: 0.4665516 | Accuracy: 0.9000000
[2026-01-18 03:20:21,260] [INFO] - [ 2200/ 9800] | Cost: 0.4565632 | Accuracy: 0.9200000
[2026-01-18 03:20:56,208] [INFO] - [ 2300/ 9800] | Cost: 0.4827664 | Accuracy: 0.8800000
[2026-01-18 03:21:31,139] [INFO] - [ 2400/ 9800] | Cost: 0.4468682 | Accuracy: 0.9300000
[2026-01-18 03:22:06,064] [INFO] - [ 2500/ 9800] | Cost: 0.4884986 | Accuracy: 0.9000000
[2026-01-18 03:22:40,886] [INFO] - [ 2600/ 9800] | Cost: 0.4890464 | Accuracy: 0.8600000
[2026-01-18 03:23:15,844] [INFO] - [ 2700/ 9800] | Cost: 0.4339156 | Accuracy: 0.9500000
[2026-01-18 03:23:50,838] [INFO] - [ 2800/ 9800] | Cost: 0.4700645 | Accuracy: 0.8900000
[2026-01-18 03:24:25,775] [INFO] - [ 2900/ 9800] | Cost: 0.4672963 | Accuracy: 0.8900000
[2026-01-18 03:25:00,806] [INFO] - [ 3000/ 9800] | Cost: 0.4326788 | Accuracy: 0.8800000
[2026-01-18 03:25:35,627] [INFO] - [ 3100/ 9800] | Cost: 0.4418063 | Accuracy: 0.9200000
[2026-01-18 03:26:10,688] [INFO] - [ 3200/ 9800] | Cost: 0.4229957 | Accuracy: 0.8800000
[2026-01-18 03:26:45,706] [INFO] - [ 3300/ 9800] | Cost: 0.4499950 | Accuracy: 0.8600000
[2026-01-18 03:27:20,769] [INFO] - [ 3400/ 9800] | Cost: 0.4652809 | Accuracy: 0.7900000
[2026-01-18 03:27:55,619] [INFO] - [ 3500/ 9800] | Cost: 0.4289008 | Accuracy: 0.8800000
[2026-01-18 03:28:30,665] [INFO] - [ 3600/ 9800] | Cost: 0.4295860 | Accuracy: 0.9100000
[2026-01-18 03:29:05,648] [INFO] - [ 3700/ 9800] | Cost: 0.4233124 | Accuracy: 0.9300000
[2026-01-18 03:29:40,636] [INFO] - [ 3800/ 9800] | Cost: 0.4025419 | Accuracy: 0.9400000
[2026-01-18 03:30:15,668] [INFO] - [ 3900/ 9800] | Cost: 0.3989138 | Accuracy: 0.9300000
[2026-01-18 03:30:50,416] [INFO] - [ 4000/ 9800] | Cost: 0.3862433 | Accuracy: 0.9300000
[2026-01-18 03:31:25,391] [INFO] - [ 4100/ 9800] | Cost: 0.4267850 | Accuracy: 0.9200000
[2026-01-18 03:32:00,357] [INFO] - [ 4200/ 9800] | Cost: 0.4151875 | Accuracy: 0.9400000
[2026-01-18 03:32:35,080] [INFO] - [ 4300/ 9800] | Cost: 0.4160258 | Accuracy: 0.9400000
[2026-01-18 03:33:04,536] [INFO] - [ 4400/ 9800] | Cost: 0.3995510 | Accuracy: 0.9100000
[2026-01-18 03:33:39,552] [INFO] - [ 4500/ 9800] | Cost: 0.4230850 | Accuracy: 0.8900000
[2026-01-18 03:34:14,543] [INFO] - [ 4600/ 9800] | Cost: 0.4004343 | Accuracy: 0.9200000
[2026-01-18 03:34:49,496] [INFO] - [ 4700/ 9800] | Cost: 0.4225347 | Accuracy: 0.9000000
[2026-01-18 03:35:24,570] [INFO] - [ 4800/ 9800] | Cost: 0.3976523 | Accuracy: 0.9600000
[2026-01-18 03:35:59,434] [INFO] - [ 4900/ 9800] | Cost: 0.3843561 | Accuracy: 0.9600000
[2026-01-18 03:36:34,477] [INFO] - [ 5000/ 9800] | Cost: 0.4216928 | Accuracy: 0.9200000
[2026-01-18 03:37:09,495] [INFO] - [ 5100/ 9800] | Cost: 0.4251508 | Accuracy: 0.8600000
[2026-01-18 03:37:44,596] [INFO] - [ 5200/ 9800] | Cost: 0.3739338 | Accuracy: 0.9500000
[2026-01-18 03:38:19,459] [INFO] - [ 5300/ 9800] | Cost: 0.3971017 | Accuracy: 0.9300000
[2026-01-18 03:38:54,483] [INFO] - [ 5400/ 9800] | Cost: 0.3847489 | Accuracy: 0.9100000
[2026-01-18 03:39:29,507] [INFO] - [ 5500/ 9800] | Cost: 0.4226699 | Accuracy: 0.8900000
[2026-01-18 03:40:04,548] [INFO] - [ 5600/ 9800] | Cost: 0.4113915 | Accuracy: 0.9000000
[2026-01-18 03:40:39,558] [INFO] - [ 5700/ 9800] | Cost: 0.4329400 | Accuracy: 0.9200000
[2026-01-18 03:41:14,320] [INFO] - [ 5800/ 9800] | Cost: 0.4238419 | Accuracy: 0.9000000
[2026-01-18 03:41:49,199] [INFO] - [ 5900/ 9800] | Cost: 0.3910095 | Accuracy: 0.9200000
[2026-01-18 03:42:24,120] [INFO] - [ 6000/ 9800] | Cost: 0.4214784 | Accuracy: 0.8800000
