[2026-01-18 03:07:43,879] [INFO] - seed: 1
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 03:07:43,881] [INFO] - Using cuda.
[2026-01-18 03:07:44,284] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-18 03:07:44,286] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 03:07:50,900] [INFO] - Initiate model
[2026-01-18 03:07:50,902] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 03:07:50,903] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 03:08:22,144] [INFO] - [  100/ 9800] | Cost: 0.6949194 | Accuracy: 0.5100000
[2026-01-18 03:08:57,075] [INFO] - [  200/ 9800] | Cost: 0.6745548 | Accuracy: 0.6100000
[2026-01-18 03:09:32,023] [INFO] - [  300/ 9800] | Cost: 0.6473501 | Accuracy: 0.6100000
[2026-01-18 03:10:06,993] [INFO] - [  400/ 9800] | Cost: 0.6527893 | Accuracy: 0.5100000
[2026-01-18 03:10:41,756] [INFO] - [  500/ 9800] | Cost: 0.6607893 | Accuracy: 0.4300000
[2026-01-18 03:11:16,687] [INFO] - [  600/ 9800] | Cost: 0.6198665 | Accuracy: 0.4900000
[2026-01-18 03:11:51,621] [INFO] - [  700/ 9800] | Cost: 0.6133040 | Accuracy: 0.6100000
[2026-01-18 03:12:26,639] [INFO] - [  800/ 9800] | Cost: 0.5625370 | Accuracy: 0.9000000
[2026-01-18 03:13:01,647] [INFO] - [  900/ 9800] | Cost: 0.5627242 | Accuracy: 0.9300000
[2026-01-18 03:13:36,412] [INFO] - [ 1000/ 9800] | Cost: 0.5594303 | Accuracy: 0.9200000
[2026-01-18 03:14:11,427] [INFO] - [ 1100/ 9800] | Cost: 0.5252088 | Accuracy: 0.9600000
[2026-01-18 03:14:46,393] [INFO] - [ 1200/ 9800] | Cost: 0.5196466 | Accuracy: 0.9400000
[2026-01-18 03:15:21,463] [INFO] - [ 1300/ 9800] | Cost: 0.5143920 | Accuracy: 0.9300000
[2026-01-18 03:15:56,265] [INFO] - [ 1400/ 9800] | Cost: 0.4791633 | Accuracy: 0.9500000
[2026-01-18 03:16:31,232] [INFO] - [ 1500/ 9800] | Cost: 0.4754929 | Accuracy: 0.9300000
[2026-01-18 03:17:06,188] [INFO] - [ 1600/ 9800] | Cost: 0.4691541 | Accuracy: 0.9100000
[2026-01-18 03:17:41,165] [INFO] - [ 1700/ 9800] | Cost: 0.4677787 | Accuracy: 0.8900000
[2026-01-18 03:18:16,010] [INFO] - [ 1800/ 9800] | Cost: 0.4422778 | Accuracy: 0.9400000
[2026-01-18 03:18:50,991] [INFO] - [ 1900/ 9800] | Cost: 0.4501030 | Accuracy: 0.9100000
[2026-01-18 03:19:25,972] [INFO] - [ 2000/ 9800] | Cost: 0.4356936 | Accuracy: 0.8600000
[2026-01-18 03:20:00,956] [INFO] - [ 2100/ 9800] | Cost: 0.4176175 | Accuracy: 0.9000000
[2026-01-18 03:20:35,762] [INFO] - [ 2200/ 9800] | Cost: 0.4003581 | Accuracy: 0.9500000
[2026-01-18 03:21:10,726] [INFO] - [ 2300/ 9800] | Cost: 0.4302676 | Accuracy: 0.9000000
[2026-01-18 03:21:45,682] [INFO] - [ 2400/ 9800] | Cost: 0.3819562 | Accuracy: 0.9300000
[2026-01-18 03:22:20,631] [INFO] - [ 2500/ 9800] | Cost: 0.4293544 | Accuracy: 0.8900000
[2026-01-18 03:22:55,391] [INFO] - [ 2600/ 9800] | Cost: 0.4364175 | Accuracy: 0.8400000
[2026-01-18 03:23:30,315] [INFO] - [ 2700/ 9800] | Cost: 0.3608509 | Accuracy: 0.9600000
[2026-01-18 03:24:05,226] [INFO] - [ 2800/ 9800] | Cost: 0.4104667 | Accuracy: 0.9000000
[2026-01-18 03:24:40,152] [INFO] - [ 2900/ 9800] | Cost: 0.4063885 | Accuracy: 0.8700000
[2026-01-18 03:25:15,141] [INFO] - [ 3000/ 9800] | Cost: 0.3696457 | Accuracy: 0.9000000
[2026-01-18 03:25:49,877] [INFO] - [ 3100/ 9800] | Cost: 0.3865101 | Accuracy: 0.9200000
[2026-01-18 03:26:24,759] [INFO] - [ 3200/ 9800] | Cost: 0.3668046 | Accuracy: 0.8900000
[2026-01-18 03:26:59,658] [INFO] - [ 3300/ 9800] | Cost: 0.3904593 | Accuracy: 0.8800000
[2026-01-18 03:27:34,602] [INFO] - [ 3400/ 9800] | Cost: 0.4123458 | Accuracy: 0.8600000
[2026-01-18 03:28:09,365] [INFO] - [ 3500/ 9800] | Cost: 0.3699436 | Accuracy: 0.9200000
[2026-01-18 03:28:44,268] [INFO] - [ 3600/ 9800] | Cost: 0.3870708 | Accuracy: 0.9000000
[2026-01-18 03:29:19,162] [INFO] - [ 3700/ 9800] | Cost: 0.3871809 | Accuracy: 0.9400000
[2026-01-18 03:29:54,117] [INFO] - [ 3800/ 9800] | Cost: 0.3659934 | Accuracy: 0.9300000
[2026-01-18 03:30:28,909] [INFO] - [ 3900/ 9800] | Cost: 0.3621762 | Accuracy: 0.9300000
[2026-01-18 03:31:03,813] [INFO] - [ 4000/ 9800] | Cost: 0.3574621 | Accuracy: 0.9400000
[2026-01-18 03:31:38,709] [INFO] - [ 4100/ 9800] | Cost: 0.3976755 | Accuracy: 0.9100000
[2026-01-18 03:32:13,630] [INFO] - [ 4200/ 9800] | Cost: 0.3848926 | Accuracy: 0.9300000
[2026-01-18 03:32:46,646] [INFO] - [ 4300/ 9800] | Cost: 0.3885045 | Accuracy: 0.9200000
[2026-01-18 03:33:17,906] [INFO] - [ 4400/ 9800] | Cost: 0.3698077 | Accuracy: 0.9100000
[2026-01-18 03:33:52,850] [INFO] - [ 4500/ 9800] | Cost: 0.4041305 | Accuracy: 0.8700000
[2026-01-18 03:34:27,907] [INFO] - [ 4600/ 9800] | Cost: 0.3729567 | Accuracy: 0.9200000
[2026-01-18 03:35:02,926] [INFO] - [ 4700/ 9800] | Cost: 0.4006014 | Accuracy: 0.8700000
[2026-01-18 03:35:37,759] [INFO] - [ 4800/ 9800] | Cost: 0.3704519 | Accuracy: 0.9500000
[2026-01-18 03:36:12,758] [INFO] - [ 4900/ 9800] | Cost: 0.3541159 | Accuracy: 0.9600000
[2026-01-18 03:36:47,743] [INFO] - [ 5000/ 9800] | Cost: 0.3973997 | Accuracy: 0.9300000
