[2026-01-18 03:57:45,388] [INFO] - seed: 1
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-18 03:57:45,390] [INFO] - Using cuda.
[2026-01-18 03:57:45,428] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 03:57:45,430] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 03:57:49,045] [INFO] - Initiate model
[2026-01-18 03:57:49,047] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 03:57:49,048] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 03:58:23,509] [INFO] - [  100/ 4200] | Cost: 0.7639285 | Accuracy: 0.4400000
[2026-01-18 03:58:58,376] [INFO] - [  200/ 4200] | Cost: 0.7027923 | Accuracy: 0.4100000
[2026-01-18 03:59:33,463] [INFO] - [  300/ 4200] | Cost: 0.6759241 | Accuracy: 0.6200000
[2026-01-18 04:00:07,488] [INFO] - [  400/ 4200] | Cost: 0.6475201 | Accuracy: 0.6000000
[2026-01-18 04:00:40,687] [INFO] - [  500/ 4200] | Cost: 0.6639807 | Accuracy: 0.4900000
[2026-01-18 04:01:15,309] [INFO] - [  600/ 4200] | Cost: 0.6361163 | Accuracy: 0.5400000
[2026-01-18 04:01:50,177] [INFO] - [  700/ 4200] | Cost: 0.6232162 | Accuracy: 0.6700000
[2026-01-18 04:02:25,288] [INFO] - [  800/ 4200] | Cost: 0.6105404 | Accuracy: 0.7300000
[2026-01-18 04:03:00,369] [INFO] - [  900/ 4200] | Cost: 0.5879188 | Accuracy: 0.8300000
[2026-01-18 04:03:35,398] [INFO] - [ 1000/ 4200] | Cost: 0.5537712 | Accuracy: 0.9200000
[2026-01-18 04:04:10,484] [INFO] - [ 1100/ 4200] | Cost: 0.5513750 | Accuracy: 0.9600000
[2026-01-18 04:04:36,265] [INFO] - [ 1200/ 4200] | Cost: 0.5332381 | Accuracy: 0.9700000
[2026-01-18 04:04:52,193] [INFO] - [ 1300/ 4200] | Cost: 0.5184985 | Accuracy: 0.9500000
[2026-01-18 04:05:11,224] [INFO] - [ 1400/ 4200] | Cost: 0.5275531 | Accuracy: 0.9200000
[2026-01-18 04:05:28,595] [INFO] - [ 1500/ 4200] | Cost: 0.4943512 | Accuracy: 0.9500000
[2026-01-18 04:05:49,810] [INFO] - [ 1600/ 4200] | Cost: 0.4903831 | Accuracy: 0.9700000
[2026-01-18 04:06:24,584] [INFO] - [ 1700/ 4200] | Cost: 0.4756954 | Accuracy: 0.9700000
[2026-01-18 04:06:59,353] [INFO] - [ 1800/ 4200] | Cost: 0.5169266 | Accuracy: 0.9500000
[2026-01-18 04:07:34,314] [INFO] - [ 1900/ 4200] | Cost: 0.4710608 | Accuracy: 0.9400000
[2026-01-18 04:08:09,356] [INFO] - [ 2000/ 4200] | Cost: 0.4894267 | Accuracy: 0.9500000
[2026-01-18 04:08:44,336] [INFO] - [ 2100/ 4200] | Cost: 0.4728146 | Accuracy: 0.9400000
[2026-01-18 04:09:19,356] [INFO] - [ 2200/ 4200] | Cost: 0.4641832 | Accuracy: 0.9600000
[2026-01-18 04:09:54,332] [INFO] - [ 2300/ 4200] | Cost: 0.4476328 | Accuracy: 0.9500000
[2026-01-18 04:10:29,149] [INFO] - [ 2400/ 4200] | Cost: 0.4715926 | Accuracy: 0.8800000
[2026-01-18 04:11:04,166] [INFO] - [ 2500/ 4200] | Cost: 0.4501923 | Accuracy: 0.9200000
[2026-01-18 04:11:39,176] [INFO] - [ 2600/ 4200] | Cost: 0.4443503 | Accuracy: 0.9200000
