[2026-01-18 04:00:19,166] [INFO] - seed: 1
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-18 04:00:19,167] [INFO] - Using cuda.
[2026-01-18 04:00:19,216] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 04:00:19,218] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:00:25,884] [INFO] - Initiate model
[2026-01-18 04:00:25,887] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:00:25,888] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:00:59,989] [INFO] - [  100/ 4200] | Cost: 0.7640309 | Accuracy: 0.4400000
[2026-01-18 04:01:35,121] [INFO] - [  200/ 4200] | Cost: 0.7028910 | Accuracy: 0.4100000
[2026-01-18 04:02:10,007] [INFO] - [  300/ 4200] | Cost: 0.6759464 | Accuracy: 0.6200000
[2026-01-18 04:02:45,128] [INFO] - [  400/ 4200] | Cost: 0.6475403 | Accuracy: 0.6000000
[2026-01-18 04:03:20,245] [INFO] - [  500/ 4200] | Cost: 0.6639244 | Accuracy: 0.4900000
[2026-01-18 04:03:55,298] [INFO] - [  600/ 4200] | Cost: 0.6360468 | Accuracy: 0.5400000
[2026-01-18 04:04:27,546] [INFO] - [  700/ 4200] | Cost: 0.6232087 | Accuracy: 0.6700000
[2026-01-18 04:04:45,454] [INFO] - [  800/ 4200] | Cost: 0.6104271 | Accuracy: 0.7300000
[2026-01-18 04:05:02,790] [INFO] - [  900/ 4200] | Cost: 0.5877741 | Accuracy: 0.8300000
[2026-01-18 04:05:20,292] [INFO] - [ 1000/ 4200] | Cost: 0.5535902 | Accuracy: 0.9200000
[2026-01-18 04:05:37,617] [INFO] - [ 1100/ 4200] | Cost: 0.5511698 | Accuracy: 0.9600000
[2026-01-18 04:06:09,132] [INFO] - [ 1200/ 4200] | Cost: 0.5330712 | Accuracy: 0.9700000
[2026-01-18 04:06:43,924] [INFO] - [ 1300/ 4200] | Cost: 0.5182390 | Accuracy: 0.9500000
[2026-01-18 04:07:18,688] [INFO] - [ 1400/ 4200] | Cost: 0.5272807 | Accuracy: 0.9200000
[2026-01-18 04:07:53,616] [INFO] - [ 1500/ 4200] | Cost: 0.4941280 | Accuracy: 0.9500000
[2026-01-18 04:08:28,618] [INFO] - [ 1600/ 4200] | Cost: 0.4901462 | Accuracy: 0.9700000
[2026-01-18 04:09:03,656] [INFO] - [ 1700/ 4200] | Cost: 0.4754401 | Accuracy: 0.9700000
[2026-01-18 04:09:38,446] [INFO] - [ 1800/ 4200] | Cost: 0.5166458 | Accuracy: 0.9500000
[2026-01-18 04:10:13,455] [INFO] - [ 1900/ 4200] | Cost: 0.4709154 | Accuracy: 0.9400000
[2026-01-18 04:10:48,446] [INFO] - [ 2000/ 4200] | Cost: 0.4892906 | Accuracy: 0.9500000
[2026-01-18 04:11:23,503] [INFO] - [ 2100/ 4200] | Cost: 0.4726755 | Accuracy: 0.9400000
[2026-01-18 04:11:58,500] [INFO] - [ 2200/ 4200] | Cost: 0.4640505 | Accuracy: 0.9600000
[2026-01-18 04:12:33,508] [INFO] - [ 2300/ 4200] | Cost: 0.4475272 | Accuracy: 0.9500000
[2026-01-18 04:13:08,513] [INFO] - [ 2400/ 4200] | Cost: 0.4716664 | Accuracy: 0.8800000
[2026-01-18 04:13:43,423] [INFO] - [ 2500/ 4200] | Cost: 0.4503055 | Accuracy: 0.9200000
[2026-01-18 04:14:18,449] [INFO] - [ 2600/ 4200] | Cost: 0.4444686 | Accuracy: 0.9200000
