[2026-01-18 04:04:59,312] [INFO] - seed: 1
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:04:59,314] [INFO] - Using cuda.
[2026-01-18 04:04:59,353] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 04:04:59,355] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:05:41,657] [INFO] - Initiate model
[2026-01-18 04:05:41,659] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:05:41,660] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:06:16,683] [INFO] - [  100/ 4200] | Cost: 0.6816929 | Accuracy: 0.5800000
[2026-01-18 04:06:51,860] [INFO] - [  200/ 4200] | Cost: 0.6696056 | Accuracy: 0.5300000
[2026-01-18 04:07:26,867] [INFO] - [  300/ 4200] | Cost: 0.6618097 | Accuracy: 0.6100000
[2026-01-18 04:08:01,840] [INFO] - [  400/ 4200] | Cost: 0.6354365 | Accuracy: 0.8100000
[2026-01-18 04:08:36,800] [INFO] - [  500/ 4200] | Cost: 0.6259615 | Accuracy: 0.8700000
[2026-01-18 04:09:11,628] [INFO] - [  600/ 4200] | Cost: 0.6260961 | Accuracy: 0.8000000
[2026-01-18 04:09:46,513] [INFO] - [  700/ 4200] | Cost: 0.5967276 | Accuracy: 0.8600000
[2026-01-18 04:10:21,450] [INFO] - [  800/ 4200] | Cost: 0.5878364 | Accuracy: 0.8300000
[2026-01-18 04:10:56,374] [INFO] - [  900/ 4200] | Cost: 0.5712359 | Accuracy: 0.8400000
[2026-01-18 04:11:31,150] [INFO] - [ 1000/ 4200] | Cost: 0.5410274 | Accuracy: 0.9100000
[2026-01-18 04:12:06,064] [INFO] - [ 1100/ 4200] | Cost: 0.5222838 | Accuracy: 0.9100000
[2026-01-18 04:12:40,981] [INFO] - [ 1200/ 4200] | Cost: 0.5091530 | Accuracy: 0.9200000
[2026-01-18 04:13:15,934] [INFO] - [ 1300/ 4200] | Cost: 0.4910364 | Accuracy: 0.8700000
[2026-01-18 04:13:50,938] [INFO] - [ 1400/ 4200] | Cost: 0.4677337 | Accuracy: 0.8900000
[2026-01-18 04:14:25,673] [INFO] - [ 1500/ 4200] | Cost: 0.4783956 | Accuracy: 0.8700000
[2026-01-18 04:15:00,642] [INFO] - [ 1600/ 4200] | Cost: 0.4608973 | Accuracy: 0.8800000
[2026-01-18 04:15:35,568] [INFO] - [ 1700/ 4200] | Cost: 0.4651788 | Accuracy: 0.8400000
[2026-01-18 04:16:10,367] [INFO] - [ 1800/ 4200] | Cost: 0.4313464 | Accuracy: 0.9200000
[2026-01-18 04:16:45,311] [INFO] - [ 1900/ 4200] | Cost: 0.4713673 | Accuracy: 0.8300000
[2026-01-18 04:17:20,260] [INFO] - [ 2000/ 4200] | Cost: 0.4373828 | Accuracy: 0.9400000
[2026-01-18 04:17:55,120] [INFO] - [ 2100/ 4200] | Cost: 0.4251412 | Accuracy: 0.9000000
[2026-01-18 04:18:29,962] [INFO] - [ 2200/ 4200] | Cost: 0.4219023 | Accuracy: 0.8900000
[2026-01-18 04:19:04,850] [INFO] - [ 2300/ 4200] | Cost: 0.4105030 | Accuracy: 0.9200000
[2026-01-18 04:19:39,804] [INFO] - [ 2400/ 4200] | Cost: 0.4443440 | Accuracy: 0.8500000
[2026-01-18 04:20:14,730] [INFO] - [ 2500/ 4200] | Cost: 0.4392117 | Accuracy: 0.8600000
[2026-01-18 04:20:49,638] [INFO] - [ 2600/ 4200] | Cost: 0.4422753 | Accuracy: 0.8600000
[2026-01-18 04:21:20,851] [INFO] - [ 2700/ 4200] | Cost: 0.4467352 | Accuracy: 0.8800000
[2026-01-18 04:21:55,305] [INFO] - [ 2800/ 4200] | Cost: 0.4129409 | Accuracy: 0.8800000
[2026-01-18 04:22:30,140] [INFO] - [ 2900/ 4200] | Cost: 0.4048774 | Accuracy: 0.9000000
[2026-01-18 04:23:05,100] [INFO] - [ 3000/ 4200] | Cost: 0.4355350 | Accuracy: 0.8800000
[2026-01-18 04:23:39,701] [INFO] - [ 3100/ 4200] | Cost: 0.4503996 | Accuracy: 0.8300000
[2026-01-18 04:24:13,102] [INFO] - [ 3200/ 4200] | Cost: 0.4320206 | Accuracy: 0.8500000
[2026-01-18 04:24:47,364] [INFO] - [ 3300/ 4200] | Cost: 0.4131792 | Accuracy: 0.8900000
[2026-01-18 04:25:22,311] [INFO] - [ 3400/ 4200] | Cost: 0.4040392 | Accuracy: 0.9300000
[2026-01-18 04:25:57,055] [INFO] - [ 3500/ 4200] | Cost: 0.4393610 | Accuracy: 0.8300000
[2026-01-18 04:26:32,052] [INFO] - [ 3600/ 4200] | Cost: 0.4664887 | Accuracy: 0.8600000
[2026-01-18 04:27:06,945] [INFO] - [ 3700/ 4200] | Cost: 0.3888513 | Accuracy: 0.9300000
[2026-01-18 04:27:41,924] [INFO] - [ 3800/ 4200] | Cost: 0.4344123 | Accuracy: 0.8800000
[2026-01-18 04:28:16,704] [INFO] - [ 3900/ 4200] | Cost: 0.4307368 | Accuracy: 0.8500000
[2026-01-18 04:28:48,273] [INFO] - [ 4000/ 4200] | Cost: 0.4038953 | Accuracy: 0.9100000
[2026-01-18 04:29:22,551] [INFO] - [ 4100/ 4200] | Cost: 0.4017464 | Accuracy: 0.9300000
[2026-01-18 04:29:57,536] [INFO] - [ 4200/ 4200] | Cost: 0.4223318 | Accuracy: 0.9000000
[2026-01-18 04:30:12,672] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-18/02-06-25/58/saved_models/model_epoch-0.pt
