[2026-01-18 04:21:10,675] [INFO] - seed: 1
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:21:10,677] [INFO] - Using cuda.
[2026-01-18 04:21:10,715] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 04:21:10,716] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:21:21,687] [INFO] - Initiate model
[2026-01-18 04:21:21,690] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:21:21,691] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:21:56,124] [INFO] - [  100/ 4200] | Cost: 0.6819043 | Accuracy: 0.5800000
[2026-01-18 04:22:31,115] [INFO] - [  200/ 4200] | Cost: 0.6696597 | Accuracy: 0.5200000
[2026-01-18 04:23:06,124] [INFO] - [  300/ 4200] | Cost: 0.6617537 | Accuracy: 0.6100000
[2026-01-18 04:23:40,900] [INFO] - [  400/ 4200] | Cost: 0.6358078 | Accuracy: 0.8100000
[2026-01-18 04:24:14,330] [INFO] - [  500/ 4200] | Cost: 0.6259119 | Accuracy: 0.8800000
[2026-01-18 04:24:48,506] [INFO] - [  600/ 4200] | Cost: 0.6261069 | Accuracy: 0.8000000
[2026-01-18 04:25:23,472] [INFO] - [  700/ 4200] | Cost: 0.5965503 | Accuracy: 0.8600000
[2026-01-18 04:25:58,388] [INFO] - [  800/ 4200] | Cost: 0.5876893 | Accuracy: 0.8300000
[2026-01-18 04:26:33,208] [INFO] - [  900/ 4200] | Cost: 0.5712557 | Accuracy: 0.8400000
[2026-01-18 04:27:08,139] [INFO] - [ 1000/ 4200] | Cost: 0.5407620 | Accuracy: 0.9100000
[2026-01-18 04:27:43,119] [INFO] - [ 1100/ 4200] | Cost: 0.5221384 | Accuracy: 0.9100000
[2026-01-18 04:28:18,084] [INFO] - [ 1200/ 4200] | Cost: 0.5091026 | Accuracy: 0.9200000
[2026-01-18 04:28:49,227] [INFO] - [ 1300/ 4200] | Cost: 0.4910657 | Accuracy: 0.8600000
[2026-01-18 04:29:23,749] [INFO] - [ 1400/ 4200] | Cost: 0.4674657 | Accuracy: 0.8900000
[2026-01-18 04:29:58,757] [INFO] - [ 1500/ 4200] | Cost: 0.4785120 | Accuracy: 0.8700000
[2026-01-18 04:30:21,380] [INFO] - [ 1600/ 4200] | Cost: 0.4609572 | Accuracy: 0.8800000
[2026-01-18 04:30:48,605] [INFO] - [ 1700/ 4200] | Cost: 0.4651709 | Accuracy: 0.8400000
[2026-01-18 04:31:23,440] [INFO] - [ 1800/ 4200] | Cost: 0.4313985 | Accuracy: 0.9200000
[2026-01-18 04:31:58,435] [INFO] - [ 1900/ 4200] | Cost: 0.4714947 | Accuracy: 0.8300000
[2026-01-18 04:32:33,428] [INFO] - [ 2000/ 4200] | Cost: 0.4375015 | Accuracy: 0.9400000
[2026-01-18 04:33:08,324] [INFO] - [ 2100/ 4200] | Cost: 0.4251278 | Accuracy: 0.9000000
[2026-01-18 04:33:43,378] [INFO] - [ 2200/ 4200] | Cost: 0.4220625 | Accuracy: 0.8900000
[2026-01-18 04:34:18,398] [INFO] - [ 2300/ 4200] | Cost: 0.4105937 | Accuracy: 0.9200000
[2026-01-18 04:34:53,342] [INFO] - [ 2400/ 4200] | Cost: 0.4447741 | Accuracy: 0.8500000
[2026-01-18 04:35:28,254] [INFO] - [ 2500/ 4200] | Cost: 0.4392529 | Accuracy: 0.8600000
[2026-01-18 04:36:03,224] [INFO] - [ 2600/ 4200] | Cost: 0.4424416 | Accuracy: 0.8600000
[2026-01-18 04:36:38,187] [INFO] - [ 2700/ 4200] | Cost: 0.4468573 | Accuracy: 0.8800000
[2026-01-18 04:37:13,187] [INFO] - [ 2800/ 4200] | Cost: 0.4130403 | Accuracy: 0.8800000
[2026-01-18 04:37:48,275] [INFO] - [ 2900/ 4200] | Cost: 0.4049563 | Accuracy: 0.9000000
[2026-01-18 04:38:23,118] [INFO] - [ 3000/ 4200] | Cost: 0.4356508 | Accuracy: 0.8800000
[2026-01-18 04:38:58,136] [INFO] - [ 3100/ 4200] | Cost: 0.4504005 | Accuracy: 0.8300000
[2026-01-18 04:39:33,103] [INFO] - [ 3200/ 4200] | Cost: 0.4320219 | Accuracy: 0.8500000
[2026-01-18 04:40:08,069] [INFO] - [ 3300/ 4200] | Cost: 0.4132093 | Accuracy: 0.8900000
[2026-01-18 04:40:42,982] [INFO] - [ 3400/ 4200] | Cost: 0.4041834 | Accuracy: 0.9300000
