[2026-01-18 04:30:22,130] [INFO] - seed: 1
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: RMP
  pca: true
  supports_color: true

[2026-01-18 04:30:22,135] [INFO] - Using cuda.
[2026-01-18 04:30:23,649] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:30:23,652] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:30:27,078] [INFO] - Initiate model
[2026-01-18 04:30:27,144] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:30:27,145] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:31:00,019] [INFO] - [  100/ 8400] | Cost: 0.7023504 | Accuracy: 0.4900000
[2026-01-18 04:31:35,062] [INFO] - [  200/ 8400] | Cost: 0.6925874 | Accuracy: 0.5700000
[2026-01-18 04:32:10,032] [INFO] - [  300/ 8400] | Cost: 0.6939074 | Accuracy: 0.4600000
[2026-01-18 04:32:45,023] [INFO] - [  400/ 8400] | Cost: 0.6909894 | Accuracy: 0.5500000
[2026-01-18 04:33:19,875] [INFO] - [  500/ 8400] | Cost: 0.6933074 | Accuracy: 0.4500000
[2026-01-18 04:33:54,889] [INFO] - [  600/ 8400] | Cost: 0.6914335 | Accuracy: 0.5000000
[2026-01-18 04:34:29,860] [INFO] - [  700/ 8400] | Cost: 0.6890280 | Accuracy: 0.5900000
[2026-01-18 04:35:04,865] [INFO] - [  800/ 8400] | Cost: 0.6904912 | Accuracy: 0.4900000
[2026-01-18 04:35:39,673] [INFO] - [  900/ 8400] | Cost: 0.6888292 | Accuracy: 0.4900000
[2026-01-18 04:36:14,656] [INFO] - [ 1000/ 8400] | Cost: 0.6884747 | Accuracy: 0.5500000
[2026-01-18 04:36:49,566] [INFO] - [ 1100/ 8400] | Cost: 0.6914458 | Accuracy: 0.5600000
[2026-01-18 04:37:24,582] [INFO] - [ 1200/ 8400] | Cost: 0.6840444 | Accuracy: 0.5600000
[2026-01-18 04:37:59,626] [INFO] - [ 1300/ 8400] | Cost: 0.6859490 | Accuracy: 0.5400000
[2026-01-18 04:38:34,406] [INFO] - [ 1400/ 8400] | Cost: 0.6850586 | Accuracy: 0.5400000
[2026-01-18 04:39:09,337] [INFO] - [ 1500/ 8400] | Cost: 0.6891355 | Accuracy: 0.5400000
[2026-01-18 04:39:44,307] [INFO] - [ 1600/ 8400] | Cost: 0.7179555 | Accuracy: 0.4600000
[2026-01-18 04:40:19,371] [INFO] - [ 1700/ 8400] | Cost: 0.6962656 | Accuracy: 0.5100000
[2026-01-18 04:40:54,190] [INFO] - [ 1800/ 8400] | Cost: 0.6995828 | Accuracy: 0.4600000
[2026-01-18 04:41:29,097] [INFO] - [ 1900/ 8400] | Cost: 0.6855640 | Accuracy: 0.5200000
[2026-01-18 04:42:04,033] [INFO] - [ 2000/ 8400] | Cost: 0.6874003 | Accuracy: 0.5800000
[2026-01-18 04:42:39,023] [INFO] - [ 2100/ 8400] | Cost: 0.6775265 | Accuracy: 0.6000000
[2026-01-18 04:43:13,819] [INFO] - [ 2200/ 8400] | Cost: 0.6908539 | Accuracy: 0.5100000
[2026-01-18 04:43:48,819] [INFO] - [ 2300/ 8400] | Cost: 0.7191629 | Accuracy: 0.4000000
[2026-01-18 04:44:23,829] [INFO] - [ 2400/ 8400] | Cost: 0.6794685 | Accuracy: 0.5600000
[2026-01-18 04:44:58,787] [INFO] - [ 2500/ 8400] | Cost: 0.6930201 | Accuracy: 0.5000000
[2026-01-18 04:45:33,203] [INFO] - [ 2600/ 8400] | Cost: 0.6890585 | Accuracy: 0.5100000
[2026-01-18 04:46:04,988] [INFO] - [ 2700/ 8400] | Cost: 0.6920182 | Accuracy: 0.4800000
[2026-01-18 04:46:39,349] [INFO] - [ 2800/ 8400] | Cost: 0.6869393 | Accuracy: 0.5300000
[2026-01-18 04:47:14,343] [INFO] - [ 2900/ 8400] | Cost: 0.6892707 | Accuracy: 0.6000000
[2026-01-18 04:47:49,212] [INFO] - [ 3000/ 8400] | Cost: 0.6890438 | Accuracy: 0.4600000
[2026-01-18 04:48:24,223] [INFO] - [ 3100/ 8400] | Cost: 0.6898456 | Accuracy: 0.5000000
[2026-01-18 04:48:59,242] [INFO] - [ 3200/ 8400] | Cost: 0.6966335 | Accuracy: 0.4400000
[2026-01-18 04:49:34,224] [INFO] - [ 3300/ 8400] | Cost: 0.6838485 | Accuracy: 0.5100000
[2026-01-18 04:50:09,161] [INFO] - [ 3400/ 8400] | Cost: 0.6858974 | Accuracy: 0.5100000
[2026-01-18 04:50:44,198] [INFO] - [ 3500/ 8400] | Cost: 0.6806890 | Accuracy: 0.6900000
[2026-01-18 04:51:19,231] [INFO] - [ 3600/ 8400] | Cost: 0.6874027 | Accuracy: 0.5300000
[2026-01-18 04:51:54,232] [INFO] - [ 3700/ 8400] | Cost: 0.6952674 | Accuracy: 0.4400000
[2026-01-18 04:52:29,296] [INFO] - [ 3800/ 8400] | Cost: 0.6839076 | Accuracy: 0.4900000
[2026-01-18 04:53:04,120] [INFO] - [ 3900/ 8400] | Cost: 0.6813408 | Accuracy: 0.6000000
[2026-01-18 04:53:39,199] [INFO] - [ 4000/ 8400] | Cost: 0.6876577 | Accuracy: 0.5600000
[2026-01-18 04:54:14,205] [INFO] - [ 4100/ 8400] | Cost: 0.6853560 | Accuracy: 0.6900000
[2026-01-18 04:54:49,205] [INFO] - [ 4200/ 8400] | Cost: 0.6839178 | Accuracy: 0.6900000
[2026-01-18 04:55:23,988] [INFO] - [ 4300/ 8400] | Cost: 0.6853870 | Accuracy: 0.6800000
[2026-01-18 04:55:59,040] [INFO] - [ 4400/ 8400] | Cost: 0.6849712 | Accuracy: 0.6800000
[2026-01-18 04:56:34,083] [INFO] - [ 4500/ 8400] | Cost: 0.6870795 | Accuracy: 0.6200000
[2026-01-18 04:57:07,401] [INFO] - [ 4600/ 8400] | Cost: 0.6836081 | Accuracy: 0.6800000
[2026-01-18 04:57:41,964] [INFO] - [ 4700/ 8400] | Cost: 0.6869288 | Accuracy: 0.6900000
[2026-01-18 04:58:16,933] [INFO] - [ 4800/ 8400] | Cost: 0.6838580 | Accuracy: 0.6500000
[2026-01-18 04:58:51,950] [INFO] - [ 4900/ 8400] | Cost: 0.6894382 | Accuracy: 0.5000000
[2026-01-18 04:59:27,005] [INFO] - [ 5000/ 8400] | Cost: 0.6884441 | Accuracy: 0.6300000
[2026-01-18 05:00:02,078] [INFO] - [ 5100/ 8400] | Cost: 0.6857620 | Accuracy: 0.5600000
[2026-01-18 05:00:36,923] [INFO] - [ 5200/ 8400] | Cost: 0.6799592 | Accuracy: 0.5400000
[2026-01-18 05:01:11,954] [INFO] - [ 5300/ 8400] | Cost: 0.6881874 | Accuracy: 0.5200000
[2026-01-18 05:01:46,995] [INFO] - [ 5400/ 8400] | Cost: 0.6688715 | Accuracy: 0.5900000
[2026-01-18 05:02:22,030] [INFO] - [ 5500/ 8400] | Cost: 0.7206852 | Accuracy: 0.4500000
[2026-01-18 05:02:56,951] [INFO] - [ 5600/ 8400] | Cost: 0.6885553 | Accuracy: 0.5300000
[2026-01-18 05:03:31,972] [INFO] - [ 5700/ 8400] | Cost: 0.6954062 | Accuracy: 0.5000000
[2026-01-18 05:04:06,985] [INFO] - [ 5800/ 8400] | Cost: 0.6908211 | Accuracy: 0.4600000
[2026-01-18 05:04:42,023] [INFO] - [ 5900/ 8400] | Cost: 0.6847527 | Accuracy: 0.6700000
[2026-01-18 05:05:17,058] [INFO] - [ 6000/ 8400] | Cost: 0.6788875 | Accuracy: 0.5200000
[2026-01-18 05:05:51,942] [INFO] - [ 6100/ 8400] | Cost: 0.6886678 | Accuracy: 0.4900000
[2026-01-18 05:06:26,986] [INFO] - [ 6200/ 8400] | Cost: 0.6542175 | Accuracy: 0.6600000
[2026-01-18 05:07:02,022] [INFO] - [ 6300/ 8400] | Cost: 0.7088729 | Accuracy: 0.4800000
[2026-01-18 05:07:37,073] [INFO] - [ 6400/ 8400] | Cost: 0.7101393 | Accuracy: 0.4800000
[2026-01-18 05:08:09,906] [INFO] - [ 6500/ 8400] | Cost: 0.7170143 | Accuracy: 0.4400000
[2026-01-18 05:08:44,867] [INFO] - [ 6600/ 8400] | Cost: 0.6796458 | Accuracy: 0.5500000
[2026-01-18 05:09:19,887] [INFO] - [ 6700/ 8400] | Cost: 0.6972231 | Accuracy: 0.4200000
[2026-01-18 05:09:54,574] [INFO] - [ 6800/ 8400] | Cost: 0.6813927 | Accuracy: 0.7000000
[2026-01-18 05:10:27,040] [INFO] - [ 6900/ 8400] | Cost: 0.6995715 | Accuracy: 0.4000000
[2026-01-18 05:11:01,010] [INFO] - [ 7000/ 8400] | Cost: 0.6824696 | Accuracy: 0.5400000
[2026-01-18 05:11:36,063] [INFO] - [ 7100/ 8400] | Cost: 0.6883156 | Accuracy: 0.4900000
[2026-01-18 05:12:11,111] [INFO] - [ 7200/ 8400] | Cost: 0.6896762 | Accuracy: 0.4800000
[2026-01-18 05:12:45,365] [INFO] - [ 7300/ 8400] | Cost: 0.6888537 | Accuracy: 0.4800000
[2026-01-18 05:13:18,724] [INFO] - [ 7400/ 8400] | Cost: 0.6858947 | Accuracy: 0.5000000
[2026-01-18 05:13:52,510] [INFO] - [ 7500/ 8400] | Cost: 0.6863787 | Accuracy: 0.6100000
[2026-01-18 05:14:27,473] [INFO] - [ 7600/ 8400] | Cost: 0.6830685 | Accuracy: 0.5600000
[2026-01-18 05:15:02,509] [INFO] - [ 7700/ 8400] | Cost: 0.6925960 | Accuracy: 0.4500000
[2026-01-18 05:15:37,367] [INFO] - [ 7800/ 8400] | Cost: 0.6864532 | Accuracy: 0.5000000
[2026-01-18 05:16:12,414] [INFO] - [ 7900/ 8400] | Cost: 0.6807716 | Accuracy: 0.5500000
[2026-01-18 05:16:47,479] [INFO] - [ 8000/ 8400] | Cost: 0.6842107 | Accuracy: 0.5100000
[2026-01-18 05:17:22,347] [INFO] - [ 8100/ 8400] | Cost: 0.6792741 | Accuracy: 0.5500000
[2026-01-18 05:17:52,729] [INFO] - [ 8200/ 8400] | Cost: 0.6976158 | Accuracy: 0.4500000
[2026-01-18 05:18:23,896] [INFO] - [ 8300/ 8400] | Cost: 0.6874008 | Accuracy: 0.5100000
[2026-01-18 05:18:56,634] [INFO] - [ 8400/ 8400] | Cost: 0.6770755 | Accuracy: 0.6100000
[2026-01-18 05:19:26,516] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-18/02-06-25/83/saved_models/model_epoch-0.pt
[2026-01-18 05:19:26,517] [INFO] - Validation for epoch   0 | Cost: 0.6818097 | Accuracy: 0.6616667
