[2026-01-18 18:28:03,010] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: FRQI
  pca: false
  supports_color: false

[2026-01-18 18:28:03,014] [INFO] - Using cuda.
[2026-01-18 18:28:04,520] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 18:28:04,522] [INFO] - Initiate model
[2026-01-18 18:28:04,667] [INFO] - Weights Shape: torch.Size([3, 11, 3])
[2026-01-18 18:28:04,668] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 18:29:44,743] [INFO] - [  100/ 8400] | Cost: 0.6968937 | Accuracy: 0.4100000
[2026-01-18 18:31:26,118] [INFO] - [  200/ 8400] | Cost: 0.6849260 | Accuracy: 0.5900000
[2026-01-18 18:33:35,762] [INFO] - [  300/ 8400] | Cost: 0.6828256 | Accuracy: 0.5600000
[2026-01-18 18:35:13,626] [INFO] - [  400/ 8400] | Cost: 0.6926117 | Accuracy: 0.5300000
[2026-01-18 18:37:04,510] [INFO] - [  500/ 8400] | Cost: 0.6982134 | Accuracy: 0.5100000
[2026-01-18 18:38:56,097] [INFO] - [  600/ 8400] | Cost: 0.6940551 | Accuracy: 0.5100000
[2026-01-18 18:40:36,471] [INFO] - [  700/ 8400] | Cost: 0.7003444 | Accuracy: 0.4600000
[2026-01-18 18:42:27,483] [INFO] - [  800/ 8400] | Cost: 0.6981422 | Accuracy: 0.4100000
[2026-01-18 18:44:05,188] [INFO] - [  900/ 8400] | Cost: 0.6846956 | Accuracy: 0.7100000
[2026-01-18 18:46:08,630] [INFO] - [ 1000/ 8400] | Cost: 0.6850648 | Accuracy: 0.5800000
[2026-01-18 18:48:00,429] [INFO] - [ 1100/ 8400] | Cost: 0.6845448 | Accuracy: 0.5300000
[2026-01-18 18:49:35,131] [INFO] - [ 1200/ 8400] | Cost: 0.6905592 | Accuracy: 0.4900000
[2026-01-18 18:51:29,466] [INFO] - [ 1300/ 8400] | Cost: 0.6757326 | Accuracy: 0.5500000
[2026-01-18 18:53:04,727] [INFO] - [ 1400/ 8400] | Cost: 0.6815117 | Accuracy: 0.5100000
[2026-01-18 18:54:53,482] [INFO] - [ 1500/ 8400] | Cost: 0.6798773 | Accuracy: 0.6100000
[2026-01-18 18:56:50,585] [INFO] - [ 1600/ 8400] | Cost: 0.6810316 | Accuracy: 0.6400000
[2026-01-18 18:58:28,204] [INFO] - [ 1700/ 8400] | Cost: 0.6762309 | Accuracy: 0.6400000
[2026-01-18 19:00:14,309] [INFO] - [ 1800/ 8400] | Cost: 0.6638798 | Accuracy: 0.7600000
[2026-01-18 19:02:10,951] [INFO] - [ 1900/ 8400] | Cost: 0.6594986 | Accuracy: 0.7200000
[2026-01-18 19:03:46,050] [INFO] - [ 2000/ 8400] | Cost: 0.6738241 | Accuracy: 0.6200000
[2026-01-18 19:05:33,809] [INFO] - [ 2100/ 8400] | Cost: 0.6548876 | Accuracy: 0.6800000
[2026-01-18 19:07:19,923] [INFO] - [ 2200/ 8400] | Cost: 0.6590200 | Accuracy: 0.7200000
[2026-01-18 19:08:55,687] [INFO] - [ 2300/ 8400] | Cost: 0.6637897 | Accuracy: 0.6700000
[2026-01-18 19:10:37,947] [INFO] - [ 2400/ 8400] | Cost: 0.6535159 | Accuracy: 0.6400000
[2026-01-18 19:12:31,593] [INFO] - [ 2500/ 8400] | Cost: 0.6425931 | Accuracy: 0.6400000
[2026-01-18 19:14:11,410] [INFO] - [ 2600/ 8400] | Cost: 0.6899986 | Accuracy: 0.5100000
[2026-01-18 19:15:52,696] [INFO] - [ 2700/ 8400] | Cost: 0.6639709 | Accuracy: 0.5900000
[2026-01-18 19:17:44,144] [INFO] - [ 2800/ 8400] | Cost: 0.6441789 | Accuracy: 0.7100000
[2026-01-18 19:19:25,437] [INFO] - [ 2900/ 8400] | Cost: 0.6639128 | Accuracy: 0.6600000
[2026-01-18 19:21:20,274] [INFO] - [ 3000/ 8400] | Cost: 0.6367443 | Accuracy: 0.7100000
[2026-01-18 19:23:06,722] [INFO] - [ 3100/ 8400] | Cost: 0.6238753 | Accuracy: 0.7100000
[2026-01-18 19:24:46,596] [INFO] - [ 3200/ 8400] | Cost: 0.6358495 | Accuracy: 0.7000000
[2026-01-18 19:26:28,462] [INFO] - [ 3300/ 8400] | Cost: 0.6383758 | Accuracy: 0.6900000
[2026-01-18 19:28:18,937] [INFO] - [ 3400/ 8400] | Cost: 0.6507285 | Accuracy: 0.6800000
[2026-01-18 19:29:59,927] [INFO] - [ 3500/ 8400] | Cost: 0.6570596 | Accuracy: 0.6600000
[2026-01-18 19:31:40,255] [INFO] - [ 3600/ 8400] | Cost: 0.6405196 | Accuracy: 0.6800000
[2026-01-18 19:33:14,114] [INFO] - [ 3700/ 8400] | Cost: 0.6582306 | Accuracy: 0.6400000
[2026-01-18 19:34:43,788] [INFO] - [ 3800/ 8400] | Cost: 0.6492057 | Accuracy: 0.6600000
[2026-01-18 19:36:31,245] [INFO] - [ 3900/ 8400] | Cost: 0.6346624 | Accuracy: 0.6700000
[2026-01-18 19:38:20,006] [INFO] - [ 4000/ 8400] | Cost: 0.6809137 | Accuracy: 0.5100000
[2026-01-18 19:39:52,990] [INFO] - [ 4100/ 8400] | Cost: 0.6626443 | Accuracy: 0.5800000
[2026-01-18 19:41:40,759] [INFO] - [ 4200/ 8400] | Cost: 0.6583936 | Accuracy: 0.6300000
[2026-01-18 19:43:14,017] [INFO] - [ 4300/ 8400] | Cost: 0.6546754 | Accuracy: 0.6400000
[2026-01-18 19:44:47,185] [INFO] - [ 4400/ 8400] | Cost: 0.6359161 | Accuracy: 0.6800000
[2026-01-18 19:46:26,292] [INFO] - [ 4500/ 8400] | Cost: 0.6280310 | Accuracy: 0.7000000
