[2026-01-16 18:19:47,088] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 18:19:47,090] [INFO] - Using cuda.
[2026-01-16 18:19:47,141] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 18:19:47,143] [INFO] - Initiate model
[2026-01-16 18:19:47,145] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-16 18:19:47,147] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 18:30:37,616] [INFO] - [  100/ 4200] | Cost: 0.6930925 | Accuracy: 0.5300000
[2026-01-16 18:41:43,212] [INFO] - [  200/ 4200] | Cost: 0.6873015 | Accuracy: 0.5700000
[2026-01-16 18:52:25,257] [INFO] - [  300/ 4200] | Cost: 0.7080084 | Accuracy: 0.4500000
[2026-01-16 19:03:18,293] [INFO] - [  400/ 4200] | Cost: 0.7038093 | Accuracy: 0.4700000
[2026-01-16 19:13:54,705] [INFO] - [  500/ 4200] | Cost: 0.6979048 | Accuracy: 0.4900000
[2026-01-16 19:24:52,914] [INFO] - [  600/ 4200] | Cost: 0.6890033 | Accuracy: 0.5500000
[2026-01-16 19:35:56,693] [INFO] - [  700/ 4200] | Cost: 0.6940457 | Accuracy: 0.5000000
[2026-01-16 19:46:55,626] [INFO] - [  800/ 4200] | Cost: 0.6950836 | Accuracy: 0.4600000
[2026-01-16 19:57:45,463] [INFO] - [  900/ 4200] | Cost: 0.6933943 | Accuracy: 0.4400000
[2026-01-16 20:08:28,958] [INFO] - [ 1000/ 4200] | Cost: 0.6910498 | Accuracy: 0.5500000
[2026-01-16 20:19:29,412] [INFO] - [ 1100/ 4200] | Cost: 0.6976030 | Accuracy: 0.4700000
[2026-01-16 20:30:14,106] [INFO] - [ 1200/ 4200] | Cost: 0.6985539 | Accuracy: 0.4800000
[2026-01-16 20:40:48,414] [INFO] - [ 1300/ 4200] | Cost: 0.7060768 | Accuracy: 0.4400000
[2026-01-16 20:51:30,828] [INFO] - [ 1400/ 4200] | Cost: 0.6899801 | Accuracy: 0.5400000
[2026-01-16 21:02:25,119] [INFO] - [ 1500/ 4200] | Cost: 0.7046207 | Accuracy: 0.4400000
[2026-01-16 21:13:26,222] [INFO] - [ 1600/ 4200] | Cost: 0.6853794 | Accuracy: 0.5800000
[2026-01-16 21:24:27,280] [INFO] - [ 1700/ 4200] | Cost: 0.6967206 | Accuracy: 0.4800000
[2026-01-16 21:35:09,795] [INFO] - [ 1800/ 4200] | Cost: 0.6958656 | Accuracy: 0.4800000
[2026-01-16 21:46:11,625] [INFO] - [ 1900/ 4200] | Cost: 0.6954935 | Accuracy: 0.4700000
[2026-01-16 21:57:18,738] [INFO] - [ 2000/ 4200] | Cost: 0.6933191 | Accuracy: 0.5000000
[2026-01-16 22:08:32,759] [INFO] - [ 2100/ 4200] | Cost: 0.6930164 | Accuracy: 0.5300000
[2026-01-16 22:19:22,519] [INFO] - [ 2200/ 4200] | Cost: 0.6932169 | Accuracy: 0.5000000
[2026-01-16 22:30:29,394] [INFO] - [ 2300/ 4200] | Cost: 0.6907068 | Accuracy: 0.6000000
[2026-01-16 22:41:29,737] [INFO] - [ 2400/ 4200] | Cost: 0.6928309 | Accuracy: 0.5100000
[2026-01-16 22:52:44,543] [INFO] - [ 2500/ 4200] | Cost: 0.6898842 | Accuracy: 0.5500000
[2026-01-16 23:04:22,945] [INFO] - [ 2600/ 4200] | Cost: 0.6882030 | Accuracy: 0.5600000
[2026-01-16 23:15:46,821] [INFO] - [ 2700/ 4200] | Cost: 0.6899319 | Accuracy: 0.5400000
[2026-01-16 23:27:20,314] [INFO] - [ 2800/ 4200] | Cost: 0.6764961 | Accuracy: 0.6200000
[2026-01-16 23:38:27,541] [INFO] - [ 2900/ 4200] | Cost: 0.6861393 | Accuracy: 0.5600000
[2026-01-16 23:49:53,762] [INFO] - [ 3000/ 4200] | Cost: 0.6982431 | Accuracy: 0.5100000
[2026-01-17 00:01:30,668] [INFO] - [ 3100/ 4200] | Cost: 0.7159512 | Accuracy: 0.4500000
[2026-01-17 00:13:24,469] [INFO] - [ 3200/ 4200] | Cost: 0.7320227 | Accuracy: 0.3900000
[2026-01-17 00:24:52,345] [INFO] - [ 3300/ 4200] | Cost: 0.6933150 | Accuracy: 0.5300000
[2026-01-17 00:36:09,553] [INFO] - [ 3400/ 4200] | Cost: 0.6986850 | Accuracy: 0.5000000
[2026-01-17 00:47:33,150] [INFO] - [ 3500/ 4200] | Cost: 0.6991698 | Accuracy: 0.4900000
[2026-01-17 00:58:47,862] [INFO] - [ 3600/ 4200] | Cost: 0.6900383 | Accuracy: 0.5400000
[2026-01-17 01:10:08,786] [INFO] - [ 3700/ 4200] | Cost: 0.7035498 | Accuracy: 0.4100000
[2026-01-17 01:21:35,204] [INFO] - [ 3800/ 4200] | Cost: 0.6945848 | Accuracy: 0.4800000
[2026-01-17 01:32:54,711] [INFO] - [ 3900/ 4200] | Cost: 0.6930513 | Accuracy: 0.5100000
[2026-01-17 01:44:18,041] [INFO] - [ 4000/ 4200] | Cost: 0.6918154 | Accuracy: 0.5400000
[2026-01-17 01:55:55,102] [INFO] - [ 4100/ 4200] | Cost: 0.6889790 | Accuracy: 0.5600000
[2026-01-17 02:07:15,140] [INFO] - [ 4200/ 4200] | Cost: 0.6862890 | Accuracy: 0.5700000
