[2026-01-16 19:39:15,193] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 19:39:15,195] [INFO] - Using cuda.
[2026-01-16 19:39:15,245] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 19:39:15,248] [INFO] - Initiate model
[2026-01-16 19:39:15,249] [INFO] - Weights Shape: torch.Size([3, 12, 3])
[2026-01-16 19:39:15,250] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 19:42:04,079] [INFO] - [  100/ 4200] | Cost: 0.6954926 | Accuracy: 0.4400000
[2026-01-16 19:45:03,294] [INFO] - [  200/ 4200] | Cost: 0.6866687 | Accuracy: 0.5700000
[2026-01-16 19:47:58,323] [INFO] - [  300/ 4200] | Cost: 0.7130080 | Accuracy: 0.4500000
[2026-01-16 19:50:48,573] [INFO] - [  400/ 4200] | Cost: 0.7061151 | Accuracy: 0.4700000
[2026-01-16 19:53:57,722] [INFO] - [  500/ 4200] | Cost: 0.6981840 | Accuracy: 0.4900000
[2026-01-16 19:56:50,670] [INFO] - [  600/ 4200] | Cost: 0.6895038 | Accuracy: 0.5500000
[2026-01-16 19:59:52,529] [INFO] - [  700/ 4200] | Cost: 0.6934757 | Accuracy: 0.5000000
[2026-01-16 20:02:36,156] [INFO] - [  800/ 4200] | Cost: 0.6935228 | Accuracy: 0.4600000
[2026-01-16 20:05:43,844] [INFO] - [  900/ 4200] | Cost: 0.6903382 | Accuracy: 0.5700000
[2026-01-16 20:08:27,108] [INFO] - [ 1000/ 4200] | Cost: 0.6891183 | Accuracy: 0.5500000
[2026-01-16 20:11:19,959] [INFO] - [ 1100/ 4200] | Cost: 0.7028633 | Accuracy: 0.4700000
[2026-01-16 20:14:11,166] [INFO] - [ 1200/ 4200] | Cost: 0.7024366 | Accuracy: 0.4800000
[2026-01-16 20:17:15,227] [INFO] - [ 1300/ 4200] | Cost: 0.7092593 | Accuracy: 0.4400000
[2026-01-16 20:19:56,740] [INFO] - [ 1400/ 4200] | Cost: 0.6899614 | Accuracy: 0.5400000
[2026-01-16 20:22:45,172] [INFO] - [ 1500/ 4200] | Cost: 0.7014908 | Accuracy: 0.4400000
[2026-01-16 20:25:26,012] [INFO] - [ 1600/ 4200] | Cost: 0.6886560 | Accuracy: 0.5800000
[2026-01-16 20:28:26,300] [INFO] - [ 1700/ 4200] | Cost: 0.6940694 | Accuracy: 0.4800000
[2026-01-16 20:31:29,451] [INFO] - [ 1800/ 4200] | Cost: 0.6933719 | Accuracy: 0.4800000
[2026-01-16 20:34:16,516] [INFO] - [ 1900/ 4200] | Cost: 0.6926762 | Accuracy: 0.5300000
[2026-01-16 20:37:19,694] [INFO] - [ 2000/ 4200] | Cost: 0.6934112 | Accuracy: 0.5000000
[2026-01-16 20:40:13,009] [INFO] - [ 2100/ 4200] | Cost: 0.6985220 | Accuracy: 0.4300000
[2026-01-16 20:43:08,590] [INFO] - [ 2200/ 4200] | Cost: 0.6937153 | Accuracy: 0.5000000
[2026-01-16 20:45:48,585] [INFO] - [ 2300/ 4200] | Cost: 0.6873913 | Accuracy: 0.6000000
[2026-01-16 20:48:57,544] [INFO] - [ 2400/ 4200] | Cost: 0.6931044 | Accuracy: 0.5100000
[2026-01-16 20:52:00,129] [INFO] - [ 2500/ 4200] | Cost: 0.6897914 | Accuracy: 0.5500000
[2026-01-16 20:55:02,477] [INFO] - [ 2600/ 4200] | Cost: 0.6883919 | Accuracy: 0.5600000
[2026-01-16 20:57:51,072] [INFO] - [ 2700/ 4200] | Cost: 0.6901361 | Accuracy: 0.5400000
[2026-01-16 21:01:01,331] [INFO] - [ 2800/ 4200] | Cost: 0.6786104 | Accuracy: 0.6200000
[2026-01-16 21:04:03,333] [INFO] - [ 2900/ 4200] | Cost: 0.6864011 | Accuracy: 0.5600000
[2026-01-16 21:06:56,683] [INFO] - [ 3000/ 4200] | Cost: 0.6968689 | Accuracy: 0.5100000
[2026-01-16 21:09:56,421] [INFO] - [ 3100/ 4200] | Cost: 0.7124509 | Accuracy: 0.4500000
[2026-01-16 21:13:01,109] [INFO] - [ 3200/ 4200] | Cost: 0.7260037 | Accuracy: 0.3900000
[2026-01-16 21:15:54,337] [INFO] - [ 3300/ 4200] | Cost: 0.6921217 | Accuracy: 0.5300000
[2026-01-16 21:18:56,157] [INFO] - [ 3400/ 4200] | Cost: 0.6965171 | Accuracy: 0.5000000
[2026-01-16 21:22:04,260] [INFO] - [ 3500/ 4200] | Cost: 0.6964447 | Accuracy: 0.4900000
[2026-01-16 21:25:08,018] [INFO] - [ 3600/ 4200] | Cost: 0.6905923 | Accuracy: 0.5400000
[2026-01-16 21:28:15,212] [INFO] - [ 3700/ 4200] | Cost: 0.6986630 | Accuracy: 0.4100000
[2026-01-16 21:31:09,699] [INFO] - [ 3800/ 4200] | Cost: 0.6934142 | Accuracy: 0.4800000
[2026-01-16 21:34:20,297] [INFO] - [ 3900/ 4200] | Cost: 0.6939015 | Accuracy: 0.4800000
[2026-01-16 21:37:06,976] [INFO] - [ 4000/ 4200] | Cost: 0.6910484 | Accuracy: 0.5400000
[2026-01-16 21:40:11,364] [INFO] - [ 4100/ 4200] | Cost: 0.6883397 | Accuracy: 0.5600000
[2026-01-16 21:43:08,940] [INFO] - [ 4200/ 4200] | Cost: 0.6857904 | Accuracy: 0.5700000
