[2026-01-16 20:09:03,120] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 20:09:03,124] [INFO] - Using cuda.
[2026-01-16 20:09:03,169] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 20:09:03,171] [INFO] - Initiate model
[2026-01-16 20:09:03,389] [INFO] - Weights Shape: torch.Size([3, 12, 3])
[2026-01-16 20:09:03,390] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 20:11:41,764] [INFO] - [  100/ 4200] | Cost: 0.6954926 | Accuracy: 0.4400000
[2026-01-16 20:14:21,714] [INFO] - [  200/ 4200] | Cost: 0.6866687 | Accuracy: 0.5700000
[2026-01-16 20:17:30,684] [INFO] - [  300/ 4200] | Cost: 0.7130080 | Accuracy: 0.4500000
[2026-01-16 20:20:06,133] [INFO] - [  400/ 4200] | Cost: 0.7061151 | Accuracy: 0.4700000
[2026-01-16 20:23:00,606] [INFO] - [  500/ 4200] | Cost: 0.6981840 | Accuracy: 0.4900000
[2026-01-16 20:25:50,575] [INFO] - [  600/ 4200] | Cost: 0.6895036 | Accuracy: 0.5500000
[2026-01-16 20:28:49,541] [INFO] - [  700/ 4200] | Cost: 0.6934757 | Accuracy: 0.5000000
[2026-01-16 20:31:44,540] [INFO] - [  800/ 4200] | Cost: 0.6935229 | Accuracy: 0.4600000
[2026-01-16 20:34:35,983] [INFO] - [  900/ 4200] | Cost: 0.6903381 | Accuracy: 0.5700000
[2026-01-16 20:37:36,117] [INFO] - [ 1000/ 4200] | Cost: 0.6891183 | Accuracy: 0.5500000
[2026-01-16 20:40:29,830] [INFO] - [ 1100/ 4200] | Cost: 0.7028634 | Accuracy: 0.4700000
[2026-01-16 20:43:16,307] [INFO] - [ 1200/ 4200] | Cost: 0.7024367 | Accuracy: 0.4800000
[2026-01-16 20:45:56,422] [INFO] - [ 1300/ 4200] | Cost: 0.7092596 | Accuracy: 0.4400000
[2026-01-16 20:49:03,454] [INFO] - [ 1400/ 4200] | Cost: 0.6899616 | Accuracy: 0.5400000
[2026-01-16 20:52:02,681] [INFO] - [ 1500/ 4200] | Cost: 0.7014912 | Accuracy: 0.4400000
[2026-01-16 20:55:04,270] [INFO] - [ 1600/ 4200] | Cost: 0.6886559 | Accuracy: 0.5800000
[2026-01-16 20:57:56,272] [INFO] - [ 1700/ 4200] | Cost: 0.6940694 | Accuracy: 0.4800000
[2026-01-16 21:01:05,249] [INFO] - [ 1800/ 4200] | Cost: 0.6933718 | Accuracy: 0.4800000
[2026-01-16 21:04:00,262] [INFO] - [ 1900/ 4200] | Cost: 0.6926762 | Accuracy: 0.5300000
[2026-01-16 21:06:55,173] [INFO] - [ 2000/ 4200] | Cost: 0.6934112 | Accuracy: 0.5000000
[2026-01-16 21:09:55,131] [INFO] - [ 2100/ 4200] | Cost: 0.6985220 | Accuracy: 0.4300000
[2026-01-16 21:13:12,188] [INFO] - [ 2200/ 4200] | Cost: 0.6937152 | Accuracy: 0.5000000
[2026-01-16 21:16:19,530] [INFO] - [ 2300/ 4200] | Cost: 0.6873913 | Accuracy: 0.6000000
[2026-01-16 21:19:24,052] [INFO] - [ 2400/ 4200] | Cost: 0.6931044 | Accuracy: 0.5100000
[2026-01-16 21:22:33,983] [INFO] - [ 2500/ 4200] | Cost: 0.6897915 | Accuracy: 0.5500000
[2026-01-16 21:25:19,666] [INFO] - [ 2600/ 4200] | Cost: 0.6883919 | Accuracy: 0.5600000
[2026-01-16 21:28:18,584] [INFO] - [ 2700/ 4200] | Cost: 0.6901361 | Accuracy: 0.5400000
[2026-01-16 21:31:15,041] [INFO] - [ 2800/ 4200] | Cost: 0.6786102 | Accuracy: 0.6200000
[2026-01-16 21:34:32,532] [INFO] - [ 2900/ 4200] | Cost: 0.6864012 | Accuracy: 0.5600000
[2026-01-16 21:37:13,955] [INFO] - [ 3000/ 4200] | Cost: 0.6968688 | Accuracy: 0.5100000
[2026-01-16 21:40:23,736] [INFO] - [ 3100/ 4200] | Cost: 0.7124508 | Accuracy: 0.4500000
[2026-01-16 21:43:19,181] [INFO] - [ 3200/ 4200] | Cost: 0.7260036 | Accuracy: 0.3900000
[2026-01-16 21:46:36,569] [INFO] - [ 3300/ 4200] | Cost: 0.6921218 | Accuracy: 0.5300000
[2026-01-16 21:49:19,564] [INFO] - [ 3400/ 4200] | Cost: 0.6965172 | Accuracy: 0.5000000
[2026-01-16 21:52:30,875] [INFO] - [ 3500/ 4200] | Cost: 0.6964447 | Accuracy: 0.4900000
[2026-01-16 21:55:29,863] [INFO] - [ 3600/ 4200] | Cost: 0.6905922 | Accuracy: 0.5400000
[2026-01-16 21:58:32,858] [INFO] - [ 3700/ 4200] | Cost: 0.6986632 | Accuracy: 0.4100000
[2026-01-16 22:01:23,542] [INFO] - [ 3800/ 4200] | Cost: 0.6934143 | Accuracy: 0.4800000
[2026-01-16 22:04:16,320] [INFO] - [ 3900/ 4200] | Cost: 0.6939015 | Accuracy: 0.4800000
[2026-01-16 22:07:27,104] [INFO] - [ 4000/ 4200] | Cost: 0.6910484 | Accuracy: 0.5400000
[2026-01-16 22:10:24,273] [INFO] - [ 4100/ 4200] | Cost: 0.6883397 | Accuracy: 0.5600000
[2026-01-16 22:13:22,237] [INFO] - [ 4200/ 4200] | Cost: 0.6857904 | Accuracy: 0.5700000
