[2026-01-16 20:52:04,226] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 20:52:04,230] [INFO] - Using cuda.
[2026-01-16 20:52:05,984] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 20:52:05,987] [INFO] - Initiate model
[2026-01-16 20:52:06,191] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-16 20:52:06,193] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 20:54:38,304] [INFO] - [  100/ 8400] | Cost: 0.6936381 | Accuracy: 0.3600000
[2026-01-16 20:57:02,168] [INFO] - [  200/ 8400] | Cost: 0.6852142 | Accuracy: 0.5900000
[2026-01-16 20:59:41,411] [INFO] - [  300/ 8400] | Cost: 0.6862261 | Accuracy: 0.5600000
[2026-01-16 21:02:42,804] [INFO] - [  400/ 8400] | Cost: 0.6951155 | Accuracy: 0.5300000
[2026-01-16 21:05:16,480] [INFO] - [  500/ 8400] | Cost: 0.7029831 | Accuracy: 0.5100000
[2026-01-16 21:07:55,803] [INFO] - [  600/ 8400] | Cost: 0.7022730 | Accuracy: 0.5100000
[2026-01-16 21:10:34,211] [INFO] - [  700/ 8400] | Cost: 0.7141555 | Accuracy: 0.4600000
[2026-01-16 21:13:42,695] [INFO] - [  800/ 8400] | Cost: 0.7197133 | Accuracy: 0.4100000
[2026-01-16 21:16:23,492] [INFO] - [  900/ 8400] | Cost: 0.7006586 | Accuracy: 0.4700000
[2026-01-16 21:18:58,064] [INFO] - [ 1000/ 8400] | Cost: 0.6957669 | Accuracy: 0.4800000
[2026-01-16 21:21:28,898] [INFO] - [ 1100/ 8400] | Cost: 0.6930273 | Accuracy: 0.5000000
[2026-01-16 21:24:35,834] [INFO] - [ 1200/ 8400] | Cost: 0.6956149 | Accuracy: 0.4600000
[2026-01-16 21:26:50,251] [INFO] - [ 1300/ 8400] | Cost: 0.6891126 | Accuracy: 0.5500000
[2026-01-16 21:29:03,862] [INFO] - [ 1400/ 8400] | Cost: 0.6998833 | Accuracy: 0.4700000
[2026-01-16 21:31:32,940] [INFO] - [ 1500/ 8400] | Cost: 0.6964807 | Accuracy: 0.5000000
[2026-01-16 21:34:19,457] [INFO] - [ 1600/ 8400] | Cost: 0.6956280 | Accuracy: 0.5100000
[2026-01-16 21:37:03,133] [INFO] - [ 1700/ 8400] | Cost: 0.6857833 | Accuracy: 0.5600000
[2026-01-16 21:39:14,979] [INFO] - [ 1800/ 8400] | Cost: 0.7050484 | Accuracy: 0.4700000
[2026-01-16 21:42:08,032] [INFO] - [ 1900/ 8400] | Cost: 0.6842090 | Accuracy: 0.5700000
[2026-01-16 21:44:44,025] [INFO] - [ 2000/ 8400] | Cost: 0.7081388 | Accuracy: 0.4500000
[2026-01-16 21:47:41,710] [INFO] - [ 2100/ 8400] | Cost: 0.6990970 | Accuracy: 0.4900000
[2026-01-16 21:49:55,543] [INFO] - [ 2200/ 8400] | Cost: 0.7021564 | Accuracy: 0.4600000
[2026-01-16 21:52:54,381] [INFO] - [ 2300/ 8400] | Cost: 0.7048944 | Accuracy: 0.4100000
[2026-01-16 21:55:21,058] [INFO] - [ 2400/ 8400] | Cost: 0.6936777 | Accuracy: 0.5000000
[2026-01-16 21:58:38,134] [INFO] - [ 2500/ 8400] | Cost: 0.6931893 | Accuracy: 0.4700000
[2026-01-16 22:01:11,709] [INFO] - [ 2600/ 8400] | Cost: 0.6943215 | Accuracy: 0.4600000
