[2026-01-16 21:20:05,380] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: FRQI
  pca: false
  supports_color: false

[2026-01-16 21:20:05,384] [INFO] - Using cuda.
[2026-01-16 21:20:06,917] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 21:20:06,923] [INFO] - Initiate model
[2026-01-16 21:20:07,474] [INFO] - Weights Shape: torch.Size([3, 11, 3])
[2026-01-16 21:20:07,475] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 21:22:11,083] [INFO] - [  100/ 8400] | Cost: 0.6968937 | Accuracy: 0.4100000
[2026-01-16 21:24:20,683] [INFO] - [  200/ 8400] | Cost: 0.6849260 | Accuracy: 0.5900000
[2026-01-16 21:26:11,277] [INFO] - [  300/ 8400] | Cost: 0.6828256 | Accuracy: 0.5600000
[2026-01-16 21:28:15,229] [INFO] - [  400/ 8400] | Cost: 0.6926117 | Accuracy: 0.5300000
[2026-01-16 21:30:13,677] [INFO] - [  500/ 8400] | Cost: 0.6982134 | Accuracy: 0.5100000
[2026-01-16 21:31:59,218] [INFO] - [  600/ 8400] | Cost: 0.6940551 | Accuracy: 0.5100000
[2026-01-16 21:34:13,740] [INFO] - [  700/ 8400] | Cost: 0.7003444 | Accuracy: 0.4600000
[2026-01-16 21:36:08,189] [INFO] - [  800/ 8400] | Cost: 0.6981422 | Accuracy: 0.4100000
[2026-01-16 21:38:06,184] [INFO] - [  900/ 8400] | Cost: 0.6846956 | Accuracy: 0.7100000
[2026-01-16 21:40:15,490] [INFO] - [ 1000/ 8400] | Cost: 0.6850648 | Accuracy: 0.5800000
[2026-01-16 21:42:15,437] [INFO] - [ 1100/ 8400] | Cost: 0.6845448 | Accuracy: 0.5300000
[2026-01-16 21:44:09,936] [INFO] - [ 1200/ 8400] | Cost: 0.6905592 | Accuracy: 0.4900000
[2026-01-16 21:46:32,706] [INFO] - [ 1300/ 8400] | Cost: 0.6757326 | Accuracy: 0.5500000
[2026-01-16 21:48:34,069] [INFO] - [ 1400/ 8400] | Cost: 0.6815117 | Accuracy: 0.5100000
[2026-01-16 21:50:34,830] [INFO] - [ 1500/ 8400] | Cost: 0.6798773 | Accuracy: 0.6100000
[2026-01-16 21:52:46,891] [INFO] - [ 1600/ 8400] | Cost: 0.6810316 | Accuracy: 0.6400000
[2026-01-16 21:54:30,707] [INFO] - [ 1700/ 8400] | Cost: 0.6762309 | Accuracy: 0.6400000
[2026-01-16 21:56:42,276] [INFO] - [ 1800/ 8400] | Cost: 0.6638798 | Accuracy: 0.7600000
[2026-01-16 21:58:53,993] [INFO] - [ 1900/ 8400] | Cost: 0.6594986 | Accuracy: 0.7200000
[2026-01-16 22:00:58,864] [INFO] - [ 2000/ 8400] | Cost: 0.6738241 | Accuracy: 0.6200000
