[2026-01-16 21:43:22,647] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 21:43:22,651] [INFO] - Using cuda.
[2026-01-16 21:43:24,488] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 21:43:24,491] [INFO] - Initiate model
[2026-01-16 21:43:24,838] [INFO] - Weights Shape: torch.Size([3, 12, 3])
[2026-01-16 21:43:24,840] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 21:46:30,449] [INFO] - [  100/ 8400] | Cost: 0.6969681 | Accuracy: 0.4500000
[2026-01-16 21:49:13,384] [INFO] - [  200/ 8400] | Cost: 0.6854374 | Accuracy: 0.5900000
[2026-01-16 21:52:17,600] [INFO] - [  300/ 8400] | Cost: 0.6850606 | Accuracy: 0.5600000
[2026-01-16 21:55:09,353] [INFO] - [  400/ 8400] | Cost: 0.6953386 | Accuracy: 0.5300000
[2026-01-16 21:58:08,438] [INFO] - [  500/ 8400] | Cost: 0.7020950 | Accuracy: 0.5100000
[2026-01-16 22:01:06,324] [INFO] - [  600/ 8400] | Cost: 0.6990008 | Accuracy: 0.5100000
[2026-01-16 22:03:54,238] [INFO] - [  700/ 8400] | Cost: 0.7079359 | Accuracy: 0.4600000
[2026-01-16 22:06:46,096] [INFO] - [  800/ 8400] | Cost: 0.7096695 | Accuracy: 0.4100000
[2026-01-16 22:09:53,136] [INFO] - [  900/ 8400] | Cost: 0.6901892 | Accuracy: 0.4700000
[2026-01-16 22:12:30,162] [INFO] - [ 1000/ 8400] | Cost: 0.6818761 | Accuracy: 0.6400000
[2026-01-16 22:15:17,250] [INFO] - [ 1100/ 8400] | Cost: 0.6734047 | Accuracy: 0.6900000
[2026-01-16 22:18:14,310] [INFO] - [ 1200/ 8400] | Cost: 0.6754682 | Accuracy: 0.6000000
[2026-01-16 22:21:12,649] [INFO] - [ 1300/ 8400] | Cost: 0.6640876 | Accuracy: 0.6400000
[2026-01-16 22:24:03,082] [INFO] - [ 1400/ 8400] | Cost: 0.6641946 | Accuracy: 0.6000000
[2026-01-16 22:26:49,648] [INFO] - [ 1500/ 8400] | Cost: 0.6665523 | Accuracy: 0.6000000
