[2026-01-16 22:13:32,137] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 22:13:32,139] [INFO] - Using cuda.
[2026-01-16 22:13:33,973] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 22:13:33,977] [INFO] - Initiate model
[2026-01-16 22:13:33,979] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-16 22:13:33,980] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 22:16:03,893] [INFO] - [  100/ 8400] | Cost: 0.6932318 | Accuracy: 0.4300000
[2026-01-16 22:18:39,948] [INFO] - [  200/ 8400] | Cost: 0.6852289 | Accuracy: 0.5900000
[2026-01-16 22:21:38,339] [INFO] - [  300/ 8400] | Cost: 0.6862863 | Accuracy: 0.5600000
[2026-01-16 22:24:04,334] [INFO] - [  400/ 8400] | Cost: 0.6946999 | Accuracy: 0.5300000
[2026-01-16 22:26:50,757] [INFO] - [  500/ 8400] | Cost: 0.7028854 | Accuracy: 0.5100000
[2026-01-16 22:29:37,036] [INFO] - [  600/ 8400] | Cost: 0.7023405 | Accuracy: 0.5100000
[2026-01-16 22:32:51,630] [INFO] - [  700/ 8400] | Cost: 0.7142745 | Accuracy: 0.4600000
[2026-01-16 22:35:13,589] [INFO] - [  800/ 8400] | Cost: 0.7196290 | Accuracy: 0.4100000
[2026-01-16 22:37:48,521] [INFO] - [  900/ 8400] | Cost: 0.7008612 | Accuracy: 0.4700000
[2026-01-16 22:40:36,816] [INFO] - [ 1000/ 8400] | Cost: 0.6961107 | Accuracy: 0.4800000
[2026-01-16 22:43:50,153] [INFO] - [ 1100/ 8400] | Cost: 0.6934575 | Accuracy: 0.5000000
[2026-01-16 22:46:11,439] [INFO] - [ 1200/ 8400] | Cost: 0.6956028 | Accuracy: 0.4600000
[2026-01-16 22:49:04,008] [INFO] - [ 1300/ 8400] | Cost: 0.6896771 | Accuracy: 0.5500000
[2026-01-16 22:51:47,188] [INFO] - [ 1400/ 8400] | Cost: 0.7003558 | Accuracy: 0.4700000
[2026-01-16 22:55:05,341] [INFO] - [ 1500/ 8400] | Cost: 0.6966133 | Accuracy: 0.5000000
[2026-01-16 22:57:46,306] [INFO] - [ 1600/ 8400] | Cost: 0.6955833 | Accuracy: 0.5100000
[2026-01-16 23:00:41,999] [INFO] - [ 1700/ 8400] | Cost: 0.6867882 | Accuracy: 0.5600000
[2026-01-16 23:03:52,301] [INFO] - [ 1800/ 8400] | Cost: 0.7049094 | Accuracy: 0.4700000
[2026-01-16 23:06:51,037] [INFO] - [ 1900/ 8400] | Cost: 0.6840302 | Accuracy: 0.5700000
[2026-01-16 23:09:36,175] [INFO] - [ 2000/ 8400] | Cost: 0.7081116 | Accuracy: 0.4500000
[2026-01-16 23:12:26,243] [INFO] - [ 2100/ 8400] | Cost: 0.6989526 | Accuracy: 0.4900000
[2026-01-16 23:15:33,370] [INFO] - [ 2200/ 8400] | Cost: 0.7020122 | Accuracy: 0.4600000
[2026-01-16 23:18:27,114] [INFO] - [ 2300/ 8400] | Cost: 0.7053394 | Accuracy: 0.4100000
[2026-01-16 23:21:25,298] [INFO] - [ 2400/ 8400] | Cost: 0.6938822 | Accuracy: 0.5000000
[2026-01-16 23:24:10,107] [INFO] - [ 2500/ 8400] | Cost: 0.6934619 | Accuracy: 0.4700000
[2026-01-16 23:27:17,038] [INFO] - [ 2600/ 8400] | Cost: 0.6943744 | Accuracy: 0.4600000
[2026-01-16 23:30:13,800] [INFO] - [ 2700/ 8400] | Cost: 0.6923409 | Accuracy: 0.5200000
[2026-01-16 23:33:03,623] [INFO] - [ 2800/ 8400] | Cost: 0.6921692 | Accuracy: 0.5200000
[2026-01-16 23:35:52,813] [INFO] - [ 2900/ 8400] | Cost: 0.7007580 | Accuracy: 0.4600000
[2026-01-16 23:38:44,897] [INFO] - [ 3000/ 8400] | Cost: 0.6927144 | Accuracy: 0.5200000
[2026-01-16 23:41:38,667] [INFO] - [ 3100/ 8400] | Cost: 0.7054865 | Accuracy: 0.4400000
[2026-01-16 23:44:26,233] [INFO] - [ 3200/ 8400] | Cost: 0.7006038 | Accuracy: 0.4700000
[2026-01-16 23:47:33,656] [INFO] - [ 3300/ 8400] | Cost: 0.6992327 | Accuracy: 0.4700000
[2026-01-16 23:50:44,753] [INFO] - [ 3400/ 8400] | Cost: 0.6934025 | Accuracy: 0.5100000
[2026-01-16 23:53:48,914] [INFO] - [ 3500/ 8400] | Cost: 0.6935377 | Accuracy: 0.5100000
[2026-01-16 23:56:37,639] [INFO] - [ 3600/ 8400] | Cost: 0.6902847 | Accuracy: 0.5600000
[2026-01-16 23:59:39,920] [INFO] - [ 3700/ 8400] | Cost: 0.6939293 | Accuracy: 0.4900000
[2026-01-17 00:02:50,543] [INFO] - [ 3800/ 8400] | Cost: 0.6912692 | Accuracy: 0.5700000
[2026-01-17 00:05:47,902] [INFO] - [ 3900/ 8400] | Cost: 0.6931291 | Accuracy: 0.5100000
[2026-01-17 00:08:38,511] [INFO] - [ 4000/ 8400] | Cost: 0.6949168 | Accuracy: 0.4100000
[2026-01-17 00:11:45,518] [INFO] - [ 4100/ 8400] | Cost: 0.6930912 | Accuracy: 0.5000000
[2026-01-17 00:14:59,234] [INFO] - [ 4200/ 8400] | Cost: 0.6931642 | Accuracy: 0.5100000
[2026-01-17 00:17:54,512] [INFO] - [ 4300/ 8400] | Cost: 0.6937553 | Accuracy: 0.4700000
[2026-01-17 00:20:39,423] [INFO] - [ 4400/ 8400] | Cost: 0.6937912 | Accuracy: 0.4700000
[2026-01-17 00:23:54,194] [INFO] - [ 4500/ 8400] | Cost: 0.6935101 | Accuracy: 0.4800000
[2026-01-17 00:27:01,580] [INFO] - [ 4600/ 8400] | Cost: 0.6936165 | Accuracy: 0.4700000
[2026-01-17 00:29:59,296] [INFO] - [ 4700/ 8400] | Cost: 0.6932271 | Accuracy: 0.4800000
[2026-01-17 00:32:51,766] [INFO] - [ 4800/ 8400] | Cost: 0.6928828 | Accuracy: 0.5200000
[2026-01-17 00:35:52,467] [INFO] - [ 4900/ 8400] | Cost: 0.6925385 | Accuracy: 0.5200000
[2026-01-17 00:38:56,281] [INFO] - [ 5000/ 8400] | Cost: 0.6914819 | Accuracy: 0.5500000
[2026-01-17 00:41:35,235] [INFO] - [ 5100/ 8400] | Cost: 0.6896113 | Accuracy: 0.5700000
[2026-01-17 00:44:27,562] [INFO] - [ 5200/ 8400] | Cost: 0.6950351 | Accuracy: 0.4900000
[2026-01-17 00:47:39,430] [INFO] - [ 5300/ 8400] | Cost: 0.6935572 | Accuracy: 0.5100000
[2026-01-17 00:50:44,996] [INFO] - [ 5400/ 8400] | Cost: 0.6961855 | Accuracy: 0.4900000
[2026-01-17 00:53:21,533] [INFO] - [ 5500/ 8400] | Cost: 0.6924246 | Accuracy: 0.5200000
[2026-01-17 00:56:24,881] [INFO] - [ 5600/ 8400] | Cost: 0.6836610 | Accuracy: 0.5900000
[2026-01-17 00:59:19,964] [INFO] - [ 5700/ 8400] | Cost: 0.6897395 | Accuracy: 0.5400000
[2026-01-17 01:02:32,940] [INFO] - [ 5800/ 8400] | Cost: 0.6976666 | Accuracy: 0.4900000
[2026-01-17 01:05:18,370] [INFO] - [ 5900/ 8400] | Cost: 0.6979157 | Accuracy: 0.4900000
[2026-01-17 01:08:24,439] [INFO] - [ 6000/ 8400] | Cost: 0.6945558 | Accuracy: 0.5100000
[2026-01-17 01:11:33,712] [INFO] - [ 6100/ 8400] | Cost: 0.6999872 | Accuracy: 0.4700000
[2026-01-17 01:14:45,947] [INFO] - [ 6200/ 8400] | Cost: 0.6947185 | Accuracy: 0.5000000
[2026-01-17 01:17:26,760] [INFO] - [ 6300/ 8400] | Cost: 0.6960226 | Accuracy: 0.4800000
