[2026-01-17 00:37:41,615] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: FRQI
  pca: false
  supports_color: false

[2026-01-17 00:37:41,620] [INFO] - Using cuda.
[2026-01-17 00:37:43,425] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 00:37:43,429] [INFO] - Initiate model
[2026-01-17 00:37:43,622] [INFO] - Weights Shape: torch.Size([3, 9, 3])
[2026-01-17 00:37:43,624] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 00:38:47,273] [INFO] - [  100/ 8400] | Cost: 0.6927534 | Accuracy: 0.5500000
[2026-01-17 00:39:31,676] [INFO] - [  200/ 8400] | Cost: 0.6781199 | Accuracy: 0.5900000
[2026-01-17 00:40:27,658] [INFO] - [  300/ 8400] | Cost: 0.6791066 | Accuracy: 0.5600000
[2026-01-17 00:41:17,137] [INFO] - [  400/ 8400] | Cost: 0.6894193 | Accuracy: 0.5300000
[2026-01-17 00:42:02,094] [INFO] - [  500/ 8400] | Cost: 0.6922002 | Accuracy: 0.5100000
[2026-01-17 00:42:51,180] [INFO] - [  600/ 8400] | Cost: 0.6845227 | Accuracy: 0.5100000
[2026-01-17 00:43:51,171] [INFO] - [  700/ 8400] | Cost: 0.6872309 | Accuracy: 0.4700000
[2026-01-17 00:44:49,509] [INFO] - [  800/ 8400] | Cost: 0.6849840 | Accuracy: 0.4700000
[2026-01-17 00:45:41,822] [INFO] - [  900/ 8400] | Cost: 0.6737775 | Accuracy: 0.6500000
[2026-01-17 00:46:44,755] [INFO] - [ 1000/ 8400] | Cost: 0.6691541 | Accuracy: 0.6200000
[2026-01-17 00:47:46,440] [INFO] - [ 1100/ 8400] | Cost: 0.6623622 | Accuracy: 0.6000000
[2026-01-17 00:48:45,006] [INFO] - [ 1200/ 8400] | Cost: 0.6750913 | Accuracy: 0.5900000
