[2026-01-17 01:22:03,650] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-17 01:22:03,654] [INFO] - Using cuda.
[2026-01-17 01:22:05,150] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 01:22:05,154] [INFO] - Initiate model
[2026-01-17 01:22:05,377] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-17 01:22:05,378] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 01:33:03,318] [INFO] - [  100/ 8400] | Cost: 0.6930442 | Accuracy: 0.5700000
[2026-01-17 01:44:26,675] [INFO] - [  200/ 8400] | Cost: 0.6853685 | Accuracy: 0.5900000
[2026-01-17 01:56:05,275] [INFO] - [  300/ 8400] | Cost: 0.6860039 | Accuracy: 0.5600000
[2026-01-17 02:07:14,274] [INFO] - [  400/ 8400] | Cost: 0.6949109 | Accuracy: 0.5300000
[2026-01-17 02:18:58,050] [INFO] - [  500/ 8400] | Cost: 0.7029989 | Accuracy: 0.5100000
[2026-01-17 02:30:06,145] [INFO] - [  600/ 8400] | Cost: 0.7019278 | Accuracy: 0.5100000
[2026-01-17 02:41:19,843] [INFO] - [  700/ 8400] | Cost: 0.7140197 | Accuracy: 0.4600000
[2026-01-17 02:52:10,947] [INFO] - [  800/ 8400] | Cost: 0.7197827 | Accuracy: 0.4100000
[2026-01-17 03:03:31,771] [INFO] - [  900/ 8400] | Cost: 0.7007193 | Accuracy: 0.4700000
[2026-01-17 03:14:36,429] [INFO] - [ 1000/ 8400] | Cost: 0.6955816 | Accuracy: 0.4800000
[2026-01-17 03:25:42,996] [INFO] - [ 1100/ 8400] | Cost: 0.6930460 | Accuracy: 0.5000000
[2026-01-17 03:36:40,788] [INFO] - [ 1200/ 8400] | Cost: 0.6955873 | Accuracy: 0.4600000
[2026-01-17 03:47:15,193] [INFO] - [ 1300/ 8400] | Cost: 0.6893648 | Accuracy: 0.5500000
[2026-01-17 03:58:06,284] [INFO] - [ 1400/ 8400] | Cost: 0.7000411 | Accuracy: 0.4700000
[2026-01-17 04:08:39,137] [INFO] - [ 1500/ 8400] | Cost: 0.6968983 | Accuracy: 0.5000000
