[2026-01-17 02:19:49,367] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-17 02:19:49,369] [INFO] - Using cuda.
[2026-01-17 02:19:51,194] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 02:19:51,197] [INFO] - Initiate model
[2026-01-17 02:19:51,199] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-17 02:19:51,199] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 02:22:59,823] [INFO] - [  100/ 8400] | Cost: 0.6934868 | Accuracy: 0.4600000
[2026-01-17 02:25:48,578] [INFO] - [  200/ 8400] | Cost: 0.6854817 | Accuracy: 0.5900000
[2026-01-17 02:28:33,574] [INFO] - [  300/ 8400] | Cost: 0.6857992 | Accuracy: 0.5600000
[2026-01-17 02:31:38,474] [INFO] - [  400/ 8400] | Cost: 0.6945564 | Accuracy: 0.5300000
[2026-01-17 02:34:23,438] [INFO] - [  500/ 8400] | Cost: 0.7028481 | Accuracy: 0.5100000
[2026-01-17 02:37:22,673] [INFO] - [  600/ 8400] | Cost: 0.7019528 | Accuracy: 0.5100000
[2026-01-17 02:40:01,665] [INFO] - [  700/ 8400] | Cost: 0.7139938 | Accuracy: 0.4600000
[2026-01-17 02:42:59,825] [INFO] - [  800/ 8400] | Cost: 0.7199077 | Accuracy: 0.4100000
[2026-01-17 02:45:34,355] [INFO] - [  900/ 8400] | Cost: 0.7011429 | Accuracy: 0.4700000
[2026-01-17 02:48:08,490] [INFO] - [ 1000/ 8400] | Cost: 0.6956738 | Accuracy: 0.4800000
[2026-01-17 02:50:50,177] [INFO] - [ 1100/ 8400] | Cost: 0.6930793 | Accuracy: 0.5000000
[2026-01-17 02:53:49,143] [INFO] - [ 1200/ 8400] | Cost: 0.6955863 | Accuracy: 0.4600000
[2026-01-17 02:56:46,162] [INFO] - [ 1300/ 8400] | Cost: 0.6895416 | Accuracy: 0.5500000
[2026-01-17 02:59:41,760] [INFO] - [ 1400/ 8400] | Cost: 0.7001944 | Accuracy: 0.4700000
[2026-01-17 03:02:31,109] [INFO] - [ 1500/ 8400] | Cost: 0.6967366 | Accuracy: 0.5000000
[2026-01-17 03:05:25,099] [INFO] - [ 1600/ 8400] | Cost: 0.6958804 | Accuracy: 0.5100000
[2026-01-17 03:08:25,252] [INFO] - [ 1700/ 8400] | Cost: 0.6862651 | Accuracy: 0.5600000
[2026-01-17 03:11:08,431] [INFO] - [ 1800/ 8400] | Cost: 0.7050721 | Accuracy: 0.4700000
[2026-01-17 03:14:04,328] [INFO] - [ 1900/ 8400] | Cost: 0.6841826 | Accuracy: 0.5700000
[2026-01-17 03:16:51,697] [INFO] - [ 2000/ 8400] | Cost: 0.7080112 | Accuracy: 0.4500000
