[2026-01-16 05:10:41,524] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 05:10:41,526] [INFO] - Using cuda.
[2026-01-16 05:10:41,962] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 05:10:41,966] [INFO] - Initiate model
[2026-01-16 05:10:41,968] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-16 05:10:41,969] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 05:13:29,917] [INFO] - [  100/ 9800] | Cost: 0.6931185 | Accuracy: 0.5400000
[2026-01-16 05:15:57,028] [INFO] - [  200/ 9800] | Cost: 0.6819554 | Accuracy: 0.6100000
[2026-01-16 05:19:03,939] [INFO] - [  300/ 9800] | Cost: 0.6965091 | Accuracy: 0.5000000
[2026-01-16 05:21:40,045] [INFO] - [  400/ 9800] | Cost: 0.7200903 | Accuracy: 0.4100000
[2026-01-16 05:24:38,438] [INFO] - [  500/ 9800] | Cost: 0.6993092 | Accuracy: 0.4800000
[2026-01-16 05:27:05,553] [INFO] - [  600/ 9800] | Cost: 0.6945908 | Accuracy: 0.4800000
[2026-01-16 05:30:11,577] [INFO] - [  700/ 9800] | Cost: 0.6898973 | Accuracy: 0.4800000
[2026-01-16 05:32:57,142] [INFO] - [  800/ 9800] | Cost: 0.6753673 | Accuracy: 0.5600000
[2026-01-16 05:35:34,810] [INFO] - [  900/ 9800] | Cost: 0.6802297 | Accuracy: 0.4400000
[2026-01-16 05:38:27,430] [INFO] - [ 1000/ 9800] | Cost: 0.6683105 | Accuracy: 0.8400000
[2026-01-16 05:40:59,605] [INFO] - [ 1100/ 9800] | Cost: 0.6622930 | Accuracy: 0.9100000
[2026-01-16 05:43:53,687] [INFO] - [ 1200/ 9800] | Cost: 0.6567110 | Accuracy: 0.9400000
[2026-01-16 05:46:05,869] [INFO] - [ 1300/ 9800] | Cost: 0.6464480 | Accuracy: 0.9100000
[2026-01-16 05:48:58,954] [INFO] - [ 1400/ 9800] | Cost: 0.6367859 | Accuracy: 0.9400000
[2026-01-16 05:51:29,461] [INFO] - [ 1500/ 9800] | Cost: 0.6243194 | Accuracy: 0.9700000
[2026-01-16 05:54:19,343] [INFO] - [ 1600/ 9800] | Cost: 0.6306774 | Accuracy: 0.9000000
[2026-01-16 05:57:01,889] [INFO] - [ 1700/ 9800] | Cost: 0.6228155 | Accuracy: 0.8600000
[2026-01-16 05:59:45,968] [INFO] - [ 1800/ 9800] | Cost: 0.6196123 | Accuracy: 0.9000000
[2026-01-16 06:02:46,821] [INFO] - [ 1900/ 9800] | Cost: 0.6167086 | Accuracy: 0.9000000
[2026-01-16 06:05:38,585] [INFO] - [ 2000/ 9800] | Cost: 0.6064900 | Accuracy: 0.9600000
[2026-01-16 06:08:29,022] [INFO] - [ 2100/ 9800] | Cost: 0.6024467 | Accuracy: 0.9700000
[2026-01-16 06:11:23,972] [INFO] - [ 2200/ 9800] | Cost: 0.6065857 | Accuracy: 0.9500000
[2026-01-16 06:14:12,600] [INFO] - [ 2300/ 9800] | Cost: 0.6185030 | Accuracy: 0.9400000
[2026-01-16 06:16:52,468] [INFO] - [ 2400/ 9800] | Cost: 0.6028875 | Accuracy: 0.9500000
[2026-01-16 06:19:24,757] [INFO] - [ 2500/ 9800] | Cost: 0.6098765 | Accuracy: 0.9200000
[2026-01-16 06:22:01,528] [INFO] - [ 2600/ 9800] | Cost: 0.6147819 | Accuracy: 0.8900000
[2026-01-16 06:24:46,243] [INFO] - [ 2700/ 9800] | Cost: 0.6079726 | Accuracy: 0.9300000
[2026-01-16 06:27:23,579] [INFO] - [ 2800/ 9800] | Cost: 0.6066394 | Accuracy: 0.9600000
[2026-01-16 06:30:04,009] [INFO] - [ 2900/ 9800] | Cost: 0.6054722 | Accuracy: 0.9000000
[2026-01-16 06:32:53,369] [INFO] - [ 3000/ 9800] | Cost: 0.6026800 | Accuracy: 0.9400000
[2026-01-16 06:35:20,611] [INFO] - [ 3100/ 9800] | Cost: 0.6121161 | Accuracy: 0.9300000
[2026-01-16 06:38:01,990] [INFO] - [ 3200/ 9800] | Cost: 0.5964585 | Accuracy: 0.9400000
[2026-01-16 06:40:41,957] [INFO] - [ 3300/ 9800] | Cost: 0.6133831 | Accuracy: 0.9200000
