[2026-01-16 09:00:46,788] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 09:00:46,792] [INFO] - Using cuda.
[2026-01-16 09:00:47,227] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 09:00:47,230] [INFO] - Initiate model
[2026-01-16 09:00:47,432] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-16 09:00:47,433] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 09:11:34,372] [INFO] - [  100/ 9800] | Cost: 0.6928455 | Accuracy: 0.5900000
[2026-01-16 09:22:39,314] [INFO] - [  200/ 9800] | Cost: 0.6814900 | Accuracy: 0.6100000
[2026-01-16 09:34:01,082] [INFO] - [  300/ 9800] | Cost: 0.6956264 | Accuracy: 0.5000000
[2026-01-16 09:45:31,192] [INFO] - [  400/ 9800] | Cost: 0.7190616 | Accuracy: 0.4100000
[2026-01-16 09:56:59,665] [INFO] - [  500/ 9800] | Cost: 0.6969664 | Accuracy: 0.4800000
[2026-01-16 10:08:09,259] [INFO] - [  600/ 9800] | Cost: 0.6915337 | Accuracy: 0.4800000
[2026-01-16 10:19:14,801] [INFO] - [  700/ 9800] | Cost: 0.6853226 | Accuracy: 0.4800000
[2026-01-16 10:30:06,503] [INFO] - [  800/ 9800] | Cost: 0.6719567 | Accuracy: 0.5600000
[2026-01-16 10:41:25,200] [INFO] - [  900/ 9800] | Cost: 0.6768262 | Accuracy: 0.6500000
[2026-01-16 10:52:35,083] [INFO] - [ 1000/ 9800] | Cost: 0.6617505 | Accuracy: 0.8300000
[2026-01-16 11:03:46,085] [INFO] - [ 1100/ 9800] | Cost: 0.6573280 | Accuracy: 0.8300000
[2026-01-16 11:14:49,454] [INFO] - [ 1200/ 9800] | Cost: 0.6528618 | Accuracy: 0.8400000
[2026-01-16 11:25:57,235] [INFO] - [ 1300/ 9800] | Cost: 0.6418564 | Accuracy: 0.8300000
[2026-01-16 11:36:50,888] [INFO] - [ 1400/ 9800] | Cost: 0.6345675 | Accuracy: 0.9100000
[2026-01-16 11:47:44,439] [INFO] - [ 1500/ 9800] | Cost: 0.6216415 | Accuracy: 0.9300000
[2026-01-16 11:58:33,786] [INFO] - [ 1600/ 9800] | Cost: 0.6261357 | Accuracy: 0.8700000
[2026-01-16 12:09:41,182] [INFO] - [ 1700/ 9800] | Cost: 0.6198981 | Accuracy: 0.8600000
[2026-01-16 12:21:07,451] [INFO] - [ 1800/ 9800] | Cost: 0.6107241 | Accuracy: 0.9100000
[2026-01-16 12:32:07,122] [INFO] - [ 1900/ 9800] | Cost: 0.6048334 | Accuracy: 0.8900000
[2026-01-16 12:43:28,760] [INFO] - [ 2000/ 9800] | Cost: 0.5929016 | Accuracy: 0.9500000
[2026-01-16 12:54:47,021] [INFO] - [ 2100/ 9800] | Cost: 0.5853252 | Accuracy: 0.9400000
[2026-01-16 13:05:22,835] [INFO] - [ 2200/ 9800] | Cost: 0.5953751 | Accuracy: 0.9300000
[2026-01-16 13:15:49,011] [INFO] - [ 2300/ 9800] | Cost: 0.6014271 | Accuracy: 0.8900000
[2026-01-16 13:26:21,075] [INFO] - [ 2400/ 9800] | Cost: 0.5810226 | Accuracy: 0.9600000
[2026-01-16 13:37:28,080] [INFO] - [ 2500/ 9800] | Cost: 0.5851916 | Accuracy: 0.9400000
[2026-01-16 13:48:29,298] [INFO] - [ 2600/ 9800] | Cost: 0.5922046 | Accuracy: 0.9200000
[2026-01-16 13:59:36,339] [INFO] - [ 2700/ 9800] | Cost: 0.5824693 | Accuracy: 0.9300000
[2026-01-16 14:10:00,941] [INFO] - [ 2800/ 9800] | Cost: 0.5692465 | Accuracy: 0.9800000
[2026-01-16 14:20:51,032] [INFO] - [ 2900/ 9800] | Cost: 0.5768883 | Accuracy: 0.9200000
[2026-01-16 14:31:15,477] [INFO] - [ 3000/ 9800] | Cost: 0.5666631 | Accuracy: 0.9500000
[2026-01-16 14:42:06,043] [INFO] - [ 3100/ 9800] | Cost: 0.5786463 | Accuracy: 0.9200000
[2026-01-16 14:52:57,652] [INFO] - [ 3200/ 9800] | Cost: 0.5638317 | Accuracy: 0.9400000
[2026-01-16 15:03:50,024] [INFO] - [ 3300/ 9800] | Cost: 0.5781878 | Accuracy: 0.9400000
[2026-01-16 15:14:36,263] [INFO] - [ 3400/ 9800] | Cost: 0.5669190 | Accuracy: 0.9400000
[2026-01-16 15:25:24,522] [INFO] - [ 3500/ 9800] | Cost: 0.5620575 | Accuracy: 0.9400000
[2026-01-16 15:36:11,879] [INFO] - [ 3600/ 9800] | Cost: 0.5620754 | Accuracy: 0.9500000
[2026-01-16 15:46:45,478] [INFO] - [ 3700/ 9800] | Cost: 0.5614150 | Accuracy: 0.9500000
[2026-01-16 15:57:45,208] [INFO] - [ 3800/ 9800] | Cost: 0.5583732 | Accuracy: 0.9500000
[2026-01-16 16:08:25,534] [INFO] - [ 3900/ 9800] | Cost: 0.5823014 | Accuracy: 0.8700000
[2026-01-16 16:19:27,565] [INFO] - [ 4000/ 9800] | Cost: 0.5754834 | Accuracy: 0.9400000
[2026-01-16 16:30:10,247] [INFO] - [ 4100/ 9800] | Cost: 0.5661671 | Accuracy: 0.9400000
[2026-01-16 16:40:35,800] [INFO] - [ 4200/ 9800] | Cost: 0.5848972 | Accuracy: 0.9000000
[2026-01-16 16:50:56,936] [INFO] - [ 4300/ 9800] | Cost: 0.5632665 | Accuracy: 0.9000000
[2026-01-16 17:02:10,021] [INFO] - [ 4400/ 9800] | Cost: 0.5608887 | Accuracy: 0.9600000
[2026-01-16 17:13:12,093] [INFO] - [ 4500/ 9800] | Cost: 0.5680349 | Accuracy: 0.9000000
[2026-01-16 17:24:03,190] [INFO] - [ 4600/ 9800] | Cost: 0.5675246 | Accuracy: 0.9200000
[2026-01-16 17:34:36,394] [INFO] - [ 4700/ 9800] | Cost: 0.5526430 | Accuracy: 0.9600000
[2026-01-16 17:45:21,641] [INFO] - [ 4800/ 9800] | Cost: 0.5724816 | Accuracy: 0.9100000
[2026-01-16 17:56:01,086] [INFO] - [ 4900/ 9800] | Cost: 0.5723149 | Accuracy: 0.8900000
[2026-01-16 18:06:52,255] [INFO] - [ 5000/ 9800] | Cost: 0.5470914 | Accuracy: 0.9600000
[2026-01-16 18:17:31,455] [INFO] - [ 5100/ 9800] | Cost: 0.5641549 | Accuracy: 0.9100000
[2026-01-16 18:28:07,349] [INFO] - [ 5200/ 9800] | Cost: 0.5641038 | Accuracy: 0.8900000
[2026-01-16 18:39:22,495] [INFO] - [ 5300/ 9800] | Cost: 0.5349843 | Accuracy: 0.9400000
[2026-01-16 18:50:14,996] [INFO] - [ 5400/ 9800] | Cost: 0.5345268 | Accuracy: 0.9700000
[2026-01-16 19:01:02,247] [INFO] - [ 5500/ 9800] | Cost: 0.5348134 | Accuracy: 0.9500000
[2026-01-16 19:11:37,492] [INFO] - [ 5600/ 9800] | Cost: 0.5408978 | Accuracy: 0.9100000
[2026-01-16 19:22:25,053] [INFO] - [ 5700/ 9800] | Cost: 0.5344480 | Accuracy: 0.9000000
[2026-01-16 19:33:22,226] [INFO] - [ 5800/ 9800] | Cost: 0.5429057 | Accuracy: 0.9000000
