[2026-01-17 16:04:17,646] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-17 16:04:17,860] [INFO] - Using cuda.
[2026-01-17 16:04:18,320] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-17 16:04:18,322] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 16:04:23,193] [INFO] - Initiate model
[2026-01-17 16:04:23,251] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 16:04:23,252] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 16:05:16,211] [INFO] - [  100/10346] | Cost: 0.7055464 | Accuracy: 0.4500000
[2026-01-17 16:06:09,634] [INFO] - [  200/10346] | Cost: 0.6986970 | Accuracy: 0.4500000
[2026-01-17 16:07:03,045] [INFO] - [  300/10346] | Cost: 0.6466832 | Accuracy: 0.7500000
[2026-01-17 16:07:56,669] [INFO] - [  400/10346] | Cost: 0.6479431 | Accuracy: 0.6600000
[2026-01-17 16:08:50,148] [INFO] - [  500/10346] | Cost: 0.6153116 | Accuracy: 0.7000000
[2026-01-17 16:09:43,682] [INFO] - [  600/10346] | Cost: 0.5918652 | Accuracy: 0.7000000
[2026-01-17 16:10:36,969] [INFO] - [  700/10346] | Cost: 0.5811255 | Accuracy: 0.7400000
[2026-01-17 16:11:30,605] [INFO] - [  800/10346] | Cost: 0.5675616 | Accuracy: 0.7600000
[2026-01-17 16:12:24,076] [INFO] - [  900/10346] | Cost: 0.5973607 | Accuracy: 0.6600000
[2026-01-17 16:13:17,634] [INFO] - [ 1000/10346] | Cost: 0.5672314 | Accuracy: 0.7700000
[2026-01-17 16:14:11,169] [INFO] - [ 1100/10346] | Cost: 0.5692264 | Accuracy: 0.7700000
[2026-01-17 16:15:04,586] [INFO] - [ 1200/10346] | Cost: 0.5490375 | Accuracy: 0.8300000
[2026-01-17 16:15:58,144] [INFO] - [ 1300/10346] | Cost: 0.5443802 | Accuracy: 0.8700000
[2026-01-17 16:16:51,709] [INFO] - [ 1400/10346] | Cost: 0.5382652 | Accuracy: 0.8900000
[2026-01-17 16:17:45,190] [INFO] - [ 1500/10346] | Cost: 0.5492208 | Accuracy: 0.9000000
[2026-01-17 16:18:38,787] [INFO] - [ 1600/10346] | Cost: 0.5295250 | Accuracy: 0.9100000
[2026-01-17 16:19:32,133] [INFO] - [ 1700/10346] | Cost: 0.5473226 | Accuracy: 0.9200000
[2026-01-17 16:20:25,702] [INFO] - [ 1800/10346] | Cost: 0.5517326 | Accuracy: 0.8900000
[2026-01-17 16:21:19,170] [INFO] - [ 1900/10346] | Cost: 0.5207504 | Accuracy: 0.9200000
