[2026-01-17 16:04:17,742] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 16:04:17,860] [INFO] - Using cuda.
[2026-01-17 16:04:18,546] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-17 16:04:18,548] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 16:04:22,495] [INFO] - Initiate model
[2026-01-17 16:04:22,550] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 16:04:22,552] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 16:05:14,990] [INFO] - [  100/ 9800] | Cost: 0.6980782 | Accuracy: 0.5600000
[2026-01-17 16:06:08,398] [INFO] - [  200/ 9800] | Cost: 0.6868808 | Accuracy: 0.6100000
[2026-01-17 16:07:01,773] [INFO] - [  300/ 9800] | Cost: 0.6645445 | Accuracy: 0.5800000
[2026-01-17 16:07:55,297] [INFO] - [  400/ 9800] | Cost: 0.6478752 | Accuracy: 0.7000000
[2026-01-17 16:08:48,612] [INFO] - [  500/ 9800] | Cost: 0.6123787 | Accuracy: 0.9300000
[2026-01-17 16:09:42,132] [INFO] - [  600/ 9800] | Cost: 0.5949596 | Accuracy: 0.9000000
[2026-01-17 16:10:35,571] [INFO] - [  700/ 9800] | Cost: 0.5769855 | Accuracy: 0.9200000
[2026-01-17 16:11:29,080] [INFO] - [  800/ 9800] | Cost: 0.5577273 | Accuracy: 0.9600000
[2026-01-17 16:12:22,521] [INFO] - [  900/ 9800] | Cost: 0.5449947 | Accuracy: 0.9500000
[2026-01-17 16:13:15,811] [INFO] - [ 1000/ 9800] | Cost: 0.5401927 | Accuracy: 0.9200000
[2026-01-17 16:14:09,153] [INFO] - [ 1100/ 9800] | Cost: 0.5349107 | Accuracy: 0.9200000
[2026-01-17 16:15:02,615] [INFO] - [ 1200/ 9800] | Cost: 0.5167082 | Accuracy: 0.8900000
[2026-01-17 16:15:56,028] [INFO] - [ 1300/ 9800] | Cost: 0.5171585 | Accuracy: 0.9100000
