[2026-01-17 17:32:17,837] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:32:17,839] [INFO] - Using cuda.
[2026-01-17 17:32:18,260] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-17 17:32:18,263] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:32:25,158] [INFO] - Initiate model
[2026-01-17 17:32:25,161] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:32:25,162] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:33:14,538] [INFO] - [  100/ 9800] | Cost: 0.6842136 | Accuracy: 0.6900000
[2026-01-17 17:34:07,943] [INFO] - [  200/ 9800] | Cost: 0.6854769 | Accuracy: 0.5700000
[2026-01-17 17:35:01,322] [INFO] - [  300/ 9800] | Cost: 0.6609828 | Accuracy: 0.7800000
[2026-01-17 17:35:54,897] [INFO] - [  400/ 9800] | Cost: 0.6506726 | Accuracy: 0.8400000
[2026-01-17 17:36:35,030] [INFO] - [  500/ 9800] | Cost: 0.6189348 | Accuracy: 0.9200000
[2026-01-17 17:37:11,099] [INFO] - [  600/ 9800] | Cost: 0.6084965 | Accuracy: 0.8600000
[2026-01-17 17:37:55,404] [INFO] - [  700/ 9800] | Cost: 0.5976669 | Accuracy: 0.8800000
[2026-01-17 17:38:48,806] [INFO] - [  800/ 9800] | Cost: 0.5787139 | Accuracy: 0.9000000
[2026-01-17 17:39:42,170] [INFO] - [  900/ 9800] | Cost: 0.5770776 | Accuracy: 0.8700000
[2026-01-17 17:40:35,373] [INFO] - [ 1000/ 9800] | Cost: 0.5673287 | Accuracy: 0.8600000
[2026-01-17 17:41:28,786] [INFO] - [ 1100/ 9800] | Cost: 0.5695258 | Accuracy: 0.8600000
[2026-01-17 17:42:22,225] [INFO] - [ 1200/ 9800] | Cost: 0.5500668 | Accuracy: 0.8800000
[2026-01-17 17:43:15,658] [INFO] - [ 1300/ 9800] | Cost: 0.5465990 | Accuracy: 0.9100000
[2026-01-17 17:44:08,888] [INFO] - [ 1400/ 9800] | Cost: 0.5305395 | Accuracy: 0.8900000
[2026-01-17 17:45:02,294] [INFO] - [ 1500/ 9800] | Cost: 0.5086325 | Accuracy: 0.9200000
[2026-01-17 17:45:55,764] [INFO] - [ 1600/ 9800] | Cost: 0.4978611 | Accuracy: 0.9100000
[2026-01-17 17:46:49,159] [INFO] - [ 1700/ 9800] | Cost: 0.4825419 | Accuracy: 0.9000000
[2026-01-17 17:47:42,393] [INFO] - [ 1800/ 9800] | Cost: 0.4656124 | Accuracy: 0.9100000
[2026-01-17 17:48:35,780] [INFO] - [ 1900/ 9800] | Cost: 0.4462804 | Accuracy: 0.9300000
[2026-01-17 17:49:29,126] [INFO] - [ 2000/ 9800] | Cost: 0.4270492 | Accuracy: 0.9200000
[2026-01-17 17:50:22,283] [INFO] - [ 2100/ 9800] | Cost: 0.4177772 | Accuracy: 0.9200000
[2026-01-17 17:51:15,686] [INFO] - [ 2200/ 9800] | Cost: 0.3877059 | Accuracy: 0.9300000
[2026-01-17 17:52:09,093] [INFO] - [ 2300/ 9800] | Cost: 0.4115158 | Accuracy: 0.9100000
[2026-01-17 17:53:02,455] [INFO] - [ 2400/ 9800] | Cost: 0.3971187 | Accuracy: 0.9000000
[2026-01-17 17:53:55,630] [INFO] - [ 2500/ 9800] | Cost: 0.4041646 | Accuracy: 0.9100000
[2026-01-17 17:54:48,966] [INFO] - [ 2600/ 9800] | Cost: 0.4212058 | Accuracy: 0.8700000
[2026-01-17 17:55:42,347] [INFO] - [ 2700/ 9800] | Cost: 0.3946727 | Accuracy: 0.9200000
[2026-01-17 17:56:35,788] [INFO] - [ 2800/ 9800] | Cost: 0.4096287 | Accuracy: 0.8600000
[2026-01-17 17:57:29,163] [INFO] - [ 2900/ 9800] | Cost: 0.3876826 | Accuracy: 0.9200000
[2026-01-17 17:58:22,362] [INFO] - [ 3000/ 9800] | Cost: 0.3791899 | Accuracy: 0.9000000
[2026-01-17 17:59:15,760] [INFO] - [ 3100/ 9800] | Cost: 0.3806190 | Accuracy: 0.9600000
[2026-01-17 18:00:09,165] [INFO] - [ 3200/ 9800] | Cost: 0.3660413 | Accuracy: 0.9600000
[2026-01-17 18:01:02,567] [INFO] - [ 3300/ 9800] | Cost: 0.3534087 | Accuracy: 0.9400000
[2026-01-17 18:01:55,777] [INFO] - [ 3400/ 9800] | Cost: 0.3695883 | Accuracy: 0.9800000
[2026-01-17 18:02:49,171] [INFO] - [ 3500/ 9800] | Cost: 0.3589354 | Accuracy: 0.9700000
[2026-01-17 18:03:42,525] [INFO] - [ 3600/ 9800] | Cost: 0.3764052 | Accuracy: 0.9300000
[2026-01-17 18:04:35,909] [INFO] - [ 3700/ 9800] | Cost: 0.4128992 | Accuracy: 0.9000000
[2026-01-17 18:05:29,164] [INFO] - [ 3800/ 9800] | Cost: 0.3531494 | Accuracy: 0.9700000
[2026-01-17 18:06:22,567] [INFO] - [ 3900/ 9800] | Cost: 0.4078511 | Accuracy: 0.8600000
[2026-01-17 18:07:15,925] [INFO] - [ 4000/ 9800] | Cost: 0.3762648 | Accuracy: 0.8800000
[2026-01-17 18:08:09,320] [INFO] - [ 4100/ 9800] | Cost: 0.4131479 | Accuracy: 0.9000000
[2026-01-17 18:09:02,510] [INFO] - [ 4200/ 9800] | Cost: 0.3780976 | Accuracy: 0.8900000
[2026-01-17 18:09:52,315] [INFO] - [ 4300/ 9800] | Cost: 0.3822608 | Accuracy: 0.8700000
[2026-01-17 18:10:41,976] [INFO] - [ 4400/ 9800] | Cost: 0.3961841 | Accuracy: 0.8500000
[2026-01-17 18:11:35,329] [INFO] - [ 4500/ 9800] | Cost: 0.3636078 | Accuracy: 0.9400000
[2026-01-17 18:12:28,497] [INFO] - [ 4600/ 9800] | Cost: 0.3760571 | Accuracy: 0.9500000
[2026-01-17 18:13:21,874] [INFO] - [ 4700/ 9800] | Cost: 0.3779992 | Accuracy: 0.9300000
[2026-01-17 18:14:11,126] [INFO] - [ 4800/ 9800] | Cost: 0.3673410 | Accuracy: 0.9500000
[2026-01-17 18:14:56,929] [INFO] - [ 4900/ 9800] | Cost: 0.3499219 | Accuracy: 0.9700000
[2026-01-17 18:15:44,883] [INFO] - [ 5000/ 9800] | Cost: 0.3472165 | Accuracy: 0.9800000
[2026-01-17 18:16:38,244] [INFO] - [ 5100/ 9800] | Cost: 0.3512822 | Accuracy: 0.9600000
[2026-01-17 18:17:31,570] [INFO] - [ 5200/ 9800] | Cost: 0.3642267 | Accuracy: 0.9900000
[2026-01-17 18:18:24,963] [INFO] - [ 5300/ 9800] | Cost: 0.3530973 | Accuracy: 0.9800000
[2026-01-17 18:19:18,185] [INFO] - [ 5400/ 9800] | Cost: 0.3992702 | Accuracy: 0.9400000
[2026-01-17 18:20:11,565] [INFO] - [ 5500/ 9800] | Cost: 0.3666063 | Accuracy: 0.9400000
[2026-01-17 18:21:04,916] [INFO] - [ 5600/ 9800] | Cost: 0.3475765 | Accuracy: 0.9600000
[2026-01-17 18:21:58,313] [INFO] - [ 5700/ 9800] | Cost: 0.3779617 | Accuracy: 0.8900000
[2026-01-17 18:22:51,741] [INFO] - [ 5800/ 9800] | Cost: 0.3814804 | Accuracy: 0.9300000
[2026-01-17 18:23:44,923] [INFO] - [ 5900/ 9800] | Cost: 0.3578931 | Accuracy: 0.9100000
[2026-01-17 18:24:38,297] [INFO] - [ 6000/ 9800] | Cost: 0.3467824 | Accuracy: 0.9800000
[2026-01-17 18:25:31,691] [INFO] - [ 6100/ 9800] | Cost: 0.3801723 | Accuracy: 0.8700000
[2026-01-17 18:26:25,122] [INFO] - [ 6200/ 9800] | Cost: 0.3776590 | Accuracy: 0.8700000
[2026-01-17 18:27:18,306] [INFO] - [ 6300/ 9800] | Cost: 0.4593965 | Accuracy: 0.7900000
[2026-01-17 18:28:11,619] [INFO] - [ 6400/ 9800] | Cost: 0.3416624 | Accuracy: 0.9400000
[2026-01-17 18:29:05,060] [INFO] - [ 6500/ 9800] | Cost: 0.3633899 | Accuracy: 0.9400000
[2026-01-17 18:29:58,473] [INFO] - [ 6600/ 9800] | Cost: 0.4028715 | Accuracy: 0.9300000
[2026-01-17 18:30:51,670] [INFO] - [ 6700/ 9800] | Cost: 0.3656132 | Accuracy: 0.9700000
[2026-01-17 18:31:45,001] [INFO] - [ 6800/ 9800] | Cost: 0.3417572 | Accuracy: 0.9700000
[2026-01-17 18:32:38,368] [INFO] - [ 6900/ 9800] | Cost: 0.3736614 | Accuracy: 0.9600000
[2026-01-17 18:33:31,793] [INFO] - [ 7000/ 9800] | Cost: 0.3516995 | Accuracy: 0.9600000
[2026-01-17 18:34:25,175] [INFO] - [ 7100/ 9800] | Cost: 0.4112983 | Accuracy: 0.8800000
[2026-01-17 18:35:18,331] [INFO] - [ 7200/ 9800] | Cost: 0.3733400 | Accuracy: 0.9500000
