[2026-01-17 17:36:46,368] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:36:46,370] [INFO] - Using cuda.
[2026-01-17 17:36:46,419] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:36:46,421] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:36:49,862] [INFO] - Initiate model
[2026-01-17 17:36:49,864] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:36:49,865] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:37:30,471] [INFO] - [  100/ 4200] | Cost: 0.6918308 | Accuracy: 0.5800000
[2026-01-17 17:38:20,007] [INFO] - [  200/ 4200] | Cost: 0.6677777 | Accuracy: 0.7700000
[2026-01-17 17:39:13,404] [INFO] - [  300/ 4200] | Cost: 0.6489897 | Accuracy: 0.5400000
[2026-01-17 17:40:06,782] [INFO] - [  400/ 4200] | Cost: 0.6238328 | Accuracy: 0.9200000
[2026-01-17 17:41:00,119] [INFO] - [  500/ 4200] | Cost: 0.6080270 | Accuracy: 1.0000000
[2026-01-17 17:41:53,353] [INFO] - [  600/ 4200] | Cost: 0.5897902 | Accuracy: 0.9600000
[2026-01-17 17:42:46,782] [INFO] - [  700/ 4200] | Cost: 0.5674598 | Accuracy: 0.9300000
[2026-01-17 17:43:40,193] [INFO] - [  800/ 4200] | Cost: 0.5562486 | Accuracy: 0.8700000
[2026-01-17 17:44:33,589] [INFO] - [  900/ 4200] | Cost: 0.5395210 | Accuracy: 0.8700000
[2026-01-17 17:45:26,855] [INFO] - [ 1000/ 4200] | Cost: 0.5289479 | Accuracy: 0.8300000
[2026-01-17 17:46:20,300] [INFO] - [ 1100/ 4200] | Cost: 0.4918393 | Accuracy: 0.8800000
[2026-01-17 17:47:13,780] [INFO] - [ 1200/ 4200] | Cost: 0.4707687 | Accuracy: 0.9100000
[2026-01-17 17:48:07,204] [INFO] - [ 1300/ 4200] | Cost: 0.4426033 | Accuracy: 0.9100000
[2026-01-17 17:49:00,444] [INFO] - [ 1400/ 4200] | Cost: 0.4475116 | Accuracy: 0.9400000
[2026-01-17 17:49:53,811] [INFO] - [ 1500/ 4200] | Cost: 0.4062625 | Accuracy: 0.9500000
[2026-01-17 17:50:47,170] [INFO] - [ 1600/ 4200] | Cost: 0.3914261 | Accuracy: 0.9600000
[2026-01-17 17:51:40,530] [INFO] - [ 1700/ 4200] | Cost: 0.3844005 | Accuracy: 0.9600000
[2026-01-17 17:52:33,762] [INFO] - [ 1800/ 4200] | Cost: 0.3680948 | Accuracy: 0.9700000
[2026-01-17 17:53:27,132] [INFO] - [ 1900/ 4200] | Cost: 0.3424455 | Accuracy: 0.9700000
[2026-01-17 17:54:20,488] [INFO] - [ 2000/ 4200] | Cost: 0.3742211 | Accuracy: 0.9100000
[2026-01-17 17:55:13,830] [INFO] - [ 2100/ 4200] | Cost: 0.3878681 | Accuracy: 0.8900000
[2026-01-17 17:56:07,022] [INFO] - [ 2200/ 4200] | Cost: 0.3824719 | Accuracy: 0.9000000
[2026-01-17 17:57:00,383] [INFO] - [ 2300/ 4200] | Cost: 0.3562714 | Accuracy: 0.9400000
[2026-01-17 17:57:53,799] [INFO] - [ 2400/ 4200] | Cost: 0.3493336 | Accuracy: 0.9700000
[2026-01-17 17:58:47,141] [INFO] - [ 2500/ 4200] | Cost: 0.4036865 | Accuracy: 0.9100000
[2026-01-17 17:59:40,335] [INFO] - [ 2600/ 4200] | Cost: 0.3550648 | Accuracy: 0.9500000
[2026-01-17 18:00:33,697] [INFO] - [ 2700/ 4200] | Cost: 0.3753987 | Accuracy: 0.9100000
[2026-01-17 18:01:27,145] [INFO] - [ 2800/ 4200] | Cost: 0.3784314 | Accuracy: 0.9000000
[2026-01-17 18:02:20,502] [INFO] - [ 2900/ 4200] | Cost: 0.3376826 | Accuracy: 0.9700000
[2026-01-17 18:03:13,881] [INFO] - [ 3000/ 4200] | Cost: 0.3409406 | Accuracy: 0.9400000
[2026-01-17 18:04:07,076] [INFO] - [ 3100/ 4200] | Cost: 0.3546220 | Accuracy: 0.8900000
[2026-01-17 18:05:00,485] [INFO] - [ 3200/ 4200] | Cost: 0.3420673 | Accuracy: 0.9400000
[2026-01-17 18:05:53,865] [INFO] - [ 3300/ 4200] | Cost: 0.3479255 | Accuracy: 0.9600000
[2026-01-17 18:06:47,289] [INFO] - [ 3400/ 4200] | Cost: 0.3716332 | Accuracy: 0.9500000
[2026-01-17 18:07:40,448] [INFO] - [ 3500/ 4200] | Cost: 0.3407896 | Accuracy: 0.9700000
[2026-01-17 18:08:33,863] [INFO] - [ 3600/ 4200] | Cost: 0.3410800 | Accuracy: 0.9700000
[2026-01-17 18:09:27,206] [INFO] - [ 3700/ 4200] | Cost: 0.3416612 | Accuracy: 0.9500000
[2026-01-17 18:10:13,094] [INFO] - [ 3800/ 4200] | Cost: 0.3640307 | Accuracy: 0.9600000
[2026-01-17 18:11:06,312] [INFO] - [ 3900/ 4200] | Cost: 0.3465695 | Accuracy: 0.9800000
[2026-01-17 18:11:59,670] [INFO] - [ 4000/ 4200] | Cost: 0.3264627 | Accuracy: 0.9900000
[2026-01-17 18:12:52,995] [INFO] - [ 4100/ 4200] | Cost: 0.3738425 | Accuracy: 0.9200000
[2026-01-17 18:13:46,376] [INFO] - [ 4200/ 4200] | Cost: 0.3635983 | Accuracy: 0.9500000
[2026-01-17 18:14:05,834] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-17/16-03-43/43/saved_models/model_epoch-0.pt
[2026-01-17 18:14:05,835] [INFO] - Validation for epoch   0 | Cost: 0.3386672 | Accuracy: 0.9383333
