[2026-01-17 17:36:48,666] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:36:48,668] [INFO] - Using cuda.
[2026-01-17 17:36:48,705] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:36:48,707] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:36:52,565] [INFO] - Initiate model
[2026-01-17 17:36:52,567] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:36:52,568] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:37:33,928] [INFO] - [  100/ 4200] | Cost: 0.6967898 | Accuracy: 0.6500000
[2026-01-17 17:38:24,423] [INFO] - [  200/ 4200] | Cost: 0.6667783 | Accuracy: 0.4800000
[2026-01-17 17:39:17,838] [INFO] - [  300/ 4200] | Cost: 0.6492571 | Accuracy: 0.4400000
[2026-01-17 17:40:11,183] [INFO] - [  400/ 4200] | Cost: 0.6116458 | Accuracy: 0.9600000
[2026-01-17 17:41:04,521] [INFO] - [  500/ 4200] | Cost: 0.5832162 | Accuracy: 0.9900000
[2026-01-17 17:41:57,734] [INFO] - [  600/ 4200] | Cost: 0.5663272 | Accuracy: 0.9200000
[2026-01-17 17:42:51,131] [INFO] - [  700/ 4200] | Cost: 0.5523148 | Accuracy: 0.8700000
[2026-01-17 17:43:44,505] [INFO] - [  800/ 4200] | Cost: 0.5600535 | Accuracy: 0.7900000
[2026-01-17 17:44:37,848] [INFO] - [  900/ 4200] | Cost: 0.5364303 | Accuracy: 0.8300000
[2026-01-17 17:45:31,076] [INFO] - [ 1000/ 4200] | Cost: 0.5309522 | Accuracy: 0.7900000
[2026-01-17 17:46:24,452] [INFO] - [ 1100/ 4200] | Cost: 0.4981403 | Accuracy: 0.8700000
[2026-01-17 17:47:17,882] [INFO] - [ 1200/ 4200] | Cost: 0.4783652 | Accuracy: 0.9200000
[2026-01-17 17:48:11,230] [INFO] - [ 1300/ 4200] | Cost: 0.4578324 | Accuracy: 0.9100000
[2026-01-17 17:49:04,426] [INFO] - [ 1400/ 4200] | Cost: 0.4709487 | Accuracy: 0.9400000
[2026-01-17 17:49:57,778] [INFO] - [ 1500/ 4200] | Cost: 0.4382473 | Accuracy: 0.9500000
[2026-01-17 17:50:51,168] [INFO] - [ 1600/ 4200] | Cost: 0.4264761 | Accuracy: 0.9600000
[2026-01-17 17:51:44,560] [INFO] - [ 1700/ 4200] | Cost: 0.4125139 | Accuracy: 0.9800000
[2026-01-17 17:52:37,769] [INFO] - [ 1800/ 4200] | Cost: 0.4059835 | Accuracy: 0.9900000
[2026-01-17 17:53:31,115] [INFO] - [ 1900/ 4200] | Cost: 0.3763264 | Accuracy: 0.9700000
[2026-01-17 17:54:24,500] [INFO] - [ 2000/ 4200] | Cost: 0.3897608 | Accuracy: 0.9300000
[2026-01-17 17:55:17,841] [INFO] - [ 2100/ 4200] | Cost: 0.3922380 | Accuracy: 0.9300000
[2026-01-17 17:56:11,232] [INFO] - [ 2200/ 4200] | Cost: 0.3825651 | Accuracy: 0.9100000
[2026-01-17 17:57:04,406] [INFO] - [ 2300/ 4200] | Cost: 0.3546773 | Accuracy: 0.9400000
[2026-01-17 17:57:57,800] [INFO] - [ 2400/ 4200] | Cost: 0.3400006 | Accuracy: 0.9700000
[2026-01-17 17:58:51,143] [INFO] - [ 2500/ 4200] | Cost: 0.3908505 | Accuracy: 0.9100000
[2026-01-17 17:59:44,488] [INFO] - [ 2600/ 4200] | Cost: 0.3445285 | Accuracy: 0.9500000
[2026-01-17 18:00:37,700] [INFO] - [ 2700/ 4200] | Cost: 0.3670631 | Accuracy: 0.8900000
[2026-01-17 18:01:31,102] [INFO] - [ 2800/ 4200] | Cost: 0.3713180 | Accuracy: 0.9000000
[2026-01-17 18:02:24,472] [INFO] - [ 2900/ 4200] | Cost: 0.3297496 | Accuracy: 0.9700000
[2026-01-17 18:03:17,862] [INFO] - [ 3000/ 4200] | Cost: 0.3376896 | Accuracy: 0.9300000
[2026-01-17 18:04:11,237] [INFO] - [ 3100/ 4200] | Cost: 0.3519374 | Accuracy: 0.8900000
[2026-01-17 18:05:04,503] [INFO] - [ 3200/ 4200] | Cost: 0.3423932 | Accuracy: 0.9200000
[2026-01-17 18:05:57,953] [INFO] - [ 3300/ 4200] | Cost: 0.3468671 | Accuracy: 0.9600000
[2026-01-17 18:06:51,365] [INFO] - [ 3400/ 4200] | Cost: 0.3672524 | Accuracy: 0.9500000
[2026-01-17 18:07:44,781] [INFO] - [ 3500/ 4200] | Cost: 0.3336712 | Accuracy: 0.9800000
[2026-01-17 18:08:38,065] [INFO] - [ 3600/ 4200] | Cost: 0.3304678 | Accuracy: 0.9700000
[2026-01-17 18:09:31,143] [INFO] - [ 3700/ 4200] | Cost: 0.3302336 | Accuracy: 0.9500000
[2026-01-17 18:10:17,403] [INFO] - [ 3800/ 4200] | Cost: 0.3564224 | Accuracy: 0.9600000
[2026-01-17 18:11:10,783] [INFO] - [ 3900/ 4200] | Cost: 0.3379524 | Accuracy: 0.9800000
[2026-01-17 18:12:04,001] [INFO] - [ 4000/ 4200] | Cost: 0.3187331 | Accuracy: 0.9900000
[2026-01-17 18:12:57,348] [INFO] - [ 4100/ 4200] | Cost: 0.3645993 | Accuracy: 0.9200000
[2026-01-17 18:13:50,696] [INFO] - [ 4200/ 4200] | Cost: 0.3547203 | Accuracy: 0.9500000
[2026-01-17 18:14:09,672] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-17/16-03-43/46/saved_models/model_epoch-0.pt
[2026-01-17 18:14:09,673] [INFO] - Validation for epoch   0 | Cost: 0.3364503 | Accuracy: 0.9708333
