[2026-01-17 18:09:52,622] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 18:09:52,629] [INFO] - Using cuda.
[2026-01-17 18:09:52,674] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 18:09:52,676] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:10:04,988] [INFO] - Initiate model
[2026-01-17 18:10:05,079] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:10:05,081] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:10:58,424] [INFO] - [  100/ 4200] | Cost: 0.6829477 | Accuracy: 0.5400000
[2026-01-17 18:11:51,847] [INFO] - [  200/ 4200] | Cost: 0.6613275 | Accuracy: 0.7800000
[2026-01-17 18:12:45,264] [INFO] - [  300/ 4200] | Cost: 0.6624594 | Accuracy: 0.5500000
[2026-01-17 18:13:38,690] [INFO] - [  400/ 4200] | Cost: 0.6394165 | Accuracy: 0.6400000
[2026-01-17 18:14:22,629] [INFO] - [  500/ 4200] | Cost: 0.6388620 | Accuracy: 0.8300000
[2026-01-17 18:15:11,749] [INFO] - [  600/ 4200] | Cost: 0.6153447 | Accuracy: 0.9800000
[2026-01-17 18:16:02,153] [INFO] - [  700/ 4200] | Cost: 0.6060504 | Accuracy: 0.8700000
[2026-01-17 18:16:55,529] [INFO] - [  800/ 4200] | Cost: 0.6267636 | Accuracy: 0.7500000
[2026-01-17 18:17:48,983] [INFO] - [  900/ 4200] | Cost: 0.5691050 | Accuracy: 0.8800000
[2026-01-17 18:18:42,266] [INFO] - [ 1000/ 4200] | Cost: 0.5592760 | Accuracy: 0.8900000
[2026-01-17 18:19:35,772] [INFO] - [ 1100/ 4200] | Cost: 0.5664538 | Accuracy: 0.8500000
[2026-01-17 18:20:29,249] [INFO] - [ 1200/ 4200] | Cost: 0.5354430 | Accuracy: 0.8600000
[2026-01-17 18:21:22,722] [INFO] - [ 1300/ 4200] | Cost: 0.5020965 | Accuracy: 0.9700000
[2026-01-17 18:22:15,931] [INFO] - [ 1400/ 4200] | Cost: 0.4974886 | Accuracy: 0.9300000
[2026-01-17 18:23:09,383] [INFO] - [ 1500/ 4200] | Cost: 0.4575026 | Accuracy: 0.9600000
[2026-01-17 18:24:02,801] [INFO] - [ 1600/ 4200] | Cost: 0.4701847 | Accuracy: 0.9400000
[2026-01-17 18:24:56,194] [INFO] - [ 1700/ 4200] | Cost: 0.4512390 | Accuracy: 0.9000000
[2026-01-17 18:25:49,465] [INFO] - [ 1800/ 4200] | Cost: 0.4374143 | Accuracy: 0.8800000
[2026-01-17 18:26:42,989] [INFO] - [ 1900/ 4200] | Cost: 0.4454172 | Accuracy: 0.8900000
[2026-01-17 18:27:36,450] [INFO] - [ 2000/ 4200] | Cost: 0.4431224 | Accuracy: 0.8700000
[2026-01-17 18:28:29,917] [INFO] - [ 2100/ 4200] | Cost: 0.4427851 | Accuracy: 0.8600000
[2026-01-17 18:29:23,171] [INFO] - [ 2200/ 4200] | Cost: 0.4228235 | Accuracy: 0.8800000
[2026-01-17 18:30:16,664] [INFO] - [ 2300/ 4200] | Cost: 0.3925870 | Accuracy: 0.9300000
[2026-01-17 18:31:10,137] [INFO] - [ 2400/ 4200] | Cost: 0.4069496 | Accuracy: 0.9100000
[2026-01-17 18:32:03,612] [INFO] - [ 2500/ 4200] | Cost: 0.3951227 | Accuracy: 0.9200000
[2026-01-17 18:32:56,869] [INFO] - [ 2600/ 4200] | Cost: 0.4225621 | Accuracy: 0.8800000
[2026-01-17 18:33:50,368] [INFO] - [ 2700/ 4200] | Cost: 0.4252553 | Accuracy: 0.8800000
[2026-01-17 18:34:43,842] [INFO] - [ 2800/ 4200] | Cost: 0.4216264 | Accuracy: 0.8800000
[2026-01-17 18:35:37,298] [INFO] - [ 2900/ 4200] | Cost: 0.3926666 | Accuracy: 0.9300000
[2026-01-17 18:36:30,546] [INFO] - [ 3000/ 4200] | Cost: 0.4095114 | Accuracy: 0.9200000
[2026-01-17 18:37:24,002] [INFO] - [ 3100/ 4200] | Cost: 0.4318514 | Accuracy: 0.8600000
[2026-01-17 18:38:17,398] [INFO] - [ 3200/ 4200] | Cost: 0.4697877 | Accuracy: 0.8400000
[2026-01-17 18:39:10,792] [INFO] - [ 3300/ 4200] | Cost: 0.4439493 | Accuracy: 0.8900000
[2026-01-17 18:40:04,196] [INFO] - [ 3400/ 4200] | Cost: 0.4015264 | Accuracy: 0.9200000
