[2026-01-17 18:14:19,639] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: RMP
  pca: true
  supports_color: true

[2026-01-17 18:14:19,642] [INFO] - Using cuda.
[2026-01-17 18:14:21,166] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:14:21,169] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:14:23,789] [INFO] - Initiate model
[2026-01-17 18:14:23,791] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:14:23,792] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:15:12,956] [INFO] - [  100/ 8400] | Cost: 0.6984109 | Accuracy: 0.5100000
[2026-01-17 18:16:03,596] [INFO] - [  200/ 8400] | Cost: 0.6900205 | Accuracy: 0.5900000
[2026-01-17 18:16:56,925] [INFO] - [  300/ 8400] | Cost: 0.6910406 | Accuracy: 0.5300000
[2026-01-17 18:17:50,312] [INFO] - [  400/ 8400] | Cost: 0.6941904 | Accuracy: 0.4900000
[2026-01-17 18:18:43,512] [INFO] - [  500/ 8400] | Cost: 0.6929411 | Accuracy: 0.4600000
[2026-01-17 18:19:36,903] [INFO] - [  600/ 8400] | Cost: 0.6901358 | Accuracy: 0.5000000
[2026-01-17 18:20:30,287] [INFO] - [  700/ 8400] | Cost: 0.6986725 | Accuracy: 0.3700000
[2026-01-17 18:21:23,681] [INFO] - [  800/ 8400] | Cost: 0.6936215 | Accuracy: 0.4900000
[2026-01-17 18:22:16,862] [INFO] - [  900/ 8400] | Cost: 0.6880839 | Accuracy: 0.6700000
[2026-01-17 18:23:10,247] [INFO] - [ 1000/ 8400] | Cost: 0.6882551 | Accuracy: 0.7100000
[2026-01-17 18:24:03,633] [INFO] - [ 1100/ 8400] | Cost: 0.6876236 | Accuracy: 0.6800000
[2026-01-17 18:24:57,005] [INFO] - [ 1200/ 8400] | Cost: 0.6868863 | Accuracy: 0.7400000
[2026-01-17 18:25:50,227] [INFO] - [ 1300/ 8400] | Cost: 0.6904758 | Accuracy: 0.5000000
[2026-01-17 18:26:43,654] [INFO] - [ 1400/ 8400] | Cost: 0.6870344 | Accuracy: 0.5800000
[2026-01-17 18:27:37,064] [INFO] - [ 1500/ 8400] | Cost: 0.6846614 | Accuracy: 0.5300000
[2026-01-17 18:28:30,482] [INFO] - [ 1600/ 8400] | Cost: 0.6845970 | Accuracy: 0.5400000
[2026-01-17 18:29:23,731] [INFO] - [ 1700/ 8400] | Cost: 0.6854396 | Accuracy: 0.5200000
[2026-01-17 18:30:17,200] [INFO] - [ 1800/ 8400] | Cost: 0.6844403 | Accuracy: 0.5400000
[2026-01-17 18:31:10,630] [INFO] - [ 1900/ 8400] | Cost: 0.6890042 | Accuracy: 0.5100000
[2026-01-17 18:32:04,030] [INFO] - [ 2000/ 8400] | Cost: 0.6945765 | Accuracy: 0.4900000
[2026-01-17 18:32:57,450] [INFO] - [ 2100/ 8400] | Cost: 0.6955981 | Accuracy: 0.4600000
[2026-01-17 18:33:50,727] [INFO] - [ 2200/ 8400] | Cost: 0.6907714 | Accuracy: 0.4500000
[2026-01-17 18:34:44,220] [INFO] - [ 2300/ 8400] | Cost: 0.6866351 | Accuracy: 0.5300000
[2026-01-17 18:35:37,658] [INFO] - [ 2400/ 8400] | Cost: 0.6876035 | Accuracy: 0.5200000
[2026-01-17 18:36:31,135] [INFO] - [ 2500/ 8400] | Cost: 0.6706606 | Accuracy: 0.6000000
[2026-01-17 18:37:24,448] [INFO] - [ 2600/ 8400] | Cost: 0.6891552 | Accuracy: 0.5400000
[2026-01-17 18:38:17,886] [INFO] - [ 2700/ 8400] | Cost: 0.6925339 | Accuracy: 0.5400000
[2026-01-17 18:39:11,352] [INFO] - [ 2800/ 8400] | Cost: 0.6992855 | Accuracy: 0.5200000
[2026-01-17 18:40:04,783] [INFO] - [ 2900/ 8400] | Cost: 0.6805027 | Accuracy: 0.5600000
[2026-01-17 18:40:58,036] [INFO] - [ 3000/ 8400] | Cost: 0.6969602 | Accuracy: 0.5000000
[2026-01-17 18:41:51,512] [INFO] - [ 3100/ 8400] | Cost: 0.6880869 | Accuracy: 0.5100000
[2026-01-17 18:42:44,935] [INFO] - [ 3200/ 8400] | Cost: 0.6875648 | Accuracy: 0.5000000
[2026-01-17 18:43:38,337] [INFO] - [ 3300/ 8400] | Cost: 0.6903597 | Accuracy: 0.4900000
[2026-01-17 18:44:31,578] [INFO] - [ 3400/ 8400] | Cost: 0.6834729 | Accuracy: 0.5300000
[2026-01-17 18:45:25,037] [INFO] - [ 3500/ 8400] | Cost: 0.6748254 | Accuracy: 0.5800000
[2026-01-17 18:46:18,427] [INFO] - [ 3600/ 8400] | Cost: 0.6823511 | Accuracy: 0.5400000
[2026-01-17 18:47:11,803] [INFO] - [ 3700/ 8400] | Cost: 0.7163582 | Accuracy: 0.4400000
[2026-01-17 18:47:56,957] [INFO] - [ 3800/ 8400] | Cost: 0.6632419 | Accuracy: 0.6000000
[2026-01-17 18:48:49,223] [INFO] - [ 3900/ 8400] | Cost: 0.6894559 | Accuracy: 0.5100000
[2026-01-17 18:49:42,617] [INFO] - [ 4000/ 8400] | Cost: 0.6697437 | Accuracy: 0.5800000
[2026-01-17 18:50:35,944] [INFO] - [ 4100/ 8400] | Cost: 0.7005194 | Accuracy: 0.4400000
[2026-01-17 18:51:29,344] [INFO] - [ 4200/ 8400] | Cost: 0.6802160 | Accuracy: 0.5500000
[2026-01-17 18:52:22,547] [INFO] - [ 4300/ 8400] | Cost: 0.6847852 | Accuracy: 0.6300000
[2026-01-17 18:53:15,968] [INFO] - [ 4400/ 8400] | Cost: 0.6877211 | Accuracy: 0.5800000
[2026-01-17 18:54:09,290] [INFO] - [ 4500/ 8400] | Cost: 0.6874464 | Accuracy: 0.6000000
[2026-01-17 18:55:02,685] [INFO] - [ 4600/ 8400] | Cost: 0.6841382 | Accuracy: 0.7100000
[2026-01-17 18:55:55,854] [INFO] - [ 4700/ 8400] | Cost: 0.6819756 | Accuracy: 0.6400000
[2026-01-17 18:56:49,276] [INFO] - [ 4800/ 8400] | Cost: 0.6836730 | Accuracy: 0.5300000
[2026-01-17 18:57:42,615] [INFO] - [ 4900/ 8400] | Cost: 0.6878035 | Accuracy: 0.5000000
