[2026-01-18 03:07:45,228] [INFO] - seed: 1
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-18 03:07:45,230] [INFO] - Using cuda.
[2026-01-18 03:07:45,270] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 03:07:45,272] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 03:08:04,213] [INFO] - Initiate model
[2026-01-18 03:08:04,215] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 03:08:04,216] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 03:08:39,320] [INFO] - [  100/ 4200] | Cost: 0.7641112 | Accuracy: 0.4400000
[2026-01-18 03:09:14,252] [INFO] - [  200/ 4200] | Cost: 0.7029133 | Accuracy: 0.4100000
[2026-01-18 03:09:49,478] [INFO] - [  300/ 4200] | Cost: 0.6759914 | Accuracy: 0.6200000
[2026-01-18 03:10:24,700] [INFO] - [  400/ 4200] | Cost: 0.6475899 | Accuracy: 0.6000000
[2026-01-18 03:10:59,830] [INFO] - [  500/ 4200] | Cost: 0.6639669 | Accuracy: 0.4900000
[2026-01-18 03:11:34,962] [INFO] - [  600/ 4200] | Cost: 0.6360831 | Accuracy: 0.5400000
[2026-01-18 03:12:10,077] [INFO] - [  700/ 4200] | Cost: 0.6231825 | Accuracy: 0.6700000
[2026-01-18 03:12:45,093] [INFO] - [  800/ 4200] | Cost: 0.6104025 | Accuracy: 0.7300000
[2026-01-18 03:13:20,178] [INFO] - [  900/ 4200] | Cost: 0.5878150 | Accuracy: 0.8300000
[2026-01-18 03:13:55,218] [INFO] - [ 1000/ 4200] | Cost: 0.5536016 | Accuracy: 0.9200000
[2026-01-18 03:14:30,292] [INFO] - [ 1100/ 4200] | Cost: 0.5511525 | Accuracy: 0.9600000
