[2026-01-18 02:06:50,250] [INFO] - seed: 1
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 02:06:50,255] [INFO] - Using cuda.
[2026-01-18 02:06:50,687] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-18 02:06:50,689] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 02:06:53,871] [INFO] - Initiate model
[2026-01-18 02:06:53,924] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 02:06:53,925] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 02:07:27,495] [INFO] - [  100/10346] | Cost: 0.7535158 | Accuracy: 0.4100000
[2026-01-18 02:08:02,561] [INFO] - [  200/10346] | Cost: 0.7124476 | Accuracy: 0.4200000
[2026-01-18 02:08:37,613] [INFO] - [  300/10346] | Cost: 0.6955145 | Accuracy: 0.4400000
[2026-01-18 02:09:12,710] [INFO] - [  400/10346] | Cost: 0.6700556 | Accuracy: 0.5500000
[2026-01-18 02:09:47,707] [INFO] - [  500/10346] | Cost: 0.6780718 | Accuracy: 0.4800000
[2026-01-18 02:10:22,806] [INFO] - [  600/10346] | Cost: 0.6180500 | Accuracy: 0.6400000
[2026-01-18 02:10:57,871] [INFO] - [  700/10346] | Cost: 0.6492615 | Accuracy: 0.5100000
[2026-01-18 02:11:32,875] [INFO] - [  800/10346] | Cost: 0.6195532 | Accuracy: 0.5300000
[2026-01-18 02:12:07,707] [INFO] - [  900/10346] | Cost: 0.6042382 | Accuracy: 0.6000000
[2026-01-18 02:12:42,557] [INFO] - [ 1000/10346] | Cost: 0.5921413 | Accuracy: 0.7000000
[2026-01-18 02:13:17,451] [INFO] - [ 1100/10346] | Cost: 0.5544083 | Accuracy: 0.8900000
[2026-01-18 02:13:52,384] [INFO] - [ 1200/10346] | Cost: 0.5455763 | Accuracy: 0.9400000
[2026-01-18 02:14:27,081] [INFO] - [ 1300/10346] | Cost: 0.5313112 | Accuracy: 0.9800000
[2026-01-18 02:15:02,065] [INFO] - [ 1400/10346] | Cost: 0.5264331 | Accuracy: 0.9600000
[2026-01-18 02:15:36,912] [INFO] - [ 1500/10346] | Cost: 0.4995249 | Accuracy: 0.9800000
[2026-01-18 02:16:11,787] [INFO] - [ 1600/10346] | Cost: 0.5212595 | Accuracy: 0.9400000
[2026-01-18 02:16:46,700] [INFO] - [ 1700/10346] | Cost: 0.5284427 | Accuracy: 0.9200000
[2026-01-18 02:17:21,524] [INFO] - [ 1800/10346] | Cost: 0.4926415 | Accuracy: 0.9700000
[2026-01-18 02:17:56,333] [INFO] - [ 1900/10346] | Cost: 0.4739001 | Accuracy: 0.9600000
[2026-01-18 02:18:31,162] [INFO] - [ 2000/10346] | Cost: 0.4809461 | Accuracy: 0.9400000
[2026-01-18 02:19:06,019] [INFO] - [ 2100/10346] | Cost: 0.4433984 | Accuracy: 0.9900000
[2026-01-18 02:19:40,760] [INFO] - [ 2200/10346] | Cost: 0.4725740 | Accuracy: 0.9500000
[2026-01-18 02:20:15,721] [INFO] - [ 2300/10346] | Cost: 0.4516077 | Accuracy: 0.9500000
[2026-01-18 02:20:50,563] [INFO] - [ 2400/10346] | Cost: 0.4493246 | Accuracy: 0.9600000
[2026-01-18 02:21:25,263] [INFO] - [ 2500/10346] | Cost: 0.4376572 | Accuracy: 0.9700000
[2026-01-18 02:22:00,167] [INFO] - [ 2600/10346] | Cost: 0.4284639 | Accuracy: 0.9900000
[2026-01-18 02:22:35,078] [INFO] - [ 2700/10346] | Cost: 0.4403250 | Accuracy: 0.9800000
[2026-01-18 02:23:09,977] [INFO] - [ 2800/10346] | Cost: 0.4373930 | Accuracy: 0.9800000
[2026-01-18 02:23:44,712] [INFO] - [ 2900/10346] | Cost: 0.4356931 | Accuracy: 1.0000000
[2026-01-18 02:24:19,656] [INFO] - [ 3000/10346] | Cost: 0.4265989 | Accuracy: 0.9900000
[2026-01-18 02:24:54,574] [INFO] - [ 3100/10346] | Cost: 0.4585863 | Accuracy: 0.9600000
[2026-01-18 02:25:29,499] [INFO] - [ 3200/10346] | Cost: 0.4389914 | Accuracy: 0.9900000
[2026-01-18 02:26:04,417] [INFO] - [ 3300/10346] | Cost: 0.4420351 | Accuracy: 0.9900000
[2026-01-18 02:26:39,249] [INFO] - [ 3400/10346] | Cost: 0.4448355 | Accuracy: 0.9600000
[2026-01-18 02:27:14,258] [INFO] - [ 3500/10346] | Cost: 0.4298744 | Accuracy: 0.9900000
[2026-01-18 02:27:49,160] [INFO] - [ 3600/10346] | Cost: 0.4319733 | Accuracy: 0.9900000
[2026-01-18 02:28:24,054] [INFO] - [ 3700/10346] | Cost: 0.4296991 | Accuracy: 0.9900000
[2026-01-18 02:28:58,840] [INFO] - [ 3800/10346] | Cost: 0.4285419 | Accuracy: 0.9800000
[2026-01-18 02:29:33,822] [INFO] - [ 3900/10346] | Cost: 0.4446693 | Accuracy: 0.9600000
[2026-01-18 02:30:08,775] [INFO] - [ 4000/10346] | Cost: 0.4447391 | Accuracy: 0.9600000
[2026-01-18 02:30:43,564] [INFO] - [ 4100/10346] | Cost: 0.4208304 | Accuracy: 0.9800000
[2026-01-18 02:31:18,480] [INFO] - [ 4200/10346] | Cost: 0.4332384 | Accuracy: 0.9800000
[2026-01-18 02:31:53,381] [INFO] - [ 4300/10346] | Cost: 0.4251066 | Accuracy: 0.9700000
[2026-01-18 02:32:28,396] [INFO] - [ 4400/10346] | Cost: 0.4229531 | Accuracy: 0.9900000
[2026-01-18 02:33:03,224] [INFO] - [ 4500/10346] | Cost: 0.4316911 | Accuracy: 0.9900000
[2026-01-18 02:33:38,170] [INFO] - [ 4600/10346] | Cost: 0.4427839 | Accuracy: 0.9900000
[2026-01-18 02:34:13,094] [INFO] - [ 4700/10346] | Cost: 0.4279523 | Accuracy: 0.9900000
[2026-01-18 02:34:48,083] [INFO] - [ 4800/10346] | Cost: 0.4409524 | Accuracy: 0.9700000
[2026-01-18 02:35:23,029] [INFO] - [ 4900/10346] | Cost: 0.4331166 | Accuracy: 0.9900000
[2026-01-18 02:35:57,830] [INFO] - [ 5000/10346] | Cost: 0.4251659 | Accuracy: 0.9900000
[2026-01-18 02:36:32,789] [INFO] - [ 5100/10346] | Cost: 0.4245266 | Accuracy: 0.9900000
[2026-01-18 02:37:07,729] [INFO] - [ 5200/10346] | Cost: 0.4309598 | Accuracy: 0.9900000
[2026-01-18 02:37:42,710] [INFO] - [ 5300/10346] | Cost: 0.4185078 | Accuracy: 0.9700000
[2026-01-18 02:38:17,677] [INFO] - [ 5400/10346] | Cost: 0.4199814 | Accuracy: 0.9700000
[2026-01-18 02:38:52,452] [INFO] - [ 5500/10346] | Cost: 0.4293134 | Accuracy: 0.9900000
[2026-01-18 02:39:27,405] [INFO] - [ 5600/10346] | Cost: 0.4127586 | Accuracy: 0.9900000
[2026-01-18 02:40:02,386] [INFO] - [ 5700/10346] | Cost: 0.4483456 | Accuracy: 0.9700000
[2026-01-18 02:40:37,330] [INFO] - [ 5800/10346] | Cost: 0.4224552 | Accuracy: 0.9500000
[2026-01-18 02:41:12,080] [INFO] - [ 5900/10346] | Cost: 0.4280571 | Accuracy: 0.9600000
[2026-01-18 02:41:47,037] [INFO] - [ 6000/10346] | Cost: 0.4406460 | Accuracy: 0.9600000
[2026-01-18 02:42:22,000] [INFO] - [ 6100/10346] | Cost: 0.4130248 | Accuracy: 0.9900000
[2026-01-18 02:42:56,990] [INFO] - [ 6200/10346] | Cost: 0.4201383 | Accuracy: 1.0000000
[2026-01-18 02:43:31,731] [INFO] - [ 6300/10346] | Cost: 0.4211795 | Accuracy: 1.0000000
[2026-01-18 02:44:06,662] [INFO] - [ 6400/10346] | Cost: 0.4186543 | Accuracy: 0.9900000
[2026-01-18 02:44:41,611] [INFO] - [ 6500/10346] | Cost: 0.4230959 | Accuracy: 1.0000000
[2026-01-18 02:45:16,605] [INFO] - [ 6600/10346] | Cost: 0.4245691 | Accuracy: 1.0000000
[2026-01-18 02:45:51,360] [INFO] - [ 6700/10346] | Cost: 0.4250000 | Accuracy: 1.0000000
