[2026-01-18 04:28:45,151] [INFO] - seed: 1
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:28:45,156] [INFO] - Using cuda.
[2026-01-18 04:28:46,726] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:28:46,734] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:28:52,979] [INFO] - Initiate model
[2026-01-18 04:28:53,063] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:28:53,064] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:29:28,359] [INFO] - [  100/ 8400] | Cost: 0.6976216 | Accuracy: 0.4500000
[2026-01-18 04:30:02,680] [INFO] - [  200/ 8400] | Cost: 0.7162467 | Accuracy: 0.4200000
[2026-01-18 04:30:23,472] [INFO] - [  300/ 8400] | Cost: 0.6884382 | Accuracy: 0.5300000
[2026-01-18 04:30:53,605] [INFO] - [  400/ 8400] | Cost: 0.6916315 | Accuracy: 0.4700000
[2026-01-18 04:31:28,392] [INFO] - [  500/ 8400] | Cost: 0.6751658 | Accuracy: 0.5700000
[2026-01-18 04:32:03,383] [INFO] - [  600/ 8400] | Cost: 0.6865185 | Accuracy: 0.5200000
[2026-01-18 04:32:38,396] [INFO] - [  700/ 8400] | Cost: 0.6576331 | Accuracy: 0.6100000
[2026-01-18 04:33:13,500] [INFO] - [  800/ 8400] | Cost: 0.6617790 | Accuracy: 0.6400000
[2026-01-18 04:33:48,362] [INFO] - [  900/ 8400] | Cost: 0.6500288 | Accuracy: 0.6500000
[2026-01-18 04:34:23,410] [INFO] - [ 1000/ 8400] | Cost: 0.6537585 | Accuracy: 0.7300000
[2026-01-18 04:34:58,475] [INFO] - [ 1100/ 8400] | Cost: 0.6568633 | Accuracy: 0.6500000
[2026-01-18 04:35:33,600] [INFO] - [ 1200/ 8400] | Cost: 0.6503770 | Accuracy: 0.6700000
[2026-01-18 04:36:08,457] [INFO] - [ 1300/ 8400] | Cost: 0.6586258 | Accuracy: 0.6900000
