[2026-01-18 04:28:43,584] [INFO] - seed: 1
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: RMP
  pca: true
  supports_color: true

[2026-01-18 04:28:43,586] [INFO] - Using cuda.
[2026-01-18 04:28:45,171] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:28:45,173] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:28:51,126] [INFO] - Initiate model
[2026-01-18 04:28:51,128] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:28:51,129] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:29:26,070] [INFO] - [  100/ 8400] | Cost: 0.7023034 | Accuracy: 0.4900000
[2026-01-18 04:30:00,924] [INFO] - [  200/ 8400] | Cost: 0.6925442 | Accuracy: 0.5600000
[2026-01-18 04:30:22,540] [INFO] - [  300/ 8400] | Cost: 0.6938603 | Accuracy: 0.4600000
[2026-01-18 04:30:51,585] [INFO] - [  400/ 8400] | Cost: 0.6910280 | Accuracy: 0.5500000
[2026-01-18 04:31:26,404] [INFO] - [  500/ 8400] | Cost: 0.6932605 | Accuracy: 0.4400000
[2026-01-18 04:32:01,449] [INFO] - [  600/ 8400] | Cost: 0.6914819 | Accuracy: 0.4900000
[2026-01-18 04:32:36,517] [INFO] - [  700/ 8400] | Cost: 0.6890137 | Accuracy: 0.5900000
[2026-01-18 04:33:11,686] [INFO] - [  800/ 8400] | Cost: 0.6905363 | Accuracy: 0.4900000
[2026-01-18 04:33:46,554] [INFO] - [  900/ 8400] | Cost: 0.6888325 | Accuracy: 0.4900000
[2026-01-18 04:34:21,689] [INFO] - [ 1000/ 8400] | Cost: 0.6885207 | Accuracy: 0.5500000
[2026-01-18 04:34:56,806] [INFO] - [ 1100/ 8400] | Cost: 0.6916571 | Accuracy: 0.5500000
[2026-01-18 04:35:31,747] [INFO] - [ 1200/ 8400] | Cost: 0.6841121 | Accuracy: 0.5600000
[2026-01-18 04:36:07,039] [INFO] - [ 1300/ 8400] | Cost: 0.6859947 | Accuracy: 0.5400000
[2026-01-18 04:36:42,212] [INFO] - [ 1400/ 8400] | Cost: 0.6850032 | Accuracy: 0.5400000
[2026-01-18 04:37:17,435] [INFO] - [ 1500/ 8400] | Cost: 0.6891668 | Accuracy: 0.5400000
[2026-01-18 04:37:52,321] [INFO] - [ 1600/ 8400] | Cost: 0.7179558 | Accuracy: 0.4600000
[2026-01-18 04:38:27,534] [INFO] - [ 1700/ 8400] | Cost: 0.6965057 | Accuracy: 0.5100000
[2026-01-18 04:39:02,697] [INFO] - [ 1800/ 8400] | Cost: 0.6999316 | Accuracy: 0.4600000
[2026-01-18 04:39:37,829] [INFO] - [ 1900/ 8400] | Cost: 0.6855592 | Accuracy: 0.5200000
[2026-01-18 04:40:13,119] [INFO] - [ 2000/ 8400] | Cost: 0.6870171 | Accuracy: 0.5900000
[2026-01-18 04:40:48,017] [INFO] - [ 2100/ 8400] | Cost: 0.6778316 | Accuracy: 0.6000000
[2026-01-18 04:41:23,186] [INFO] - [ 2200/ 8400] | Cost: 0.6906332 | Accuracy: 0.5100000
[2026-01-18 04:41:58,361] [INFO] - [ 2300/ 8400] | Cost: 0.7189488 | Accuracy: 0.4000000
[2026-01-18 04:42:33,559] [INFO] - [ 2400/ 8400] | Cost: 0.6793181 | Accuracy: 0.5600000
[2026-01-18 04:43:08,432] [INFO] - [ 2500/ 8400] | Cost: 0.6930605 | Accuracy: 0.5000000
[2026-01-18 04:43:43,566] [INFO] - [ 2600/ 8400] | Cost: 0.6891362 | Accuracy: 0.5100000
[2026-01-18 04:44:18,635] [INFO] - [ 2700/ 8400] | Cost: 0.6921104 | Accuracy: 0.4800000
[2026-01-18 04:44:53,749] [INFO] - [ 2800/ 8400] | Cost: 0.6868777 | Accuracy: 0.5200000
[2026-01-18 04:45:28,724] [INFO] - [ 2900/ 8400] | Cost: 0.6893494 | Accuracy: 0.6000000
[2026-01-18 04:46:00,632] [INFO] - [ 3000/ 8400] | Cost: 0.6888093 | Accuracy: 0.4600000
[2026-01-18 04:46:34,636] [INFO] - [ 3100/ 8400] | Cost: 0.6899022 | Accuracy: 0.5000000
[2026-01-18 04:47:09,763] [INFO] - [ 3200/ 8400] | Cost: 0.6965935 | Accuracy: 0.4400000
[2026-01-18 04:47:44,955] [INFO] - [ 3300/ 8400] | Cost: 0.6837481 | Accuracy: 0.5100000
[2026-01-18 04:48:19,794] [INFO] - [ 3400/ 8400] | Cost: 0.6858336 | Accuracy: 0.5100000
[2026-01-18 04:48:54,968] [INFO] - [ 3500/ 8400] | Cost: 0.6805508 | Accuracy: 0.6900000
[2026-01-18 04:49:30,122] [INFO] - [ 3600/ 8400] | Cost: 0.6875444 | Accuracy: 0.5300000
[2026-01-18 04:50:05,408] [INFO] - [ 3700/ 8400] | Cost: 0.6955177 | Accuracy: 0.4400000
[2026-01-18 04:50:40,283] [INFO] - [ 3800/ 8400] | Cost: 0.6836435 | Accuracy: 0.4900000
[2026-01-18 04:51:15,492] [INFO] - [ 3900/ 8400] | Cost: 0.6811171 | Accuracy: 0.6100000
[2026-01-18 04:51:50,696] [INFO] - [ 4000/ 8400] | Cost: 0.6878452 | Accuracy: 0.5500000
[2026-01-18 04:52:25,923] [INFO] - [ 4100/ 8400] | Cost: 0.6853408 | Accuracy: 0.6800000
[2026-01-18 04:53:00,858] [INFO] - [ 4200/ 8400] | Cost: 0.6838744 | Accuracy: 0.6800000
[2026-01-18 04:53:36,095] [INFO] - [ 4300/ 8400] | Cost: 0.6854908 | Accuracy: 0.6600000
[2026-01-18 04:54:11,261] [INFO] - [ 4400/ 8400] | Cost: 0.6850322 | Accuracy: 0.6800000
[2026-01-18 04:54:46,365] [INFO] - [ 4500/ 8400] | Cost: 0.6866530 | Accuracy: 0.6100000
[2026-01-18 04:55:21,551] [INFO] - [ 4600/ 8400] | Cost: 0.6835130 | Accuracy: 0.6700000
[2026-01-18 04:55:56,485] [INFO] - [ 4700/ 8400] | Cost: 0.6870769 | Accuracy: 0.6800000
[2026-01-18 04:56:31,508] [INFO] - [ 4800/ 8400] | Cost: 0.6839162 | Accuracy: 0.6500000
[2026-01-18 04:57:05,151] [INFO] - [ 4900/ 8400] | Cost: 0.6898059 | Accuracy: 0.5000000
[2026-01-18 04:57:39,655] [INFO] - [ 5000/ 8400] | Cost: 0.6887327 | Accuracy: 0.6200000
[2026-01-18 04:58:14,516] [INFO] - [ 5100/ 8400] | Cost: 0.6866078 | Accuracy: 0.5600000
[2026-01-18 04:58:49,541] [INFO] - [ 5200/ 8400] | Cost: 0.6801798 | Accuracy: 0.5400000
[2026-01-18 04:59:24,574] [INFO] - [ 5300/ 8400] | Cost: 0.6879433 | Accuracy: 0.5200000
[2026-01-18 04:59:59,623] [INFO] - [ 5400/ 8400] | Cost: 0.6694772 | Accuracy: 0.5900000
[2026-01-18 05:00:34,484] [INFO] - [ 5500/ 8400] | Cost: 0.7192227 | Accuracy: 0.4500000
[2026-01-18 05:01:09,504] [INFO] - [ 5600/ 8400] | Cost: 0.6887201 | Accuracy: 0.5300000
[2026-01-18 05:01:44,532] [INFO] - [ 5700/ 8400] | Cost: 0.6966848 | Accuracy: 0.5000000
[2026-01-18 05:02:19,554] [INFO] - [ 5800/ 8400] | Cost: 0.6927394 | Accuracy: 0.4600000
[2026-01-18 05:02:54,500] [INFO] - [ 5900/ 8400] | Cost: 0.6846308 | Accuracy: 0.6600000
[2026-01-18 05:03:29,505] [INFO] - [ 6000/ 8400] | Cost: 0.6787398 | Accuracy: 0.6000000
[2026-01-18 05:04:04,576] [INFO] - [ 6100/ 8400] | Cost: 0.6867328 | Accuracy: 0.4900000
[2026-01-18 05:04:39,657] [INFO] - [ 6200/ 8400] | Cost: 0.6559956 | Accuracy: 0.6600000
[2026-01-18 05:05:14,770] [INFO] - [ 6300/ 8400] | Cost: 0.7079602 | Accuracy: 0.4800000
[2026-01-18 05:05:49,689] [INFO] - [ 6400/ 8400] | Cost: 0.7103100 | Accuracy: 0.4800000
[2026-01-18 05:06:24,734] [INFO] - [ 6500/ 8400] | Cost: 0.7179554 | Accuracy: 0.4400000
[2026-01-18 05:06:59,764] [INFO] - [ 6600/ 8400] | Cost: 0.6798802 | Accuracy: 0.5500000
[2026-01-18 05:07:34,814] [INFO] - [ 6700/ 8400] | Cost: 0.6995845 | Accuracy: 0.4200000
[2026-01-18 05:08:07,838] [INFO] - [ 6800/ 8400] | Cost: 0.6811171 | Accuracy: 0.7100000
[2026-01-18 05:08:42,677] [INFO] - [ 6900/ 8400] | Cost: 0.6960307 | Accuracy: 0.4200000
[2026-01-18 05:09:17,777] [INFO] - [ 7000/ 8400] | Cost: 0.6828142 | Accuracy: 0.5400000
[2026-01-18 05:09:52,496] [INFO] - [ 7100/ 8400] | Cost: 0.6872973 | Accuracy: 0.4900000
[2026-01-18 05:10:25,382] [INFO] - [ 7200/ 8400] | Cost: 0.6891679 | Accuracy: 0.4800000
[2026-01-18 05:10:59,218] [INFO] - [ 7300/ 8400] | Cost: 0.6894116 | Accuracy: 0.4800000
