[2026-01-18 04:28:44,569] [INFO] - seed: 1
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-18 04:28:44,571] [INFO] - Using cuda.
[2026-01-18 04:28:46,178] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:28:46,181] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:28:48,863] [INFO] - Initiate model
[2026-01-18 04:28:48,865] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:28:48,866] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:29:23,408] [INFO] - [  100/ 8400] | Cost: 0.7225533 | Accuracy: 0.3700000
[2026-01-18 04:29:58,488] [INFO] - [  200/ 8400] | Cost: 0.7063125 | Accuracy: 0.3700000
[2026-01-18 04:30:21,290] [INFO] - [  300/ 8400] | Cost: 0.7038170 | Accuracy: 0.4600000
[2026-01-18 04:30:48,344] [INFO] - [  400/ 8400] | Cost: 0.6791278 | Accuracy: 0.6000000
[2026-01-18 04:31:23,503] [INFO] - [  500/ 8400] | Cost: 0.6781021 | Accuracy: 0.6400000
[2026-01-18 04:31:58,587] [INFO] - [  600/ 8400] | Cost: 0.6770381 | Accuracy: 0.5500000
[2026-01-18 04:32:33,735] [INFO] - [  700/ 8400] | Cost: 0.6567244 | Accuracy: 0.6400000
[2026-01-18 04:33:08,960] [INFO] - [  800/ 8400] | Cost: 0.6493456 | Accuracy: 0.6700000
[2026-01-18 04:33:44,152] [INFO] - [  900/ 8400] | Cost: 0.6408713 | Accuracy: 0.6600000
[2026-01-18 04:34:19,055] [INFO] - [ 1000/ 8400] | Cost: 0.6406385 | Accuracy: 0.6700000
[2026-01-18 04:34:54,102] [INFO] - [ 1100/ 8400] | Cost: 0.6468857 | Accuracy: 0.6300000
[2026-01-18 04:35:29,260] [INFO] - [ 1200/ 8400] | Cost: 0.6291651 | Accuracy: 0.6700000
[2026-01-18 04:36:04,347] [INFO] - [ 1300/ 8400] | Cost: 0.6327256 | Accuracy: 0.6900000
[2026-01-18 04:36:39,377] [INFO] - [ 1400/ 8400] | Cost: 0.6228953 | Accuracy: 0.7000000
[2026-01-18 04:37:14,401] [INFO] - [ 1500/ 8400] | Cost: 0.6280330 | Accuracy: 0.6900000
[2026-01-18 04:37:49,335] [INFO] - [ 1600/ 8400] | Cost: 0.6257321 | Accuracy: 0.7000000
[2026-01-18 04:38:24,434] [INFO] - [ 1700/ 8400] | Cost: 0.6471885 | Accuracy: 0.6400000
[2026-01-18 04:38:59,515] [INFO] - [ 1800/ 8400] | Cost: 0.6055933 | Accuracy: 0.7400000
