[2026-01-18 04:30:18,978] [INFO] - seed: 1
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-18 04:30:18,984] [INFO] - Using cuda.
[2026-01-18 04:30:20,566] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:30:20,569] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:30:24,307] [INFO] - Initiate model
[2026-01-18 04:30:24,369] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:30:24,370] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:30:55,588] [INFO] - [  100/ 8400] | Cost: 0.7215383 | Accuracy: 0.3800000
[2026-01-18 04:31:30,706] [INFO] - [  200/ 8400] | Cost: 0.7020504 | Accuracy: 0.4300000
[2026-01-18 04:32:05,809] [INFO] - [  300/ 8400] | Cost: 0.7012112 | Accuracy: 0.4600000
[2026-01-18 04:32:40,892] [INFO] - [  400/ 8400] | Cost: 0.6836881 | Accuracy: 0.5900000
[2026-01-18 04:33:16,092] [INFO] - [  500/ 8400] | Cost: 0.6763413 | Accuracy: 0.6200000
[2026-01-18 04:33:51,262] [INFO] - [  600/ 8400] | Cost: 0.6721371 | Accuracy: 0.5800000
[2026-01-18 04:34:26,147] [INFO] - [  700/ 8400] | Cost: 0.6538134 | Accuracy: 0.6700000
[2026-01-18 04:35:01,308] [INFO] - [  800/ 8400] | Cost: 0.6431274 | Accuracy: 0.7600000
[2026-01-18 04:35:36,403] [INFO] - [  900/ 8400] | Cost: 0.6319335 | Accuracy: 0.7100000
[2026-01-18 04:36:11,459] [INFO] - [ 1000/ 8400] | Cost: 0.6297218 | Accuracy: 0.6900000
[2026-01-18 04:36:46,495] [INFO] - [ 1100/ 8400] | Cost: 0.6428670 | Accuracy: 0.6300000
[2026-01-18 04:37:21,412] [INFO] - [ 1200/ 8400] | Cost: 0.6216043 | Accuracy: 0.6800000
[2026-01-18 04:37:56,550] [INFO] - [ 1300/ 8400] | Cost: 0.6175881 | Accuracy: 0.7000000
[2026-01-18 04:38:31,647] [INFO] - [ 1400/ 8400] | Cost: 0.6229957 | Accuracy: 0.6600000
[2026-01-18 04:39:06,698] [INFO] - [ 1500/ 8400] | Cost: 0.6341829 | Accuracy: 0.6600000
[2026-01-18 04:39:41,758] [INFO] - [ 1600/ 8400] | Cost: 0.6283049 | Accuracy: 0.6500000
[2026-01-18 04:40:16,937] [INFO] - [ 1700/ 8400] | Cost: 0.6462201 | Accuracy: 0.6200000
[2026-01-18 04:40:51,924] [INFO] - [ 1800/ 8400] | Cost: 0.5944243 | Accuracy: 0.7100000
[2026-01-18 04:41:27,004] [INFO] - [ 1900/ 8400] | Cost: 0.5941614 | Accuracy: 0.7000000
[2026-01-18 04:42:02,129] [INFO] - [ 2000/ 8400] | Cost: 0.5690368 | Accuracy: 0.7800000
[2026-01-18 04:42:37,274] [INFO] - [ 2100/ 8400] | Cost: 0.5911984 | Accuracy: 0.6900000
[2026-01-18 04:43:12,376] [INFO] - [ 2200/ 8400] | Cost: 0.6147322 | Accuracy: 0.7100000
[2026-01-18 04:43:47,317] [INFO] - [ 2300/ 8400] | Cost: 0.6030466 | Accuracy: 0.7200000
[2026-01-18 04:44:22,373] [INFO] - [ 2400/ 8400] | Cost: 0.6272432 | Accuracy: 0.6000000
[2026-01-18 04:44:57,452] [INFO] - [ 2500/ 8400] | Cost: 0.6052886 | Accuracy: 0.6600000
[2026-01-18 04:45:32,253] [INFO] - [ 2600/ 8400] | Cost: 0.5995238 | Accuracy: 0.7100000
[2026-01-18 04:46:04,184] [INFO] - [ 2700/ 8400] | Cost: 0.6190741 | Accuracy: 0.6900000
[2026-01-18 04:46:38,546] [INFO] - [ 2800/ 8400] | Cost: 0.5638083 | Accuracy: 0.7200000
[2026-01-18 04:47:13,452] [INFO] - [ 2900/ 8400] | Cost: 0.6046141 | Accuracy: 0.7000000
[2026-01-18 04:47:48,563] [INFO] - [ 3000/ 8400] | Cost: 0.5579258 | Accuracy: 0.7500000
[2026-01-18 04:48:23,626] [INFO] - [ 3100/ 8400] | Cost: 0.6187738 | Accuracy: 0.6700000
[2026-01-18 04:48:58,719] [INFO] - [ 3200/ 8400] | Cost: 0.6400408 | Accuracy: 0.5900000
[2026-01-18 04:49:33,788] [INFO] - [ 3300/ 8400] | Cost: 0.5303700 | Accuracy: 0.7600000
[2026-01-18 04:50:08,816] [INFO] - [ 3400/ 8400] | Cost: 0.5913398 | Accuracy: 0.7200000
[2026-01-18 04:50:43,900] [INFO] - [ 3500/ 8400] | Cost: 0.5757074 | Accuracy: 0.7200000
[2026-01-18 04:51:19,016] [INFO] - [ 3600/ 8400] | Cost: 0.6108466 | Accuracy: 0.6300000
[2026-01-18 04:51:54,103] [INFO] - [ 3700/ 8400] | Cost: 0.6183679 | Accuracy: 0.6700000
[2026-01-18 04:52:29,270] [INFO] - [ 3800/ 8400] | Cost: 0.5617998 | Accuracy: 0.7000000
[2026-01-18 04:53:04,389] [INFO] - [ 3900/ 8400] | Cost: 0.5514153 | Accuracy: 0.7400000
[2026-01-18 04:53:39,376] [INFO] - [ 4000/ 8400] | Cost: 0.6075230 | Accuracy: 0.6800000
[2026-01-18 04:54:14,487] [INFO] - [ 4100/ 8400] | Cost: 0.5580359 | Accuracy: 0.7400000
[2026-01-18 04:54:49,900] [INFO] - [ 4200/ 8400] | Cost: 0.5507865 | Accuracy: 0.7600000
[2026-01-18 04:55:24,984] [INFO] - [ 4300/ 8400] | Cost: 0.6025949 | Accuracy: 0.6900000
[2026-01-18 04:56:00,139] [INFO] - [ 4400/ 8400] | Cost: 0.5545532 | Accuracy: 0.7600000
[2026-01-18 04:56:35,042] [INFO] - [ 4500/ 8400] | Cost: 0.5919070 | Accuracy: 0.7000000
[2026-01-18 04:57:08,336] [INFO] - [ 4600/ 8400] | Cost: 0.5819789 | Accuracy: 0.6900000
[2026-01-18 04:57:43,433] [INFO] - [ 4700/ 8400] | Cost: 0.6208968 | Accuracy: 0.6500000
[2026-01-18 04:58:18,535] [INFO] - [ 4800/ 8400] | Cost: 0.5810105 | Accuracy: 0.7000000
[2026-01-18 04:58:53,653] [INFO] - [ 4900/ 8400] | Cost: 0.6139102 | Accuracy: 0.6900000
[2026-01-18 04:59:28,839] [INFO] - [ 5000/ 8400] | Cost: 0.6175255 | Accuracy: 0.6700000
[2026-01-18 05:00:03,807] [INFO] - [ 5100/ 8400] | Cost: 0.6355026 | Accuracy: 0.6500000
[2026-01-18 05:00:38,990] [INFO] - [ 5200/ 8400] | Cost: 0.5678607 | Accuracy: 0.7300000
[2026-01-18 05:01:14,164] [INFO] - [ 5300/ 8400] | Cost: 0.5970975 | Accuracy: 0.6900000
[2026-01-18 05:01:49,303] [INFO] - [ 5400/ 8400] | Cost: 0.6132503 | Accuracy: 0.6600000
[2026-01-18 05:02:24,418] [INFO] - [ 5500/ 8400] | Cost: 0.5345410 | Accuracy: 0.7500000
[2026-01-18 05:02:59,429] [INFO] - [ 5600/ 8400] | Cost: 0.6007217 | Accuracy: 0.7000000
[2026-01-18 05:03:34,533] [INFO] - [ 5700/ 8400] | Cost: 0.5898356 | Accuracy: 0.6800000
[2026-01-18 05:04:09,699] [INFO] - [ 5800/ 8400] | Cost: 0.5640975 | Accuracy: 0.7300000
[2026-01-18 05:04:44,859] [INFO] - [ 5900/ 8400] | Cost: 0.6102360 | Accuracy: 0.6500000
[2026-01-18 05:05:19,974] [INFO] - [ 6000/ 8400] | Cost: 0.5339187 | Accuracy: 0.7500000
[2026-01-18 05:05:55,122] [INFO] - [ 6100/ 8400] | Cost: 0.5557691 | Accuracy: 0.7700000
[2026-01-18 05:06:30,083] [INFO] - [ 6200/ 8400] | Cost: 0.6322226 | Accuracy: 0.6600000
[2026-01-18 05:07:05,207] [INFO] - [ 6300/ 8400] | Cost: 0.5785593 | Accuracy: 0.7700000
[2026-01-18 05:07:40,377] [INFO] - [ 6400/ 8400] | Cost: 0.5931024 | Accuracy: 0.6700000
[2026-01-18 05:08:13,311] [INFO] - [ 6500/ 8400] | Cost: 0.5915469 | Accuracy: 0.7100000
[2026-01-18 05:08:48,488] [INFO] - [ 6600/ 8400] | Cost: 0.5751970 | Accuracy: 0.7000000
[2026-01-18 05:09:23,480] [INFO] - [ 6700/ 8400] | Cost: 0.6005937 | Accuracy: 0.6900000
[2026-01-18 05:09:58,135] [INFO] - [ 6800/ 8400] | Cost: 0.5492164 | Accuracy: 0.7000000
[2026-01-18 05:10:30,800] [INFO] - [ 6900/ 8400] | Cost: 0.5751100 | Accuracy: 0.7000000
[2026-01-18 05:11:05,197] [INFO] - [ 7000/ 8400] | Cost: 0.6109042 | Accuracy: 0.6900000
[2026-01-18 05:11:40,302] [INFO] - [ 7100/ 8400] | Cost: 0.5518342 | Accuracy: 0.7400000
[2026-01-18 05:12:15,434] [INFO] - [ 7200/ 8400] | Cost: 0.5601049 | Accuracy: 0.7500000
[2026-01-18 05:12:49,462] [INFO] - [ 7300/ 8400] | Cost: 0.5786651 | Accuracy: 0.7200000
