[2026-01-18 04:30:24,144] [INFO] - seed: 1
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:30:24,149] [INFO] - Using cuda.
[2026-01-18 04:30:25,703] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:30:25,706] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:30:30,536] [INFO] - Initiate model
[2026-01-18 04:30:30,598] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:30:30,599] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:31:04,649] [INFO] - [  100/ 8400] | Cost: 0.6978719 | Accuracy: 0.4500000
[2026-01-18 04:31:39,646] [INFO] - [  200/ 8400] | Cost: 0.7165440 | Accuracy: 0.3900000
[2026-01-18 04:32:14,648] [INFO] - [  300/ 8400] | Cost: 0.6887911 | Accuracy: 0.5300000
[2026-01-18 04:32:49,729] [INFO] - [  400/ 8400] | Cost: 0.6918390 | Accuracy: 0.4700000
[2026-01-18 04:33:24,591] [INFO] - [  500/ 8400] | Cost: 0.6756911 | Accuracy: 0.5600000
[2026-01-18 04:33:59,638] [INFO] - [  600/ 8400] | Cost: 0.6865942 | Accuracy: 0.5200000
[2026-01-18 04:34:34,659] [INFO] - [  700/ 8400] | Cost: 0.6583055 | Accuracy: 0.6100000
[2026-01-18 04:35:09,767] [INFO] - [  800/ 8400] | Cost: 0.6621276 | Accuracy: 0.6600000
[2026-01-18 04:35:44,600] [INFO] - [  900/ 8400] | Cost: 0.6502830 | Accuracy: 0.6700000
[2026-01-18 04:36:19,626] [INFO] - [ 1000/ 8400] | Cost: 0.6543959 | Accuracy: 0.7200000
[2026-01-18 04:36:54,622] [INFO] - [ 1100/ 8400] | Cost: 0.6568879 | Accuracy: 0.6500000
[2026-01-18 04:37:29,670] [INFO] - [ 1200/ 8400] | Cost: 0.6505911 | Accuracy: 0.6800000
[2026-01-18 04:38:04,540] [INFO] - [ 1300/ 8400] | Cost: 0.6587627 | Accuracy: 0.6900000
[2026-01-18 04:38:39,540] [INFO] - [ 1400/ 8400] | Cost: 0.6417578 | Accuracy: 0.6600000
[2026-01-18 04:39:14,488] [INFO] - [ 1500/ 8400] | Cost: 0.6595178 | Accuracy: 0.6100000
[2026-01-18 04:39:49,749] [INFO] - [ 1600/ 8400] | Cost: 0.6732354 | Accuracy: 0.5800000
[2026-01-18 04:40:24,645] [INFO] - [ 1700/ 8400] | Cost: 0.6707894 | Accuracy: 0.5900000
[2026-01-18 04:40:59,669] [INFO] - [ 1800/ 8400] | Cost: 0.6517481 | Accuracy: 0.6700000
[2026-01-18 04:41:34,612] [INFO] - [ 1900/ 8400] | Cost: 0.6330998 | Accuracy: 0.7400000
[2026-01-18 04:42:09,578] [INFO] - [ 2000/ 8400] | Cost: 0.6218653 | Accuracy: 0.7400000
[2026-01-18 04:42:44,632] [INFO] - [ 2100/ 8400] | Cost: 0.6278213 | Accuracy: 0.7400000
[2026-01-18 04:43:19,479] [INFO] - [ 2200/ 8400] | Cost: 0.6533233 | Accuracy: 0.6400000
[2026-01-18 04:43:54,582] [INFO] - [ 2300/ 8400] | Cost: 0.6567503 | Accuracy: 0.5900000
[2026-01-18 04:44:29,950] [INFO] - [ 2400/ 8400] | Cost: 0.6209548 | Accuracy: 0.6700000
[2026-01-18 04:45:04,896] [INFO] - [ 2500/ 8400] | Cost: 0.6393497 | Accuracy: 0.6800000
[2026-01-18 04:45:39,000] [INFO] - [ 2600/ 8400] | Cost: 0.6368324 | Accuracy: 0.6800000
[2026-01-18 04:46:10,626] [INFO] - [ 2700/ 8400] | Cost: 0.6607350 | Accuracy: 0.5800000
[2026-01-18 04:46:45,711] [INFO] - [ 2800/ 8400] | Cost: 0.6276240 | Accuracy: 0.7100000
[2026-01-18 04:47:20,685] [INFO] - [ 2900/ 8400] | Cost: 0.6550968 | Accuracy: 0.6000000
[2026-01-18 04:47:55,731] [INFO] - [ 3000/ 8400] | Cost: 0.6192125 | Accuracy: 0.7200000
