[2026-01-18 18:28:03,916] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-18 18:28:04,025] [INFO] - Using cuda.
[2026-01-18 18:28:05,473] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 18:28:05,475] [INFO] - Initiate model
[2026-01-18 18:28:06,045] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-18 18:28:06,046] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 18:33:11,387] [INFO] - [  100/ 8400] | Cost: 0.6935093 | Accuracy: 0.4500000
[2026-01-18 18:37:44,395] [INFO] - [  200/ 8400] | Cost: 0.6854300 | Accuracy: 0.5900000
[2026-01-18 18:42:41,989] [INFO] - [  300/ 8400] | Cost: 0.6861783 | Accuracy: 0.5600000
[2026-01-18 18:47:07,376] [INFO] - [  400/ 8400] | Cost: 0.6946062 | Accuracy: 0.5300000
[2026-01-18 18:51:51,712] [INFO] - [  500/ 8400] | Cost: 0.7024831 | Accuracy: 0.5100000
[2026-01-18 18:56:42,149] [INFO] - [  600/ 8400] | Cost: 0.7022724 | Accuracy: 0.5100000
[2026-01-18 19:01:15,792] [INFO] - [  700/ 8400] | Cost: 0.7142010 | Accuracy: 0.4600000
[2026-01-18 19:05:47,200] [INFO] - [  800/ 8400] | Cost: 0.7197177 | Accuracy: 0.4100000
[2026-01-18 19:10:31,312] [INFO] - [  900/ 8400] | Cost: 0.7009313 | Accuracy: 0.4700000
[2026-01-18 19:15:09,267] [INFO] - [ 1000/ 8400] | Cost: 0.6957555 | Accuracy: 0.4800000
[2026-01-18 19:19:47,943] [INFO] - [ 1100/ 8400] | Cost: 0.6932092 | Accuracy: 0.5000000
[2026-01-18 19:24:02,377] [INFO] - [ 1200/ 8400] | Cost: 0.6955760 | Accuracy: 0.4600000
[2026-01-18 19:29:00,683] [INFO] - [ 1300/ 8400] | Cost: 0.6896884 | Accuracy: 0.5500000
[2026-01-18 19:33:48,927] [INFO] - [ 1400/ 8400] | Cost: 0.7004005 | Accuracy: 0.4700000
[2026-01-18 19:38:36,195] [INFO] - [ 1500/ 8400] | Cost: 0.6972013 | Accuracy: 0.5000000
[2026-01-18 19:43:05,351] [INFO] - [ 1600/ 8400] | Cost: 0.6959970 | Accuracy: 0.5100000
[2026-01-18 19:47:32,956] [INFO] - [ 1700/ 8400] | Cost: 0.6862022 | Accuracy: 0.5600000
[2026-01-18 19:52:12,923] [INFO] - [ 1800/ 8400] | Cost: 0.7048812 | Accuracy: 0.4700000
[2026-01-18 19:56:49,526] [INFO] - [ 1900/ 8400] | Cost: 0.6842771 | Accuracy: 0.5700000
[2026-01-18 20:01:32,820] [INFO] - [ 2000/ 8400] | Cost: 0.7079639 | Accuracy: 0.4500000
[2026-01-18 20:05:58,682] [INFO] - [ 2100/ 8400] | Cost: 0.6991005 | Accuracy: 0.4900000
[2026-01-18 20:10:53,685] [INFO] - [ 2200/ 8400] | Cost: 0.7018263 | Accuracy: 0.4600000
[2026-01-18 20:15:31,025] [INFO] - [ 2300/ 8400] | Cost: 0.7053983 | Accuracy: 0.4100000
[2026-01-18 20:20:18,240] [INFO] - [ 2400/ 8400] | Cost: 0.6938735 | Accuracy: 0.5000000
[2026-01-18 20:25:00,789] [INFO] - [ 2500/ 8400] | Cost: 0.6937727 | Accuracy: 0.4700000
[2026-01-18 20:29:48,501] [INFO] - [ 2600/ 8400] | Cost: 0.6944879 | Accuracy: 0.4600000
[2026-01-18 20:34:34,471] [INFO] - [ 2700/ 8400] | Cost: 0.6922144 | Accuracy: 0.5200000
[2026-01-18 20:39:07,849] [INFO] - [ 2800/ 8400] | Cost: 0.6922956 | Accuracy: 0.5200000
[2026-01-18 20:43:37,388] [INFO] - [ 2900/ 8400] | Cost: 0.7007509 | Accuracy: 0.4600000
[2026-01-18 20:48:05,887] [INFO] - [ 3000/ 8400] | Cost: 0.6927062 | Accuracy: 0.5200000
[2026-01-18 20:52:42,571] [INFO] - [ 3100/ 8400] | Cost: 0.7055953 | Accuracy: 0.4400000
[2026-01-18 20:57:17,591] [INFO] - [ 3200/ 8400] | Cost: 0.7003508 | Accuracy: 0.4700000
[2026-01-18 21:01:52,235] [INFO] - [ 3300/ 8400] | Cost: 0.6994438 | Accuracy: 0.4700000
[2026-01-18 21:06:15,854] [INFO] - [ 3400/ 8400] | Cost: 0.6931691 | Accuracy: 0.5100000
[2026-01-18 21:10:54,097] [INFO] - [ 3500/ 8400] | Cost: 0.6932102 | Accuracy: 0.5100000
[2026-01-18 21:15:25,086] [INFO] - [ 3600/ 8400] | Cost: 0.6901554 | Accuracy: 0.5600000
[2026-01-18 21:19:46,156] [INFO] - [ 3700/ 8400] | Cost: 0.6939018 | Accuracy: 0.4900000
[2026-01-18 21:24:06,746] [INFO] - [ 3800/ 8400] | Cost: 0.6913607 | Accuracy: 0.5700000
[2026-01-18 21:28:33,346] [INFO] - [ 3900/ 8400] | Cost: 0.6928932 | Accuracy: 0.5100000
[2026-01-18 21:32:54,346] [INFO] - [ 4000/ 8400] | Cost: 0.6945540 | Accuracy: 0.4100000
[2026-01-18 21:37:20,118] [INFO] - [ 4100/ 8400] | Cost: 0.6930971 | Accuracy: 0.5000000
[2026-01-18 21:41:46,327] [INFO] - [ 4200/ 8400] | Cost: 0.6928627 | Accuracy: 0.5100000
[2026-01-18 21:46:14,426] [INFO] - [ 4300/ 8400] | Cost: 0.6937776 | Accuracy: 0.4700000
[2026-01-18 21:50:46,770] [INFO] - [ 4400/ 8400] | Cost: 0.6938735 | Accuracy: 0.4700000
[2026-01-18 21:55:07,501] [INFO] - [ 4500/ 8400] | Cost: 0.6935335 | Accuracy: 0.4800000
[2026-01-18 21:59:19,661] [INFO] - [ 4600/ 8400] | Cost: 0.6932987 | Accuracy: 0.4700000
[2026-01-18 22:03:34,584] [INFO] - [ 4700/ 8400] | Cost: 0.6931528 | Accuracy: 0.5100000
[2026-01-18 22:07:51,243] [INFO] - [ 4800/ 8400] | Cost: 0.6929823 | Accuracy: 0.5200000
[2026-01-18 22:12:05,879] [INFO] - [ 4900/ 8400] | Cost: 0.6925278 | Accuracy: 0.5200000
[2026-01-18 22:16:17,457] [INFO] - [ 5000/ 8400] | Cost: 0.6912029 | Accuracy: 0.5500000
[2026-01-18 22:20:29,033] [INFO] - [ 5100/ 8400] | Cost: 0.6893812 | Accuracy: 0.5700000
[2026-01-18 22:24:48,172] [INFO] - [ 5200/ 8400] | Cost: 0.6948367 | Accuracy: 0.4900000
[2026-01-18 22:29:00,456] [INFO] - [ 5300/ 8400] | Cost: 0.6935351 | Accuracy: 0.5100000
[2026-01-18 22:33:12,414] [INFO] - [ 5400/ 8400] | Cost: 0.6962475 | Accuracy: 0.4900000
[2026-01-18 22:37:25,381] [INFO] - [ 5500/ 8400] | Cost: 0.6923940 | Accuracy: 0.5200000
[2026-01-18 22:41:44,223] [INFO] - [ 5600/ 8400] | Cost: 0.6834829 | Accuracy: 0.5900000
[2026-01-18 22:45:59,577] [INFO] - [ 5700/ 8400] | Cost: 0.6899402 | Accuracy: 0.5400000
[2026-01-18 22:50:22,460] [INFO] - [ 5800/ 8400] | Cost: 0.6977614 | Accuracy: 0.4900000
[2026-01-18 22:54:44,462] [INFO] - [ 5900/ 8400] | Cost: 0.6979145 | Accuracy: 0.4900000
[2026-01-18 23:00:12,105] [INFO] - [ 6000/ 8400] | Cost: 0.6945673 | Accuracy: 0.5100000
[2026-01-18 23:09:03,568] [INFO] - [ 6100/ 8400] | Cost: 0.6998196 | Accuracy: 0.4700000
[2026-01-18 23:24:44,615] [INFO] - [ 6200/ 8400] | Cost: 0.6947979 | Accuracy: 0.5000000
[2026-01-18 23:46:10,452] [INFO] - [ 6300/ 8400] | Cost: 0.6960025 | Accuracy: 0.4800000
[2026-01-19 00:08:16,916] [INFO] - [ 6400/ 8400] | Cost: 0.6985638 | Accuracy: 0.4200000
[2026-01-19 00:29:42,946] [INFO] - [ 6500/ 8400] | Cost: 0.6939934 | Accuracy: 0.4500000
