[2026-01-18 18:28:03,526] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-18 18:28:03,530] [INFO] - Using cuda.
[2026-01-18 18:28:04,982] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 18:28:04,985] [INFO] - Initiate model
[2026-01-18 18:28:05,424] [INFO] - Weights Shape: torch.Size([3, 12, 3])
[2026-01-18 18:28:05,425] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 18:30:28,470] [INFO] - [  100/ 8400] | Cost: 0.6969681 | Accuracy: 0.4500000
[2026-01-18 18:33:33,714] [INFO] - [  200/ 8400] | Cost: 0.6854374 | Accuracy: 0.5900000
[2026-01-18 18:35:53,257] [INFO] - [  300/ 8400] | Cost: 0.6850606 | Accuracy: 0.5600000
[2026-01-18 18:38:41,137] [INFO] - [  400/ 8400] | Cost: 0.6953386 | Accuracy: 0.5300000
[2026-01-18 18:41:04,677] [INFO] - [  500/ 8400] | Cost: 0.7020950 | Accuracy: 0.5100000
[2026-01-18 18:43:25,082] [INFO] - [  600/ 8400] | Cost: 0.6990008 | Accuracy: 0.5100000
[2026-01-18 18:46:14,226] [INFO] - [  700/ 8400] | Cost: 0.7079359 | Accuracy: 0.4600000
[2026-01-18 18:48:23,499] [INFO] - [  800/ 8400] | Cost: 0.7096695 | Accuracy: 0.4100000
[2026-01-18 18:50:45,674] [INFO] - [  900/ 8400] | Cost: 0.6901892 | Accuracy: 0.4700000
[2026-01-18 18:53:07,138] [INFO] - [ 1000/ 8400] | Cost: 0.6818761 | Accuracy: 0.6400000
[2026-01-18 18:55:25,475] [INFO] - [ 1100/ 8400] | Cost: 0.6734047 | Accuracy: 0.6900000
[2026-01-18 18:57:39,458] [INFO] - [ 1200/ 8400] | Cost: 0.6754682 | Accuracy: 0.6000000
[2026-01-18 19:00:14,393] [INFO] - [ 1300/ 8400] | Cost: 0.6640876 | Accuracy: 0.6400000
[2026-01-18 19:02:43,092] [INFO] - [ 1400/ 8400] | Cost: 0.6641946 | Accuracy: 0.6000000
[2026-01-18 19:05:07,918] [INFO] - [ 1500/ 8400] | Cost: 0.6665523 | Accuracy: 0.6000000
[2026-01-18 19:07:31,555] [INFO] - [ 1600/ 8400] | Cost: 0.6617938 | Accuracy: 0.6400000
[2026-01-18 19:10:00,549] [INFO] - [ 1700/ 8400] | Cost: 0.6486519 | Accuracy: 0.7100000
[2026-01-18 19:12:37,881] [INFO] - [ 1800/ 8400] | Cost: 0.6354039 | Accuracy: 0.7100000
[2026-01-18 19:15:09,770] [INFO] - [ 1900/ 8400] | Cost: 0.6287714 | Accuracy: 0.7200000
[2026-01-18 19:17:49,388] [INFO] - [ 2000/ 8400] | Cost: 0.6524660 | Accuracy: 0.6700000
[2026-01-18 19:20:36,577] [INFO] - [ 2100/ 8400] | Cost: 0.6286592 | Accuracy: 0.7500000
[2026-01-18 19:23:14,092] [INFO] - [ 2200/ 8400] | Cost: 0.6312171 | Accuracy: 0.7300000
[2026-01-18 19:25:53,309] [INFO] - [ 2300/ 8400] | Cost: 0.6470067 | Accuracy: 0.6200000
[2026-01-18 19:28:37,082] [INFO] - [ 2400/ 8400] | Cost: 0.6345394 | Accuracy: 0.7000000
[2026-01-18 19:31:07,880] [INFO] - [ 2500/ 8400] | Cost: 0.6130199 | Accuracy: 0.6900000
[2026-01-18 19:33:49,993] [INFO] - [ 2600/ 8400] | Cost: 0.6609044 | Accuracy: 0.6200000
[2026-01-18 19:36:24,231] [INFO] - [ 2700/ 8400] | Cost: 0.6412226 | Accuracy: 0.6700000
[2026-01-18 19:39:00,830] [INFO] - [ 2800/ 8400] | Cost: 0.6288788 | Accuracy: 0.7700000
