date,run_id,dataset,embedding,preprocessing,image_width,seed,val_acc,val_loss,status
2026-01-15/22-04-31,0,mnist,FRQI,None,16,0,0.970404761904762,0.473498343427976,OK
2026-01-15/22-04-31,1,mnist,FRQI,None,32,0,0.919404761904762,0.5624446749687195,OK
2026-01-15/22-04-31,8,mnist,FRQI,GaussianBlur,16,0,0.9461428571428572,0.4905516962210337,OK
2026-01-15/22-04-31,9,mnist,FRQI,GaussianBlur,32,0,0.9084285714285716,0.5358736316363016,OK
2026-01-15/22-04-31,16,mnist,FRQI,ContrastScaling,16,0,0.9760714285714286,0.4574546168247859,OK
2026-01-15/22-04-31,17,mnist,FRQI,ContrastScaling,32,0,0.9347380952380954,0.5527721583843231,OK
2026-01-15/22-04-31,24,mnist,FRQI,MedianBlur,16,0,0.9365476190476192,0.4967184563477834,OK
2026-01-15/22-04-31,25,mnist,FRQI,MedianBlur,32,0,0.9282142857142858,0.5386374791463217,OK
2026-01-15/22-04-31,32,mnist,FRQI,BilateralFilter,16,0,0.9245476190476192,0.5120719323555628,OK
2026-01-15/22-04-31,33,mnist,FRQI,BilateralFilter,32,0,0.8853571428571426,0.5634048640727997,OK
2026-01-15/22-04-31,40,mnist,FRQI,HomomorphicFilter,16,0,0.978404761904762,0.461900273958842,OK
2026-01-15/22-04-31,41,mnist,FRQI,HomomorphicFilter,32,0,0.9397380952380952,0.5408096710840861,OK
2026-01-15/22-04-31,48,fashion,FRQI,None,16,0,0.874642857142857,0.5433490169899804,OK
2026-01-15/22-04-31,49,fashion,FRQI,None,32,0,0.9014285714285714,0.5750547817775181,OK
2026-01-15/22-04-31,56,fashion,FRQI,GaussianBlur,16,0,0.825,0.5722836873361042,OK
2026-01-15/22-04-31,57,fashion,FRQI,GaussianBlur,32,0,0.8996428571428572,0.5582099514348167,OK
2026-01-15/22-04-31,64,fashion,FRQI,ContrastScaling,16,0,0.8796428571428571,0.5429707893303463,OK
2026-01-15/22-04-31,65,fashion,FRQI,ContrastScaling,32,0,0.899285714285714,0.5598923904555184,OK
2026-01-15/22-04-31,72,fashion,FRQI,MedianBlur,16,0,0.8453571428571428,0.5552414655685425,OK
2026-01-15/22-04-31,73,fashion,FRQI,MedianBlur,32,0,0.8642857142857142,0.577050485781261,OK
2026-01-15/22-04-31,80,fashion,FRQI,BilateralFilter,16,0,0.8232142857142858,0.5616015855755124,OK
2026-01-15/22-04-31,81,fashion,FRQI,BilateralFilter,32,0,0.9192857142857144,0.5631250313350132,OK
2026-01-15/22-04-31,88,fashion,FRQI,HomomorphicFilter,16,0,0.9053571428571427,0.5095245178256717,OK
2026-01-15/22-04-31,89,fashion,FRQI,HomomorphicFilter,32,0,0.9325,0.5690703008856092,OK
2026-01-15/22-04-31,96,eurosat_rgb,FRQI,None,16,0,0.9308333333333332,0.4075472007195155,OK
2026-01-15/22-04-31,97,eurosat_rgb,FRQI,None,32,0,0.9283333333333332,0.4085624342163403,OK
2026-01-15/22-04-31,104,eurosat_rgb,FRQI,GaussianBlur,16,0,0.9291666666666666,0.4072303374608357,OK
2026-01-15/22-04-31,105,eurosat_rgb,FRQI,GaussianBlur,32,0,0.8766666666666668,0.5353135714928309,OK
