date,run_id,dataset,embedding,preprocessing,image_width,seed,val_acc,val_loss,status
2026-01-17/16-03-43,0,mnist,ZZFeatureMap,None,,0,0.907619047619048,0.4630677153666814,OK
2026-01-17/16-03-43,1,mnist,AngleEncoding,None,,0,0.9678095238095236,0.3049249569574991,OK
2026-01-17/16-03-43,2,mnist,RMP,None,,0,0.5311428571428572,0.6573102990786235,OK
2026-01-17/16-03-43,3,mnist,ZZFeatureMap,GaussianBlur,,0,0.937547619047619,0.4645989169677099,OK
2026-01-17/16-03-43,4,mnist,AngleEncoding,GaussianBlur,,0,0.9544761904761904,0.3149316678444544,OK
2026-01-17/16-03-43,5,mnist,RMP,GaussianBlur,,0,0.5311428571428572,0.6596908390522003,OK
2026-01-17/16-03-43,6,mnist,ZZFeatureMap,ContrastScaling,,0,0.9421428571428574,0.4252546032269795,OK
2026-01-17/16-03-43,7,mnist,AngleEncoding,ContrastScaling,,0,0.9774047619047616,0.2874766498804092,OK
2026-01-17/16-03-43,8,mnist,RMP,ContrastScaling,,0,0.5311428571428572,0.6547426323095957,OK
2026-01-17/16-03-43,9,mnist,ZZFeatureMap,MedianBlur,,0,0.9491428571428572,0.4083188126484553,OK
2026-01-17/16-03-43,10,mnist,AngleEncoding,MedianBlur,,0,0.957547619047619,0.3109307905038198,OK
2026-01-17/16-03-43,11,mnist,RMP,MedianBlur,,0,0.5311428571428572,0.6586146076520284,OK
2026-01-17/16-03-43,12,mnist,ZZFeatureMap,BilateralFilter,,0,0.8451666666666667,0.5035521884759268,OK
2026-01-17/16-03-43,13,mnist,AngleEncoding,BilateralFilter,,0,0.9468809523809524,0.3249610175689061,OK
2026-01-17/16-03-43,14,mnist,RMP,BilateralFilter,,0,0.5311428571428572,0.6603112339973449,OK
2026-01-17/16-03-43,15,mnist,ZZFeatureMap,HomomorphicFilter,,0,0.9404761904761908,0.4353801826635996,OK
2026-01-17/16-03-43,16,mnist,AngleEncoding,HomomorphicFilter,,0,0.9744761904761902,0.2940282563368479,OK
2026-01-17/16-03-43,17,mnist,RMP,HomomorphicFilter,,0,0.5311428571428572,0.6567116677761078,OK
2026-01-17/16-03-43,18,fashion,ZZFeatureMap,None,,0,0.9392857142857146,0.4119497601475034,OK
2026-01-17/16-03-43,19,fashion,AngleEncoding,None,,0,0.9057142857142856,0.3798086994460651,OK
