[2026-01-16 17:55:22,877] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 17:55:22,881] [INFO] - Using cuda.
[2026-01-16 17:55:22,924] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 17:55:22,928] [INFO] - Initiate model
[2026-01-16 17:55:23,137] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-16 17:55:23,138] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 18:00:43,645] [INFO] - [  100/ 4200] | Cost: 0.6931772 | Accuracy: 0.5200000
[2026-01-16 18:05:57,900] [INFO] - [  200/ 4200] | Cost: 0.6874824 | Accuracy: 0.5700000
[2026-01-16 18:11:24,247] [INFO] - [  300/ 4200] | Cost: 0.7077798 | Accuracy: 0.4500000
[2026-01-16 18:16:46,569] [INFO] - [  400/ 4200] | Cost: 0.7032670 | Accuracy: 0.4700000
[2026-01-16 18:22:08,784] [INFO] - [  500/ 4200] | Cost: 0.6976242 | Accuracy: 0.4900000
[2026-01-16 18:27:42,308] [INFO] - [  600/ 4200] | Cost: 0.6891212 | Accuracy: 0.5500000
[2026-01-16 18:33:12,291] [INFO] - [  700/ 4200] | Cost: 0.6943147 | Accuracy: 0.5000000
[2026-01-16 18:38:41,989] [INFO] - [  800/ 4200] | Cost: 0.6955256 | Accuracy: 0.4600000
[2026-01-16 18:43:57,798] [INFO] - [  900/ 4200] | Cost: 0.6935852 | Accuracy: 0.4300000
[2026-01-16 18:49:28,827] [INFO] - [ 1000/ 4200] | Cost: 0.6911357 | Accuracy: 0.5500000
[2026-01-16 18:54:50,240] [INFO] - [ 1100/ 4200] | Cost: 0.6978479 | Accuracy: 0.4700000
[2026-01-16 19:00:22,012] [INFO] - [ 1200/ 4200] | Cost: 0.6984333 | Accuracy: 0.4800000
[2026-01-16 19:05:42,275] [INFO] - [ 1300/ 4200] | Cost: 0.7062443 | Accuracy: 0.4400000
[2026-01-16 19:11:12,250] [INFO] - [ 1400/ 4200] | Cost: 0.6899337 | Accuracy: 0.5400000
[2026-01-16 19:16:27,109] [INFO] - [ 1500/ 4200] | Cost: 0.7045366 | Accuracy: 0.4400000
[2026-01-16 19:21:58,559] [INFO] - [ 1600/ 4200] | Cost: 0.6856129 | Accuracy: 0.5800000
[2026-01-16 19:27:18,100] [INFO] - [ 1700/ 4200] | Cost: 0.6969308 | Accuracy: 0.4800000
[2026-01-16 19:32:43,427] [INFO] - [ 1800/ 4200] | Cost: 0.6960340 | Accuracy: 0.4800000
[2026-01-16 19:37:54,181] [INFO] - [ 1900/ 4200] | Cost: 0.6954739 | Accuracy: 0.4700000
[2026-01-16 19:43:17,154] [INFO] - [ 2000/ 4200] | Cost: 0.6931070 | Accuracy: 0.5000000
[2026-01-16 19:48:37,379] [INFO] - [ 2100/ 4200] | Cost: 0.6933299 | Accuracy: 0.4900000
[2026-01-16 19:54:18,494] [INFO] - [ 2200/ 4200] | Cost: 0.6933484 | Accuracy: 0.5000000
[2026-01-16 19:59:45,152] [INFO] - [ 2300/ 4200] | Cost: 0.6909736 | Accuracy: 0.6000000
[2026-01-16 20:05:14,813] [INFO] - [ 2400/ 4200] | Cost: 0.6930627 | Accuracy: 0.5100000
[2026-01-16 20:10:33,825] [INFO] - [ 2500/ 4200] | Cost: 0.6900862 | Accuracy: 0.5500000
[2026-01-16 20:15:54,419] [INFO] - [ 2600/ 4200] | Cost: 0.6881302 | Accuracy: 0.5600000
[2026-01-16 20:21:07,042] [INFO] - [ 2700/ 4200] | Cost: 0.6902258 | Accuracy: 0.5400000
[2026-01-16 20:26:21,526] [INFO] - [ 2800/ 4200] | Cost: 0.6767067 | Accuracy: 0.6200000
[2026-01-16 20:31:37,366] [INFO] - [ 2900/ 4200] | Cost: 0.6861558 | Accuracy: 0.5600000
[2026-01-16 20:36:54,933] [INFO] - [ 3000/ 4200] | Cost: 0.6980205 | Accuracy: 0.5100000
[2026-01-16 20:42:00,269] [INFO] - [ 3100/ 4200] | Cost: 0.7158177 | Accuracy: 0.4500000
[2026-01-16 20:47:03,401] [INFO] - [ 3200/ 4200] | Cost: 0.7320442 | Accuracy: 0.3900000
[2026-01-16 20:52:29,376] [INFO] - [ 3300/ 4200] | Cost: 0.6932852 | Accuracy: 0.5300000
[2026-01-16 20:57:43,632] [INFO] - [ 3400/ 4200] | Cost: 0.6987718 | Accuracy: 0.5000000
[2026-01-16 21:03:04,634] [INFO] - [ 3500/ 4200] | Cost: 0.6987588 | Accuracy: 0.4900000
[2026-01-16 21:08:04,926] [INFO] - [ 3600/ 4200] | Cost: 0.6902267 | Accuracy: 0.5400000
[2026-01-16 21:13:45,448] [INFO] - [ 3700/ 4200] | Cost: 0.7035410 | Accuracy: 0.4100000
[2026-01-16 21:18:44,705] [INFO] - [ 3800/ 4200] | Cost: 0.6947191 | Accuracy: 0.4800000
[2026-01-16 21:24:10,484] [INFO] - [ 3900/ 4200] | Cost: 0.6933392 | Accuracy: 0.4800000
[2026-01-16 21:28:54,527] [INFO] - [ 4000/ 4200] | Cost: 0.6917667 | Accuracy: 0.5400000
[2026-01-16 21:34:22,780] [INFO] - [ 4100/ 4200] | Cost: 0.6895221 | Accuracy: 0.5600000
[2026-01-16 21:39:19,511] [INFO] - [ 4200/ 4200] | Cost: 0.6861820 | Accuracy: 0.5700000
